,Comentario
38,"El Museo Soumaya es el museo de la Ciudad de México que cuenta con unas de las mejores colecciones de la ciudad y la entrada es completamente gratuita.

Este edificio es de varias plantas donde se puede ver desde artes decorativas y otra sala con marfil de Asia.

En otra de sus salas están los artistas europeos con algunos cuadros importantes como el cuadro de Carlos II el hechizado.

En las siguientes salas están los romanticismo y el arte mexicano."
39,"Es un museo realmente muy bonito, se puede apreciar desde varias calles atrás y además de ser un punto de referencia es totalmente gratis. Actualmente por la pandemia está limitada la entrada pero esperemos que con el tiempo se libere el acceso. Sin dudas visiten este museo"
40,Arquitectura vanguardista. Muy elegante su museografía y colección. Acceso gratuito en sábado. Medidas de seguridad.
41,"Esta muy bonito de vistas y es gratis.
Lo que más sorprende es el curioso edificio con su silueta de hongo y por dentro es como un caracol gigante.
Hay obras y artículos de historia muy interesantes y algunos muy llamativos!
Me sorprendió un colmillo de mamut    tallado y colecciones de teléfonos, relojes, pintura, esculturas originales de Botello en fin una colección algo variada y extraña por momentos pero simpático lugar"
42,"Vivir o visitar CDMX tiene esta visita como requerida. Es un privilegio tener acceso a un museo que nos brinda y deleita con su arquitectura, acervo y acceso gratuito (algo de reconocer pues los museos de este calibre en cualquier ciudad del mundo son de acceso costoso por lo general). Hermoso espacio que desde su vestidor impacta con sus dimensiones, muralismo y piezas unicas...rampas bien pensadas...el blanco permite apreciar las obras, los trazos, los tallados o los mosaicos...como en todo museo habrán piezas que son las favoritas mias que comparto aqui pero no hay como verlo en el lugar y encontrar la pieza favorita para cada quien...siglos de historia, arte religioso, tallados...es dificil enumerar tanto que hay dentro y el magnífico trabajo para resumir los estilos, tendencias y espacios de tiempo donde se trabaja la colección...me debo varias visitas mas para volver a deleitar mis sentidos. Hay exposiciones temporales como una de fotografía que a la fecha de esta publicación había de orgullo mexicano. Estacionamiento en Plaza Carso, llevar zapato cómodo de preferencia no derrapante."
43,"El Museo Soumaya nos brinda la posibilidad de darnos un maravilloso paseo por  la obra de los principales artistas Mexicanos y  otros grandes artistas renacentistas e impresionistas, es decir, por gran parte de la historia del arte."
44,"Muy buena colección aunque un poco dispar en la narrativa, la ventaja que es gratis y se pueden apreciar muchas obras de arte de distintas épocas"
45,"Una de las experiencias más satisfactorias de mi viaje a la Ciudad de México. He disfrutado como un niño de su concepto expositivo, de las obras expuestas y de la calidad de sus servicios. Un referente a nivel internacional. Chapeau a todo lo que este museo ofrece. Seguid así"
46,"Es un museo muy completo, es para ir con tiempo de sobra para recorrer cada una de las salas, como recomendación llevar calzado cómodo una buena cámara y no llevar mochila o bultos, e ir con alguien le llame la atención igual o más que a ti, hay muchas exposiciones, además del ambiente relajado y siempre bien vigilado, los baños son limpios hay creo yo, unos en cada sala, menos la última o la superior, la fachada increíble.
Buena experiencia"
47,"Un lugar magnífico para aprender un poco de historia, la seguridad es excelente. Y el diseñó arquitectónico del edificio es futurista. ¡Me encantó!."
48,"Un lugar excelente para visitar.
No cobran la entrada y tiene 6 salas. Debes tener mínimo 2 horas para ver todo."
49,"Que increíble museo y arquitectura, sin duda uno de los mejores lugares del país y de los mejores museos del mundo. Las obras super valiosas y muy diversas que hacen conectar de una mágica forma el arte y el alma!"
50,"El proceso al entrar fue bastante ordenado y rápido, no más de 15 min. en una fila medianamente larga. Las instalaciones impecables y la atención al público muy buena, llevan a cabo el protocolo de sanitización al entrar a las mismas.
El arte que exponen es muy interesante, pero lo que más llama la atención es la forma de su estructura, que se asoma entre edificios en una de las zonas urbanas más famosas de CDMX, realmente recomendable, una completa experiencia."
51,"Hermoso museo, muy moderno y con muchas obras de arte atractivas para todo tipo de público, accesos fáciles y completamente gratis"
52,"Un museo increíble
Es la segunda vez que lo visito y me voy doblemente encantada"
53,"Me encantó el museo. Tiene rampas y elevador. Las obras de arte son bellísimas, cada piso está dedicado a un tema.
El edificio por sí mismo es una obra de arte.
El personal muy amable y cuidan que entre determinado número de personas para evitar aglomeración.
Fue una visita muy agradable.
¡Además es gratis!"
54,Impresionantes galerías de arte. Super recomendable 20 siglos de arte en México.. Entrada gratuita
55,"Excelente museo, la entrada es gratis y tienen cosas muy interesantes para ver"
56,"El museo es impecable.
La exposición es hermosa ( el único piso que no me gustó es el del marfil )

Me encanta que nos compartan su colección de arte gratuitamente.

Es un museo hermoso con una colección invaluable."
57,"De mis lugares favoritos para visitar en CDMX, la estructura es preciosa así como todo lo que se encuentra dentro"
58,"El museo se encuentra en excelentes condiciones, el mantenimiento se nota.
Cumplen con las medidas necesarias por Covid.
Aunque los fines de semana debe hacerse fila para poder accesar, fluye bastante rápido.
Él tiempo de espera no es mucho :)
El acceso es gratuito, dentro encontrarás un pequeño spot con souvenirs muy bonitos"
59,"El museo Soumaya es una de los destinos turísticos de la Ciudad de México, ubicado en el icónico y relevante barrio Polanco en plaza Carso, su infraestructura es muy impresionante y una foto en este lugar es infaltable, pero lo más relevante es su exhibición de arte, impresionante colección del empresario Carlos Slim y cabe resaltar que este museo es en honor a su difunta esposa Soumaya, para resaltar, son 5 pisos más una sala de esculturas que su único acceso es por el piso 5, encontrarán una tienda de souvenirs que para mi parecer tiene cosas muy interesantes y precios muy accesibles"
60,"el lugar es muy hermoso , las exposiciones muy interesantes en total son 5 salas para llegar a ellas hay que subir por las rampas por lo tanto hay que llevarse zapatos cómodos  y ligeros ,si llevas mochila deberás llevarla en el pecho por cuestión de seguridad en cuanto al personal fue muy amable o al menos el que estaba cuando fui yo  ; yo fui entre las 12 y 1 entonces si me toco hacer un poco de fila asi que es mejor llegar temprano"
61,"Magnífico lugar, enormes espacios, y volúmenes conectados por rampas/pasillos que presentan distintas salas con diferentes colecciones, imperdible en la CDMX."
62,"Un museo diferente arquitectonicamente, bonito e interesante por las obras que se exponen y la composición del mismo, muy recomendable además de que no cobra."
63,"La entrada es completamente gratuita, está cerca a la estación de Polanco. Tiene obras muy hermosas, creo que se debe dedicar un solo día a visitarlo, ya que es bastante grande y si vienes de recorrer otros lugares, posiblemente vas a cansarte antes de ver todas las salas de exposiciones."
64,"ARQUITECTURA Y ARTE. Imperdible.la arquitectura del lugar es sorprendente. UN MUSEO con muestra variadas, de marfiles, colecciom amplia de teléfonos antiguos,  cuadros de Rubens y otros muy afamados.
Un mural impresionante nos da la recibida.
Imperdible. GRATUITO."
65,Súper hermosas las esculturas del último piso!!!! Muy buena atención!!! La tienda está padre!!! Me compré una bolsa linda 😃 el diseño del museo es muy minimalista y espacioso. Muy recomendable!!! Tiene tanto escaleras como elevador!  Padrísimo!
66,"Es un museo súper interesante! Yo fui el fin de semana y no me cobraron, trata de ir temprano por que se hace una fila enorme y es fastidioso estar bajo el sol como por 30 min, tienen sus medidas de higiene, puedes encontrar estatuas, pinturas, monedas, vestidos, instrumentos, demasiada variedad, existen personas para decirte que significa cada cosa, buen lugar de distracción de fin de semana!"
67,"Es un museo bastante bonito e interesante, en recorrerlo te tardas 3 horas, se tiene que llegar por lo mucho a las 10:30 para no encontrar una fila larga, de preferencia ir con tenis cómodos pues el recorrido son 6 pisos grandes."
68,"El lugar es impresionante, el edificio tiene como 5 pisos, no los conté, cada piso tiene una amplia exposición.
Muchas obras son impresionantes!"
69,"Es gratis y es muy interesante, cada piso tiene un diferente temática, he ido varias veces y siempre encuentro cosas que no había notado antes"
70,"Una experiencia de excelencia, es un lugar completamente genial para ver una variedad de arte mexicana y extranjera, el recorrido se recomienda iniciar desde el piso 6 e ir descendiendo"
71,"Preciosa escultura ""La puerta del infierno"", espectaculares tallas en Marfil, bellas pinturas..."
72,"Sin duda una de las colecciones de arte más importante del país, obras realmente bellas, pinturas esculturas, numismática, arte sacro, murales, una experiencia que se debe tener, se necesita mucho mas de un día para revisar todo el museo"
73,Increíble lo precioso que está si pueden ir entre semana mejor porque en fin llega a estar muy lleno y las fotos no salen tan bien
74,"Es la primera vez que voy y difrutas de una experiencia única e increíble, el acceso es gratuito y cuidan mucho su filtro de seguridad y prevención contra el COVID19, cuida tu distancia y respeta las líneas que en algunas pinturas o esculturas tienen marcadas, este lugar es muy bonito y recomendable de visitar."
75,Museo excelente!! Entrada gratuita... Para disfrutarlo durante horas.
76,Muchas joyas de la pintura y la escultura se esconden en este museo que aparte de bonito es gratuito.
77,"Es un museo de entrada gratuita sin importar la nacionalidad, es muy amplio, con diferentes exposiciones. Se recomienda tomar el ascensor y empezar de arriba hacía abajo. Es un lugar tranquilo con hermosas exposiciones"
78,"En mi experiencia personal recomiendo que te vayas hasta el último piso y lo empiezas a recorrer hasta la parte de abajo, hay una amplia colección de arte, se disfruta muchísimo y necesitarás aproximadamente de tres a cuatro horas para poder contemplar todo de manera cabal.
Al final puedes ir a comprar un recuerdo al Sanborns, o simplemente disfrutar de un café. La entrada es gratuita y tienen todos los filtros para la prevención de COVID 19. Nos tocó ver que todos traían cubreboca, todos guardaban sana distancia, y no había tanta gente. Recomendamos ir entre semana."
79,El museo está muy completo y las instalaciones están muy bien. Lo mejor de todo es que es gratis
80,"México es rico pero su riqueza está mal repartida lamentablemente.
No por ser Polanco no puedes ir a pasar un rato agradable ver un poco de arte....."
81,"Muy padre como opción para visitar, todo muy bonito y excelentes cuadros, esculturas etc exhibidas"
82,"Espectacular, énfasis en arte europeo y cristiano. Vale la pena"
83,"Es bonito, tranquilo y acordé, mi disgusto fue con algunas personas del ""personal"" unas fueron de lo más amable y otras de lo más grotescas, de hay en fuero el lugar es muy bonito y limpió me encantó en echo de que tuvieran obras de muralistas mexicanos y el arte desnudo de la mujer"
84,"Excelentes colecciones y hermosa arquitectura. Hay que venir con tiempo, por lo menos 2 horas. Es gratis!!"
85,"Perfecto para ver lindos atardeceres y para pasar un buen tiempo solo o en compañía, está tranquilo, limpio, seguro, bonito, bien iluminado, y ahora con esos hermosos toques morados de las jacarandas bien puedes tirarte en el pasto y solo ver qué pasa a tu alrededor"
86,"El mejor museo de arte que he visitado en la Ciudad de México, pero sin duda no hay que ir cerca de la hora de la comida porque el hambre termina expulsando te."
87,"Wow, vale demasiado la pena, vayan con tiempo para ver con detalle. Recomiendo subir por el elevador hasta el piso 5, luego subir caminando al 6 (elevador no llega) de allí comenzar e ir bajando hasta la primera sala. De esta manera pasan de más a menos, ya cansados solo queda la primera parte que es la más ""sencilla"""
88,"Muy completa y bonita exposición, vale mucho la pena es un poco cansada si la quieres ver bien, esta dividida en 5 salas aproximadamente y cada una tiene diferente temática y es gratis"
89,Amazing place to visit and for free that's the best part of this Mouseum super recomndable venir de visita con la familia y aventurarse en la historia de differentes cultures y tiempo
90,"Maravillosa experiencia ir a este museo, vale la pena dedicar un buen tiempo a cada piso, tiene obras muy interesantes. 10/10"
91,"Es extenso pero interesante, se supone se debe comenzar el recorrido desde la parte alta."
92,"Si lo quieres disfrutar velo por secciones ya que es un museo enorme pero lleno de arte, y lleva ropa comoda (sobretodo zapatos)"
93,"Mi visita fue el 18 d febrero 2022 cuando estaban abriendo. al entrar te revisan muy bien. Nosotros somos de la tercera edad nos indicaron que era mejor empezar desde sexto piso y va uno bajando viendo las diferentes salas. Todas las salas son muy interesantes se las recomiendo. Ya para bajar a la entrada, está muy resbaloso el piso hay q bajar con mucho cuidado."
94,"El dia domingo tiene entrada gratis solo recomiendo ir temprano porque entre mas tarde hay mas gente y debes hacer fila bajo el sol para poder entrar, tienen obras muy padres, mis pisos favoritos fueron PB, nivel 1 y nivel 7, en el último nivel puedes encontrar la escultura Mariana que se ha hecho muy popular en tik tok, no se si sea temporal pero en este momento ahí se encuentra. Las instalaciones están muy bien"
95,"Es un museo precioso, dónde te puedes perder apreciando las obras todo el día pues son muchísimas y están geniales.
Esculturas, pinturas, monedas, cosas antiguas y demás que puedes disfrutar.
Muy bien lugar para tomar fotos.

Tienes que ir temprano para que te alcance el día de ir y recorrerlo todo con tranquilidad.
Los domingos son gratis :)"
96,"Es un museo a visitar si vas a la CDMX, la entrada es gratuita y la verdad es que ya por dentro es bastante grande, como comentan otras personas, cada piso es una exposición diferente y es muy variado."
97,"de lujo... estacionamiento cobra con IAVE. Acceso con sana distancia... sin costo. Colecciones muy variadas y de 1er nivel. Muy bonito, muy completo, excelente atención y acceso para silla de ruedas."
98,"Es un excelente lugar para pasar una tarde, el personal es muy accesible y el ambiente del lugar es muy relajado. Permite apreciar de manera correcta cada una de las piezas de arte que ahí se exhiben"
99,Excelente atención de sus hostes. La museografia con contenido interesante y muy bien realizada.
100,"Es un increíble museo, puedes disfrutar de varias obras de arte y lo mejor abierto todos los días y es gratis la entrada"
101,Imponente infraestructura! Si vienes a CDMX tienes que visitarlo
102,"El Museo es gratuito algo que pocos museos tienen, la selección de piezas de arte y piezas históricas es muy variada, lo recomiendo bastante"
103,Hermoso lugar totalmente recomendable para ir a visitar
104,"Muy bellas obras de arte , el lugar moderno y de fácil acceso"
105,"La entrada es gratuita, se puede grabar y tomar fotos sin flash, tiene pinturas, pieazas de marfil asiaticas, telefonos antiguos, cajs de música de época, son tres niveles"
106,Sobresaliente el museo te da diferentes ideas en cada una de sus salas una buena opción pero hay que tomar  en cuenta el tiempo casi 4 horas para recorrerlo todo por completo
107,No había un recorrido establecido y las salas estaban sobrecargadas de piezas artísticas. Hubiera preferido que haya menos cosas para ver y disfrutar más. Fue bastante cansado y no termine de ver todo. Pero la planta superior con estatuas tenía verdaderas obras de arte. La arquitectura exterior es peculiar y merece la pena echarte una foto allí.
108,"¡El museo esta bellísimo!
Es increíble que se pueda tener acceso a varias obras de arte valiosas de forma gratuita.
El museo cuenta con distintas salas donde se puede apreciar diversas piezas que abarcan periodos de historia del arte por ejemplo el renacimiento, barroco, romanticismo, etc.
Considero que es uno de los mejores museos."
109,"Muy bonito, con muchas obras artísticas, ideal para disfrutar con amigos amantes del arte. Todos los días es gratuito!"
110,"Una muy agradable experiencia, quedé maravillado desde la arquitectura hasta la colección de las pinturas y esculturas, sin duda alguna un maravilloso recorrido, probablemente vuelva en otra ocasión y recorrerlo con más calma"
111,"Muy bien organizado, muy interesante y es entrada libre"
112,Museo con un diseño bastante peculiar pero merece la pena visitar!
113,"Poca Madre, Adore ese piano, lo quiero."
114,"Increíble colección, de los mejores museos en México. Un must si vienes a Cdmx."
115,"Increíble museo para conocer y llenarte de conocimiento, más que nada tomar fotos Increíbles"
116,Visita mandatoria… la verdad algo atractivo es que es totalmente gratis
117,"Visita obligada. El barrio que lo rodea es muy bonito. Y a mayores el museo es gratis. Lo tienen muy controlado por el tema covid y eso da confianza. Y el museo en sí, es precioso. Para todos los gustos!!!"
118,"Excelente sitio, una colección basta de pinturas, esculturas de bronce y de marfil"
119,"Es maravilloso, todas las colecciones de arte que se pueden admirar, para recorrerlo con mucho tiempo disponible, terminas cansado pero maravillado y con ganas de regresar"
120,Super recomendado si visitan la CDMX. No sólo la estructura es espectacular y vale la pena verlo por fuera pero por dentro es super grande y esta lleno de mucha historia. De los museos más interesantes y bonitos que he visitado. La mejor parte es que es gratuito. 10/10 👌🏽
121,"Un museo bello, lleno de cultura, hay espacio para todo tipo de arte, europeo, asiático y latinoamericano.
No se lo pueden perder."
122,"No sé cuál sala me gustó más, la verdad es que cada una tiene su magia, es increíble todo el arte que se expone en este museo."
123,"Siempre es un placer, visitar este lugar.
Ahora fui acompañado de dos grandes personas y fue espectacular vivir esta experiencia."
124,Muy gratificante 6 pisos para disfrutar de esculturas y arte moderno
125,"Excelente experiencia. Muy organizado, con una gran colección para admirar y disfrutar. Sin duda, un must si vienes a CDMX."
126,"Está enorme!! Tiene muchísimas cosas interesantes, super recomendado, mucha seguridad y limpieza! Me encantó!"
127,"Hola que tal, un gusto compartir, mi experiencia en este museo.  Es realmente admirable, la colección que hay.  Y un poco cansado,  para el acceso ya que personas de la tercera edad, niños o gente con  problemas de salud motoras, es incómodo, esperar tanto tiempo."
128,"Es lugar bastante llamativo al cual se puede visitar a cualquier hora y día, siempre hay exposiciones muy interesantes además de ser un museo gratuito, tiene muchas atracciones a su alrededor además de estar muy bien ubicado."
129,"¡Impresionante colección! Recorre de arriba a abajo. Sube el por el elevador al último piso y comienza tu recorrido por sala superior. Toma tu tiempo para leer la información, está muy bien redactada y clara. Disfruta"
130,"la colección es muy buena y los datos históricos contados en esculturas,pinturas y artesanías es espectacular"
