,teatro_id,teatro_nombre,teatro_fecha_fundacion,teatro_adscripcion,teatro_calle_numero,teatro_colonia,teatro_cp,teatro_telefono1,pagina_web,email,gmaps_latitud,gmaps_longitud,estado_id,municipio_id,localidad_id,nom_ent,nom_mun,nom_loc,link_sic,fecha_mod
15,313,Teatro de la Ciudad de Ensenada,1977-09-27,Instituto de Cultura de Baja California,Av. Diamante s/n,Fracc. Nueva Ensenada,22880,(646) 177 03 92,,,31.85503,-116.60852,2,1,1,Baja California,Ensenada,Ensenada,http://sic.gob.mx/ficha.php?table=teatro&table_id=313,2016-12-14T13:29:02-06:00
16,321,Teatro Maestro Antonio Salvador Caldera Adame,1974-01-01,Dirección Municipal de Cultura de Mexicali,Av. Madero s/n esq. Altamirano,Centro,21100,(686) 552 96 30 ,https://www.facebook.com/CasaDeLaCulturaDeMexicali,,32.66487,-115.49096,2,2,1,Baja California,Mexicali,Mexicali,http://sic.gob.mx/ficha.php?table=teatro&table_id=321,2017-06-21T10:56:06-05:00
17,525,Teatro IMSS Mexicali,1959-01-01,"Instituto Mexicano del Seguro Social (IMSS), (en comodato)",Av. Zaragoza s/n,Col. Nueva,21100,(686) 564 77 59,,teatro.mexicali@imss.gob.mx,32.66108,-115.46804,2,2,1,Baja California,Mexicali,Mexicali,http://sic.gob.mx/ficha.php?table=teatro&table_id=525,2017-05-25T12:33:28-05:00
18,56,Teatro Juan José Arreola,1982-01-01," Colegio de Bachilleres - Plantel Mexicali, Organismo Descentralizado del Gobierno del Estado",Av.  Zaragoza 2045,Col. Nueva,21100,(686) 553 42 09,,,32.66257,-115.45364,2,2,1,Baja California,Mexicali,Mexicali,http://sic.gob.mx/ficha.php?table=teatro&table_id=56,2016-12-14T13:03:51-06:00
19,314,Teatro Benito Juárez del CREA Cultura,1962-06-24,Instituto Municipal de Cultura de Mexicali,Salina Cruz 2050 ,Col. Guajardo,21150,686 555 12 30,,crea.cultura@gmail.com,32.64168,-115.49831,2,2,1,Baja California,Mexicali,Mexicali,http://sic.gob.mx/ficha.php?table=teatro&table_id=314,2022-02-16T16:36:54-06:00
20,803,Foro Experimental del CEART,2005-01-31,Instituto de Cultura de Baja California,Czda. de los Presidentes s/n esq. Ciudad Victoria,Zona del Río Nuevo,21150,(686) 553 69 51 ext. 139,http://www.icbc.gob.mx,ceartmexicali@hotmail.com,32.65064,-115.48503,2,2,1,Baja California,Mexicali,Mexicali,http://sic.gob.mx/ficha.php?table=teatro&table_id=803,2016-12-13T16:56:34-06:00
21,323,Teatro al Aire Libre de Rectoría,1984-01-01,Universidad Autónoma de Baja California,Av. Álvaro Obregón y Julián Carrillo s/n,Col. Nueva,21100,(686) 552 59 21,,,32.66343,-115.46976,2,2,1,Baja California,Mexicali,Mexicali,http://sic.gob.mx/ficha.php?table=teatro&table_id=323,2016-12-15T12:25:05-06:00
22,152,Teatro al Aire Libre del Centro Comunitario Estudiantil,1991-08-01,"Universidad Autónoma de Baja California, Vicerrectoría",Blvd. Benito Juárez s/n,Unidad Universitaria Campus Mexicali,21280,(686) 566 0915,,,32.63261,-115.44639,2,2,1,Baja California,Mexicali,Mexicali,http://sic.gob.mx/ficha.php?table=teatro&table_id=152,2016-12-14T12:11:12-06:00
23,489,Teatro del Estado,1977-10-01,Instituto de Cultura de Baja California,Av. Milton Castellanos esq. Blvd. Adolfo López Mateos 1112,Col. Industrial,21100,(686)  554 93 39 ext. 103,http://www.icbc.gob.mx,teatrodelestadobc@gmail.com,32.65482,-115.47458,2,2,1,Baja California,Mexicali,Mexicali,http://sic.gob.mx/ficha.php?table=teatro&table_id=489,2016-12-14T12:57:44-06:00
24,147,Teatro Universitario de Mexicali,1983-02-28,Universidad Autónoma de Baja California,Av. López Rayón s/n,Unidad Universitaria,21280,(686) 841 82 42,,salvador_teatro@uabc.edu.mx,32.63391,-115.44472,2,2,1,Baja California,Mexicali,Mexicali,http://sic.gob.mx/ficha.php?table=teatro&table_id=147,2016-08-25T08:30:51-05:00
25,287,Teatro del Pueblo del Parque Adolfo López Mateos,1959-08-20,Ayuntamiento de Tecate/Dirección de Obras y Servicios Públicos Municipales,Blvd. Universidad esq. Av. Piedra del Sol,Col. Militar,21470,(665) 654 92 31,,,32.56914,-116.62458,2,3,1,Baja California,Tecate,Tecate,http://sic.gob.mx/ficha.php?table=teatro&table_id=287,2016-06-24T13:43:05-05:00
26,254,Teatro Universitario de la Escuela de Artes Tecate,1988-04-27,Universidad Autónoma de Baja California (UABC),Calz. Universidad 1,Fracc. San Fernando,21450,665 654 24 04,https://www.facebook.com/artestecate,brendartes@uabc.edu.mx,32.56887,-116.62589,2,3,1,Baja California,Tecate,Tecate,http://sic.gob.mx/ficha.php?table=teatro&table_id=254,2021-09-24T10:11:31-05:00
27,311,Teatro al Aire Libre del Parque Margarita Maza de Juárez,1981-12-10,Dirección de Obras y Servicios Públicos,Calle 5a núm. 214 esq. Dr. Arturo Guerra,Col. Benito Juárez,21480,(665) 654 92 31,http://www.tecate.gob.mx,,32.55721,-116.63105,2,3,1,Baja California,Tecate,Tecate,http://sic.gob.mx/ficha.php?table=teatro&table_id=311,2016-12-15T12:07:08-06:00
28,709,Teatro Cala-Fórnix,1977-05-30,Instituto Tecnológico de Tijuana (ITT),Calz. Tecnológico s/n,Fracc. Tomás Aquino,22414,(664) 607 84 00 ext. 190,,ajavier876@gmail.com,32.53053,-116.98796,2,4,1,Baja California,Tijuana,Tijuana,http://sic.gob.mx/ficha.php?table=teatro&table_id=709,2016-10-19T12:38:40-05:00
29,961,La Alborada Centro Cultural,1000-01-01,,Av. Aguascalientes 2380,Col. Madero (Cacho),22040,664 383 9160,,alborada286@gmail.com,32.52022,-117.03027,2,4,1,Baja California,Tijuana,Tijuana,http://sic.gob.mx/ficha.php?table=teatro&table_id=961,2020-05-14T09:38:21-05:00
30,316,Teatro de la Casa de la Cultura de Tijuana,1977-10-19,Instituto Municipal de Arte y Cultura (IMAC),Av. París 5,Col. Altamira,22000,(664) 687 26 04,,casaculturatijuana@hotmail.com,32.53191,-117.05229,2,4,1,Baja California,Tijuana,Tijuana,http://sic.gob.mx/ficha.php?table=teatro&table_id=316,2016-05-16T08:54:34-05:00
31,991,Teatro las Tablas,2004-01-01,,Unión 2191,Col. Zonaeste,22000,664 382 61 83,https://teatrolastablas.com/,info@teatrolastablas.com,32.53246,-117.01891,2,4,1,Baja California,Tijuana,Tijuana,http://sic.gob.mx/ficha.php?table=teatro&table_id=991,2021-12-07T09:00:46-06:00
32,148,Teatro Universitario Rubén Vizcaíno Valencia,1976-01-01,Universidad Autónoma de Baja California (UABC),Calz. Universidad 14418,Parque Industrial Internacional Tijuana,22390,(664) 979 75 00,http://www.cecut.gob.mx/sis/teatros/uabc.php,"tuopinion@uabc.mx , sandra@uabc.edu.mx",32.5307,-116.96653,2,4,1,Baja California,Tijuana,Tijuana,http://sic.gob.mx/ficha.php?table=teatro&table_id=148,2016-06-21T10:38:36-05:00
33,305,Teatro IMSS Tijuana,1962-06-04,Instituto Mexicano del Seguro Social (IMSS),Francisco Cárdenas s/n,Fracc. Aviación,22420,(664) 972 98 47 ext. 2855,https://www.facebook.com/pages/Teatro-IMSS-Tijuana/522699537844441,carlos.lopezta@imss.gob.mx,32.51483,-117.00954,2,4,1,Baja California,Tijuana,Tijuana,http://sic.gob.mx/ficha.php?table=teatro&table_id=305,2017-07-12T12:16:32-05:00
34,488,Sala de Espectáculos del CECUT,1985-06-27,Secretaría de Cultura/CECUT,Av. Paseo de los Héroes 9350,Zona Urbana Río Tijuana,22010,(664) 687 96 56,http://www.cecut.gob.mx/eespectaculos.php,teatrocecut@cecut.gob.mx,32.5306,-117.02374,2,4,1,Baja California,Tijuana,Tijuana,http://sic.gob.mx/ficha.php?table=teatro&table_id=488,2017-07-31T18:37:05-05:00
35,873,Foro Experimental del CEART Rosarito,2016-04-06,Instituto de Cultura de Baja California,Paseo de la Cascada s/n,Col. La Cascada,22701,(686) 553 69 51,,,32.30501,-117.04113,2,5,1,Baja California,Playas de Rosarito,Playas de Rosarito,http://sic.gob.mx/ficha.php?table=teatro&table_id=873,2016-12-15T10:56:57-06:00
36,836,Teatro-Espacio Angular Esterito,1979-12-01,"Federación de Alianzas Francesas y Franco Mexicanas de México, A.C.",Valentín Gomez Farias 525,Esterito,23070,(612) 122 28 88,http://www.alianzafrancesa.org.mx/La-Paz/TEATRO-ESPACIO-ANGULAR-ESTERITO,rubsando@uabcs.mx,24.16532,-110.30307,3,3,1,Baja California Sur,La Paz,La Paz,http://sic.gob.mx/ficha.php?table=teatro&table_id=836,2016-05-19T11:19:50-05:00
37,244,Teatro al Aire Libre Ignacio García Tellez (En remodelación),1962-06-07,Centro de Seguridad Social del IMSS,Álvaro Obregón entre Héroes del 47 y Colegio Militar,Col. Esterito,23020,"(612) 123 67 00 exts. 31184, 31139",,rafael.puppo@imss.gob.mx,24.17117,-110.30713,3,3,1,Baja California Sur,La Paz,La Paz,http://sic.gob.mx/ficha.php?table=teatro&table_id=244,2016-12-16T11:13:54-06:00
38,300,Teatro Juárez,1910-09-15,"Patronato de la Cultura de Baja California Sur, A.C.",Belisario Domínguez s/n entre 16 de Septiembre e Independencia,Centro,23000,(612) 109 91 71,https://teatrojuarez.wordpress.com/en-los-medios/; https://www.facebook.com/Teatro-Ju%C3%A1rez-195773027103843/about/,teatrojuarezlapaz@gmail.com,24.1621,-110.31513,3,3,1,Baja California Sur,La Paz,La Paz,http://sic.gob.mx/ficha.php?table=teatro&table_id=300,2016-12-15T13:58:53-06:00
39,309,Teatro al Aire Libre Profra. Rosaura Zapata Cano,1985-01-01,Instituto Sudcaliforniano de Cultura,Navarro entre Altamirano y Héroes de Independencia,Centro,23000,(612) 125 02 07,,teatrolapaz@hotmail.com,24.14727,-110.31801,3,3,1,Baja California Sur,La Paz,La Paz,http://sic.gob.mx/ficha.php?table=teatro&table_id=309,2016-12-16T10:33:07-06:00
40,12,Teatro de la Ciudad de La Paz,1987-01-01,Instituto Sudcaliforniano de Cultura,Navarro s/n esq. Altamirano y Héroes de Independencia,Centro,23000,(612) 125 02 07,,teatrolapaz@hotmail.com,0.0,0.0,3,3,1,Baja California Sur,La Paz,La Paz,http://sic.gob.mx/ficha.php?table=teatro&table_id=12,2016-12-15T13:51:50-06:00
41,17,Teatro Cine General Manuel Márquez de León,1944-02-05,"Patronato del Teatro Manuel Márquez de León, A.C.",Legaspy s/n esq. Gral. Márquez de León e Hidalgo,Centro,23300,(612) 145 10 83,,teatro44@hotmail.com,24.15427,-110.32415,3,3,3,Baja California Sur,La Paz,Todos Santos,http://sic.gob.mx/ficha.php?table=teatro&table_id=17,2016-07-12T16:10:29-05:00
42,909,Teatro Pabellón Cultural de la República Nabor García Aguirre,2011-03-31,Instituto de la Cultura y las Artes del Municipio de Los Cabos,Bvld. Marina Lote 8,Centro,23450,(624	) 243-17-07,https://www.facebook.com/PabellonCulturalDeLaRepublica/,pabellon_cultural@hotmail.com.mx,22.87963,-109.9121,3,8,1,Baja California Sur,Los Cabos,San José del Cabo,http://sic.gob.mx/ficha.php?table=teatro&table_id=909,2018-02-13T09:45:46-06:00
43,969,La Circo,1000-01-01,,Angela Ceseña s/n entre Barlovento y Carr. Transpeninsular,,23407,624 182 16 14,,lacircoac@gmail.com,23.06679,-109.70396,3,8,1,Baja California Sur,Los Cabos,San José del Cabo,http://sic.gob.mx/ficha.php?table=teatro&table_id=969,2020-05-15T13:02:10-05:00
44,623,Teatro Miguel Lomelí Ceseña (Cerrado por remodelación),2007-03-19,Ayuntamiento de Los Cabos/Instituto de Cultura de Los Cabos,Zaragoza esq. Guerrero,Centro,23400,(624) 142 23 29,,espacioculturaloscabos@hotmail.com,23.06161,-109.69831,3,8,1,Baja California Sur,Los Cabos,San José del Cabo,http://sic.gob.mx/ficha.php?table=teatro&table_id=623,2017-03-11T19:01:25-06:00
45,834,Foro de la Casa de Cultura Alfredo Green González,1974-01-01,Ayuntamiento de Los Cabos,Blvd. Mijares 1413 esq. Álvaro Obregón,Centro,23400,(624) 146 98 36 ,https://www.facebook.com/pages/Casa-De-La-Cultura-Alfredo-Green-Gonzalez/171855542869550?fref=ts,maridi72@hotmail.com,23.06303,-109.69455,3,8,1,Baja California Sur,Los Cabos,San José del Cabo,http://sic.gob.mx/ficha.php?table=teatro&table_id=834,2016-12-15T13:41:03-06:00
46,293,Cine – Teatro Universitario Joaquín Lanz,1967-07-01,Universidad Autónoma de Campeche,Av. Agustín Melgar s/n esq. Juan de la Barrera y Calle 20,Col. Buenavista,24039,98 1160 2618,https://culturauac.uacam.mx/view/paginas/10,japortil@uacam.mx,19.83046,-90.55774,4,2,1,Campeche,Campeche,San Francisco de Campeche,http://sic.gob.mx/ficha.php?table=teatro&table_id=293,2021-01-19T07:33:03-06:00
47,267,Teatro Juan de la Cabada,1989-01-01,Instituto de Cultura de Campeche,Av. 16 de Septiembre s/n y calle  53,Centro,24000,(981) 811 00 08,http://www.culturacampeche.com/,,19.84763,-90.53655,4,2,1,Campeche,Campeche,San Francisco de Campeche,http://sic.gob.mx/ficha.php?table=teatro&table_id=267,2016-12-27T15:08:08-06:00
48,304,Teatro IMSS-SNTSS Campeche Teatro 401 Lic. Ignacio García Téllez,1967-07-27,Instituto Mexicano del Seguro Social (IMSS),Av. López Mateos s/n esq. Talamantes,Centro,24000,(981) 811 22 11,,luis.santamariav@imss.gob.mx,19.83907,-90.53851,4,2,1,Campeche,Campeche,San Francisco de Campeche,http://sic.gob.mx/ficha.php?table=teatro&table_id=304,2018-07-04T08:55:05-05:00
49,266,Teatro Ing. Ricardo Hernández Cárdenas,1957-01-01,Instituto Campechano Gobierno del Estado de Campeche,Calle 10 núm. 357 entre 63 y 65,Centro,24000,"(981) 816 24 80 exts. 108,124",,jmalcocer@hotmail.com,19.84377,-90.54006,4,2,1,Campeche,Campeche,San Francisco de Campeche,http://sic.gob.mx/ficha.php?table=teatro&table_id=266,2018-07-04T09:23:02-05:00
50,774,Teatro Manuel Ávila Cano,2011-12-02,Secretaría de Cultura de Campeche,Calle 12 núm. 173 entre 59 y 61 ,Centro,24000,(981) 816 29 57,http://www.culturacampeche.com,elclaustro@hotmail.com,19.84408,-90.53775,4,2,1,Campeche,Campeche,San Francisco de Campeche,http://sic.gob.mx/ficha.php?table=teatro&table_id=774,2018-08-06T07:21:12-05:00
51,387,Teatro de la Ciudad Francisco de Paula Toro,1834-09-15,Ayuntamiento de Campeche,Calle 12 núm. 139  entre 51 y 53,Centro Histórico,24000,(981) 811 36 53,,damy.9127@hotmail.com,19.84549,-90.53461,4,2,1,Campeche,Campeche,San Francisco de Campeche,http://sic.gob.mx/ficha.php?table=teatro&table_id=387,2018-06-29T05:54:52-05:00
52,773,Teatro al aire libre Francisco Gabilondo Soler,1986-07-15,Ayuntamiento del Carmen,Int. Zoológico Municipal<br>Av. Heroes del 21 de Abril s/n,Col. Playa Norte,24100,(938) 382 13 87 ext. 2650,,payaso_chiflon@outllok.com; payaso_chiflon@hotmail.com,18.65915,-91.83847,4,3,1,Campeche,Carmen,Ciudad del Carmen,http://sic.gob.mx/ficha.php?table=teatro&table_id=773,2016-12-27T15:12:32-06:00
53,260,Teatro Auditorio Miguel Zepeda García,1967-07-27,Universidad Autónoma del Carmen,Calle 31 s/n esq. Calle 28,Centro,24100,(938) 382 78 16,http://www.unacar.mx/,jvergara@delfin.unacar.mx,18.63811,-91.83403,4,3,1,Campeche,Carmen,Ciudad del Carmen,http://sic.gob.mx/ficha.php?table=teatro&table_id=260,2016-10-31T11:51:19-06:00
54,153,Teatro del Centro Cultural Universitario,1991-01-01,Universidad Autónoma del Carmen,Calle 31 s/n x 28,Centro,24100,(938) 382 78 16,,,18.63859,-91.83459,4,3,1,Campeche,Carmen,Ciudad del Carmen,http://sic.gob.mx/ficha.php?table=teatro&table_id=153,2017-03-15T10:56:53-06:00
55,302,Teatro Carmelita,1997-01-01,Ayuntamiento del Carmen,Calle 26-A,Centro,24100,(938) 382 62 10,,antoniorccr@gmail.com; fela_glez@gmail.com,18.63912,-91.83498,4,3,1,Campeche,Carmen,Ciudad del Carmen,http://sic.gob.mx/ficha.php?table=teatro&table_id=302,2016-07-26T15:12:51-05:00
56,790,Teatro de la Ciudad Virgilio Barrera Vega,2007-05-01,Ayuntamiento de Champotón,Calle 32 s/n entre 25 y 27,Centro,24400,982 828 03 43 ,http://www.champoton.gob.mx,municipio@champoton.gob.mx,19.35565,-90.72333,4,4,1,Campeche,Champotón,Champotón,http://sic.gob.mx/ficha.php?table=teatro&table_id=790,2021-08-13T10:58:50-05:00
57,917,Cine Teatro Morón,1000-01-01,,,,,,,,0.0,0.0,4,7,1,Campeche,Palizada,Palizada,http://sic.gob.mx/ficha.php?table=teatro&table_id=917,2017-07-14T12:59:54-05:00
58,258,Teatro Lic. Evaristo Pérez Arreola,1992-09-08,Municipio de Acuña,Manuel Acuña s/n esq. Iturbide,Centro,26200,877 772 61 30,,,29.31573,-100.93679,5,2,1,Coahuila de Zaragoza,Acuña,Ciudad Acuña,http://sic.gob.mx/ficha.php?table=teatro&table_id=258,2021-09-03T09:31:55-05:00
59,687,Teatro de Cámara del Teatro de la Ciudad de Monclova,2010-02-11,Universidad Autónoma de Coahuila/Coordinación General de Difusión y Patrimonio Cultural,Blvd. Pape s/n,Estancias de Santa Ana,25710,(866) 639 08 79,,ismaeldiazga@gmail.com,26.944,-101.41404,5,18,1,Coahuila de Zaragoza,Monclova,Monclova,http://sic.gob.mx/ficha.php?table=teatro&table_id=687,2017-01-09T11:23:08-06:00
60,667,Teatro de la Ciudad,2010-02-10,Universidad Autónoma de Coahuila/Coordinación General de Difusión y Patrimonio Cultural,"Carretera 57, Monclova-Piedras Negras, Km.5",Estancias San Juan Bautista,25710,(866) 639 08 79,,ismaeldiazga@gmail.com,26.94375,-101.41427,5,18,1,Coahuila de Zaragoza,Monclova,Monclova,http://sic.gob.mx/ficha.php?table=teatro&table_id=667,2016-07-28T15:43:49-05:00
61,257,Teatro IMSS Monclova,1962-11-22,Instituto Mexicano del Seguro Social (IMSS),Blvd. Harold R. Pape 405,Col. Guadalupe,25750,(866) 633 58 11 ext  41393,,luis.sanmiguel@imss.gob.mx,26.90253,-101.42963,5,18,1,Coahuila de Zaragoza,Monclova,Monclova,http://sic.gob.mx/ficha.php?table=teatro&table_id=257,2017-01-06T16:18:31-06:00
62,276,Teatro Juárez,1972-01-01,Presidencia Municipal,H. Colegio Militar s/n,Zona Centro,27980,(842) 422 00 14 ext. 111,,,25.43806,-102.18278,5,24,1,Coahuila de Zaragoza,Parras,Parras de la Fuente,http://sic.gob.mx/ficha.php?table=teatro&table_id=276,2017-01-06T14:43:01-06:00
63,746,Teatro de la Ciudad José Manuel Maldonado,2011-12-03,Ayuntamiento de Piedras Negras,Prol. Blvd. República 306,Fracc. El Lago,26069,"878 782 66 66 ext. 1040, 1011",http://www.piedrasnegras.gob.mx/category/teatro-jose-manuel-maldonado/,karlacantu28@gmail.com,28.70552,-100.56271,5,25,1,Coahuila de Zaragoza,Piedras Negras,Piedras Negras,http://sic.gob.mx/ficha.php?table=teatro&table_id=746,2021-10-05T12:50:29-05:00
64,284,Teatro al Aire Libre (Concha Acústica) Macroplaza,1969-10-31,Ayuntamiento de Piedras Negras,16 de Septiembre y Av. Monterrey,Centro,26010,(878) 792 51 08,,,28.70834,-100.52922,5,25,1,Coahuila de Zaragoza,Piedras Negras,Piedras Negras,http://sic.gob.mx/ficha.php?table=teatro&table_id=284,2017-02-17T11:58:30-06:00
65,894,Auditorio del Centro Cultural Multimedia 2000,1000-01-01,,Av. Jardín 606 ,Fraccionamiento La Fuente,,878 783 7650,,,28.70622,-100.56174,5,25,1,Coahuila de Zaragoza,Piedras Negras,Piedras Negras,http://sic.gob.mx/ficha.php?table=teatro&table_id=894,2021-01-19T06:58:05-06:00
66,133,Teatro IMSS Piedras Negras,1970-04-06,Instituto Mexicano del Seguro Social (IMSS),Blvd. Eliseo Mendoza Berrueto 3701,Col. Las Delicias,26070,(878) 783 07 64,,francisco.gonzalezm@imss.gob.mx,28.67623,-100.54668,5,25,1,Coahuila de Zaragoza,Piedras Negras,Piedras Negras,http://sic.gob.mx/ficha.php?table=teatro&table_id=133,2017-01-06T16:52:59-06:00
67,995,Teatro de la Ciudad Eulalio Gutiérrez,2019-12-01,,Dr. David Martínez Soto 101,Col. Eulalio Gutiérrez,25900,844 488 0707,,aaron-lopez@hotmail.es,25.53933,-100.94641,5,27,1,Coahuila de Zaragoza,Ramos Arizpe,Ramos Arizpe,http://sic.gob.mx/ficha.php?table=teatro&table_id=995,2021-03-23T07:46:20-06:00
68,982,Rincón del Teatro ,1000-01-01,,Lic. Benito Juárez 591,Zona Centro,25000,844 130 2029,,,25.42027,-100.99737,5,30,1,Coahuila de Zaragoza,Saltillo,Saltillo,http://sic.gob.mx/ficha.php?table=teatro&table_id=982,2020-05-19T06:37:23-05:00
69,549,Teatro de Cámara ,1978-01-01,Instituto Coahuilense de Cultura,Xicoténcatl esq. Blvd. Francisco Coss s/n,Zona Centro,25000,(844) 412 19 47,,irmacaty@hotmail.com,25.4337,-101.00001,5,30,1,Coahuila de Zaragoza,Saltillo,Saltillo,http://sic.gob.mx/ficha.php?table=teatro&table_id=549,2017-01-09T11:17:15-06:00
