,fototeca_id,fototeca_nombre,fototeca_fecha_fundacion,fototeca_adscripcion,fototeca_calle_numero,fototeca_colonia,fototeca_cp,fototeca_telefono1,pagina_web,email,gmaps_latitud,gmaps_longitud,estado_id,municipio_id,localidad_id,nom_ent,nom_mun,nom_loc,link_sic,fecha_mod
10,85,Archivo Histórico de Chiapas-UNICACH,1988-01-01,Universidad de Ciencias y Artes de Chiapas,Boulevard Ángel Albino Corzo Km 1087,Centro,29000,(961) 612 55 54,http://www.facebook.com/Archivo2018/,archivohistorico@unicach.mx,16.75119,-93.09963,7,101,1,Chiapas,Tuxtla Gutiérrez,Tuxtla Gutiérrez,http://sic.gob.mx/ficha.php?table=fototeca&table_id=85,2018-08-24T11:38:54-05:00
11,87,Fototeca Centro INAH Chihuahua,1994-01-01,Secretaría de Cultura/INAH,Libertad 901,Centro,31000,(614) 429 33 00 ext. 11740,http://inahchihuahua.gob.mx/sections.pl?id=17,jgc1958@gmail.com,28.63949,-106.07387,8,19,1,Chihuahua,Chihuahua,Chihuahua,http://sic.gob.mx/ficha.php?table=fototeca&table_id=87,2018-07-10T03:53:59-05:00
12,69,Fototeca de la Coordinación Nacional de Conservación del Patrimonio Cultural del INAH,1000-01-01,Secretaría de Cultura/INAH,"Xicoténcatl s/n, Ex-convento de churubusco",San Diego Churubusco,04120,(55) 5688 2885,http://sinafo.inah.gob.mx/fototeca-cncpc/,atencion.sinafo@inah.gob.mx,19.3554,-99.1494,9,3,1,Ciudad de México,Coyoacán,Coyoacán,http://sic.gob.mx/ficha.php?table=fototeca&table_id=69,2018-07-11T07:48:02-05:00
13,56,Fototeca del IISUNAM,1000-01-01,"Instituto de Investigaciones Sociales, Universidad Nacional Autónoma de México","Circuito Mario de la Cueva s/n, Zona Cultural, CU",Col. Coyoacán,04510,(55) 5622 7391,http://ru.iis.sociales.unam.mx/jspui/handle/IIS/43,fototeca.iis@sociales.unam.mx,19.31506,-99.17949,9,3,1,Ciudad de México,Coyoacán,Coyoacán,http://sic.gob.mx/ficha.php?table=fototeca&table_id=56,2018-08-14T06:38:18-05:00
14,77,Iconoteca de la Biblioteca Nacional de México,1000-01-01,Universidad Nacional Autónoma de México,Centro Cultural Universitario<br>Ciudad Universitaria,,04510,(55) 5622 6821,,fonres@unam.mx,19.31662,-99.18503,9,3,1,Ciudad de México,Coyoacán,Coyoacán,http://sic.gob.mx/ficha.php?table=fototeca&table_id=77,2018-09-03T06:57:39-05:00
15,107,Diapositeca Digital de la Facultad de Arquitectura ,1985-01-01,UNAM,Av. Universidad 3000,Cd. Universitaria,04510,"(55) 5622 0254, 5622 0297",http://arquitectura.unam.mx/diapositeca.html,comsoc.fa@unam.mx,19.33123,-99.18651,9,3,1,Ciudad de México,Coyoacán,Coyoacán,http://sic.gob.mx/ficha.php?table=fototeca&table_id=107,2018-08-06T04:45:25-05:00
16,113,Fototeca de la Filmoteca UNAM,1981-07-08,UNAM/Dirección General de Actividades Cinematográficas,Circuito Mario de la Cueva s/n,Ciudad Universitaria,04510,"(55) 5622 9376, 79",http://www.filmoteca.unam.mx,antonia@unam.mx,19.31956,-99.17555,9,3,1,Ciudad de México,Coyoacán,Coyoacán,http://sic.gob.mx/ficha.php?table=fototeca&table_id=113,2018-08-17T06:36:26-05:00
17,52,"Herbario Nacional de México, Instituto de Biología de la UNAM",1000-01-01,UNAM,Apdo. Postal 70-367,,04510,(55) 5622 9070,http://www.ib.unam.mx/botanica/herbario/,mexu@ib.unam.mx,19.31937,-99.19372,9,3,1,Ciudad de México,Coyoacán,Coyoacán,http://sic.gob.mx/ficha.php?table=fototeca&table_id=52,2017-10-20T14:21:32-05:00
18,145,Archivo Fotográfico Manuel Toussaint,1000-01-01,UNAM,Circuito Mario de la Cueva s/n,Cd. Universitaria,04510,(55) 5622 7250 ,,iieweb@unam.mx,19.35021,-99.16194,9,3,1,Ciudad de México,Coyoacán,Coyoacán,http://sic.gob.mx/ficha.php?table=fototeca&table_id=145,2018-07-19T05:25:49-05:00
19,108,Instituto de Investigaciones Estéticas de la UNAM,1935-01-01,,"Insurgentes Sur s/n, Cd- Universitaria",Copilco,04510,(55) 5669 2465,lhttp://www.esteticas.unam.mx/,afmt@unam.mx,19.32394,-99.18629,9,3,1,Ciudad de México,Coyoacán,Coyoacán,http://sic.gob.mx/ficha.php?table=fototeca&table_id=108,2013-06-28T12:16:01-05:00
20,64,Fototeca del Centro de Información y Documentación Alberto Beltrán,1978-01-01,"Secretaría de Cultura/Dirección General de Culturas Populares, Indígenas y Urbanas",Av. Hidalgo 289,Col. Del Carmen,04100,(55) 4155 0929,http://cidalbertobeltran.cultura.gob.mx,cpcid@cultura.gob.mx,19.34979,-99.1608,9,3,1,Ciudad de México,Coyoacán,Coyoacán,http://sic.gob.mx/ficha.php?table=fototeca&table_id=64,2018-08-15T07:03:43-05:00
21,45,Área de Acervos Históricos de la Biblioteca Francisco Xavier Clavijero de la Universidad Iberoamericana,1000-01-01, Universidad Iberoamericana,Prol. de Paseo de la Reforma 880,Lomas de Santa Fe,01210,(55) 5950 4000 ext. 4670,http://www.bib.uia.mx,luis.inclan@ibero.mx,19.37074,-99.26444,9,4,1,Ciudad de México,Cuajimalpa de Morelos,Cuajimalpa de Morelos,http://sic.gob.mx/ficha.php?table=fototeca&table_id=45,2018-10-29T07:18:58-06:00
22,102,Archivo Privado de Fotos y Gráfica Kati y José Horna,1000-01-01,Privado,"Av. San Francisco 558, esq. Cda. Villa Elvira casa 32",Col. San Jerónimo Lidice,10200,(55) 5568 0436,http://sac.usal.es/index.php/archivo/ano-2012/274-kati-horna-abril-junio-2012,norahhorna@yahoo.com,19.31414,-99.23327,9,8,1,Ciudad de México,La Magdalena Contreras,La Magdalena Contreras,http://sic.gob.mx/ficha.php?table=fototeca&table_id=102,2018-07-19T05:57:39-05:00
23,5,Museo Casa Estudio Diego Rivera y Frida Kahlo,1000-01-01,Secretaría de Cultura/INBA,Diego Rivera s/n esq. Altavista,San Ángel Inn,01060,(55) 8647 5470,http://www.estudiodiegorivera.bellasartes.gob.mx/,medr.registroobra@inba.gob.mx,19.34961,-99.19737,9,10,1,Ciudad de México,Álvaro Obregón,Álvaro Obregón,http://sic.gob.mx/ficha.php?table=fototeca&table_id=5,2018-07-23T09:54:27-05:00
24,70,Fototeca Nacho López de la Comisión ,1998-01-01,Nacional para el Desarrollo de los Pueblos Indígenas (CDI),"Av. Revolución 1279, piso 1",Col. Tlacopac,01010,(55) 5651 3199 ext. 8101,,silvia.gomez@cdi.gob.mx,19.36034,-99.18963,9,10,1,Ciudad de México,Álvaro Obregón,Álvaro Obregón,http://sic.gob.mx/ficha.php?table=fototeca&table_id=70,2018-07-18T08:43:16-05:00
25,141,Fototeca del Instituto Nacional de Estudios Históricos de las Revoluciones de México,1999-02-01,Secretaría de Cultura Federal,Francisco I. Madero 1,Col. San Ángel,01000,"(55) 4155 0200 extS. 3070, 3073",http://www.inehrm.gob.mx/es/inehrm/Fototeca,rafael.hernandez@cultura.gob.mx; cecilia.pacheco@cultura.gob.mx ,19.34527,-99.19108,9,10,1,Ciudad de México,Álvaro Obregón,Álvaro Obregón,http://sic.gob.mx/ficha.php?table=fototeca&table_id=141,2019-08-13T08:39:06-05:00
26,92,Escuela Nacional de Artes Plásticas de la UNAM,1000-01-01,Universidad Nacional Autónoma de México,Av. Constitución 600,Barrio La Concha,16210,(55) 5489 4921,,arcelia@correo.unam.mx,19.25204,-99.11917,9,13,1,Ciudad de México,Xochimilco,Xochimilco,http://sic.gob.mx/ficha.php?table=fototeca&table_id=92,2017-10-20T13:36:05-05:00
27,104,Biblioteca de las Artes del Centro Nacional de las Artes,1000-01-01,Secretaría de Cultura/CENART,Av. Río Churubusco s/n esq. Calz. de Tlalpan,Col. Country Club,04220,"(55) 1253 9400 exts. 1248, 1223",http://www.cenart.gob.mx/vida-academica/biblioteca-de-las-artes/,fespbib@correo.cnart.mx,19.35654,-99.14139,9,14,1,Ciudad de México,Benito Juárez,Benito Juárez,http://sic.gob.mx/ficha.php?table=fototeca&table_id=104,2018-08-16T07:49:41-05:00
28,55,Fototeca de Casa Museo Benita Galeana,2000-06-08,Delegación Benito Juárez,Cda. Zutano 11,Col. 2a. del Periodista,03620,(55) 5609 1687,,,0.0,0.0,9,14,1,Ciudad de México,Benito Juárez,Benito Juárez,http://sic.gob.mx/ficha.php?table=fototeca&table_id=55,2018-07-19T07:53:39-05:00
29,123,Centro de Documentación de la Cineteca Nacional,1000-01-01,Secretaría de Cultura,Av. México Coyoacán 389,Col. Xoco,03330,(55) 5422 1100 ext. 2235,,,19.36087,-99.16446,9,14,1,Ciudad de México,Benito Juárez,Benito Juárez,http://sic.gob.mx/ficha.php?table=fototeca&table_id=123,2018-07-17T04:53:58-05:00
30,67,Fototeca del Centro Nacional de Información y Promoción de la Literatura,1992-01-01,Instituto Nacional de Bellas Artes,República del Brasil 37 ,Centro,06600,(55) 5772 2274,,,19.43865,-99.13327,9,15,1,Ciudad de México,Cuauhtémoc,Cuauhtémoc,http://sic.gob.mx/ficha.php?table=fototeca&table_id=67,2018-07-17T07:59:17-05:00
31,73,Archivo Histórico y Biblioteca Central del Agua ,1994-01-01,Comisión Nacional del Agua/Subdirección General de Planeación,Balderas 94 ,Centro,06040,"(55) 5174 4000 exts. 2316, 5707",https://www.gob.mx/conagua/es/acciones-y-programas/archivo-historico-y-biblioteca-central-del-agua-149838,olga.manuel@conagua.gob.mx; ciagua@conagua.gob.mx,19.43098,-99.14783,9,15,1,Ciudad de México,Cuauhtémoc,Cuauhtémoc,http://sic.gob.mx/ficha.php?table=fototeca&table_id=73,2018-08-22T09:23:57-05:00
32,80,Archivo Histórico del Distrito Federal,1000-01-01,,República de Chile 8,Centro Histórico,06010,(55) 5510 8582,,ruiza@sni.conacyt.mx,19.43627,-99.13626,9,15,1,Ciudad de México,Cuauhtémoc,Cuauhtémoc,http://sic.gob.mx/ficha.php?table=fototeca&table_id=80,2018-08-01T06:54:36-05:00
33,61,Ex Teresa Arte Actual,1994-01-01,Secretaría de Cultura/INBA,Lic. Verdad 8,Centro,06060,(55) 55022 9093,http://www.exteresa.bellasartes.gob.mx/,exteresa.difusion@inba.gob.mx,19.4345,-99.13069,9,15,1,Ciudad de México,Cuauhtémoc,Cuauhtémoc,http://sic.gob.mx/ficha.php?table=fototeca&table_id=61,2021-11-10T08:38:34-06:00
34,40,Fototeca del Museo Nacional de Arte del INBA,2001-01-01,Secretaría de Cultura/INBA,Tacuba 8,Centro Histórico,06010,(55) 8647 5430 ext. 5061,http://www.munal.mx,abigail.molleda@munal.inba.gob.mx,19.43633,-99.13944,9,15,1,Ciudad de México,Cuauhtémoc,Cuauhtémoc,http://sic.gob.mx/ficha.php?table=fototeca&table_id=40,2018-08-15T07:18:34-05:00
35,112,Fototeca Constantino Reyes-Valerio,1970-01-01,"Secretaría de Cultura/INAH/Coordinación Nacional de Difusión, Sistema Nacional de Fototecas",Correo Mayor 11,Centro Histórico,06060,(55) 4040 5650 ext. 413020,http://www.fototeca-crv.inah.gob.mx/web/index.php?Intro=5/; http://www.fototeca-crv.inah.gob.mx/web/index.php,fototeca.cnmh@inah.gob.mx,19.43389,-99.13004,9,15,1,Ciudad de México,Cuauhtémoc,Cuauhtémoc,http://sic.gob.mx/ficha.php?table=fototeca&table_id=112,2018-10-03T08:32:44-05:00
36,42,Museo Postal,1000-01-01,Servicio Postal Mexicano,"Tacuba 1, piso 2",Centro Histórico,06000,(55) 5340 3300,https://www.vivemx.com/turismo/museo-postal.htm,jacalderon@correosdemexico.gob.mx,19.43579,-99.14039,9,15,1,Ciudad de México,Cuauhtémoc,Cuauhtémoc,http://sic.gob.mx/ficha.php?table=fototeca&table_id=42,2018-07-18T04:32:16-05:00
37,116,Dirección General del Acervo Histórico Diplomático de la Secretaría de Relaciones Exteriores,1000-01-01,Secretaría de Relaciones Exteriores,"Ricardo Flores Magón 2, segundo piso",Col. Guerrero,06800,(55) 3686 5026,,dgahistoricosre@sre.gob.mx,19.44951,-99.13781,9,15,1,Ciudad de México,Cuauhtémoc,Cuauhtémoc,http://sic.gob.mx/ficha.php?table=fototeca&table_id=116,2018-07-27T06:07:42-05:00
38,91,Academia de San Carlos de la UNAM,1000-01-01,Universidad Nacional Autónoma de México,Academia 22,centro,06060,(55) 5522 0477,http://www.fad.unam.mx/educacion-continua/academia.php,,19.43303,-99.12884,9,15,1,Ciudad de México,Cuauhtémoc,Cuauhtémoc,http://sic.gob.mx/ficha.php?table=fototeca&table_id=91,2018-07-24T04:40:43-05:00
39,117,Fideicomiso Archivos Plutarco Elías Calles y Fernando Torreblanca,1986-10-16,Fideicomiso Archivos Plutarco Elías Calles y Fernando Torreblanca,Guadalajara 104,Roma Norte,06700,"(55) 5286 8339, 5211 4999",http://www.fapecft.org.mx,normaogarrio@hotmail.com; fapecfot@yahoo.com.mx; fapecfot@gmail.com,19.41629,-99.17166,9,15,1,Ciudad de México,Cuauhtémoc,Cuauhtémoc,http://sic.gob.mx/ficha.php?table=fototeca&table_id=117,2018-07-16T09:04:16-05:00
40,109,Museo del Templo Mayor del INAH,1000-01-01,Secretaría de Cultura/INAH,Seminario 8,Centro Histórico,06060,(55) 5542 0256,http://www.templomayor.inah.gob.mx/,templomayor@attglobal.net,19.43455,-99.13186,9,15,1,Ciudad de México,Cuauhtémoc,Cuauhtémoc,http://sic.gob.mx/ficha.php?table=fototeca&table_id=109,2017-10-10T13:53:50-05:00
41,74,Fototeca del Archivo Histórico del Arzobispado de México,1546-01-01,"Arquidiócesis Primada de México, A.R.","Durango 90, primer piso",Col. Roma,06700,"(55) 5208 3200, 5208 6351 ext. 1153",http://aham.arquidiocesismexico.org.mx/,iturbe_maestría@hotmail.com,19.42157,-99.15919,9,15,1,Ciudad de México,Cuauhtémoc,Cuauhtémoc,http://sic.gob.mx/ficha.php?table=fototeca&table_id=74,2018-07-19T05:07:25-05:00
42,130,Fototeca de la Coordinación Nacional de Museos y Exposiciones del INAH,1000-01-01,Secretaría de Cultura/INAH,Hamburgo 135,Col. Juárez,06600,,,alejandra_ruano@inah.gob.mx,-5e-05,0.00027,9,15,1,Ciudad de México,Cuauhtémoc,Cuauhtémoc,http://sic.gob.mx/ficha.php?table=fototeca&table_id=130,2018-07-25T05:10:04-05:00
43,72,Archivo Histórico Citibanamex,1000-01-01,Privado,Isabel la Católica 44 esq. Venustiano Carranza 64,Centro Histórico,06000,(55) 1226 5161,https://www.amabpac.org.mx/wp/miembros/archivo-historico-banamex/,carlos.fernando.coronatorres@citibanamex.com,19.43156,-99.13651,9,15,1,Ciudad de México,Cuauhtémoc,Cuauhtémoc,http://sic.gob.mx/ficha.php?table=fototeca&table_id=72,2018-08-10T06:45:51-05:00
44,146,Fototeca de la Dirección de Salvamento Arqueológico ,2013-01-01,Secretaría de Cultura/INAH,Córdoba núm 45,Col. Roma,06700,(55) 4040 4300 ext.416471,,emmanuel_molina @inah.gob.mx,19.44165,-99.15167,9,15,1,Ciudad de México,Cuauhtémoc,Cuauhtémoc,http://sic.gob.mx/ficha.php?table=fototeca&table_id=146,2021-11-10T08:39:02-06:00
45,106,Fototeca Etnográfica del Museo Nacional de Antropología del INAH,1964-09-17,Secretaría de Cultura/INAH/Museo Nacional de Antropología,Av. Paseo de la Reforma s/n esq. Gandhi,Col. Chapultepec Polanco,11560,"(55) 5553 6231, 5919 6528",,valerioer@hotmail.com,19.42545,-99.18188,9,16,1,Ciudad de México,Miguel Hidalgo,Miguel Hidalgo,http://sic.gob.mx/ficha.php?table=fototeca&table_id=106,2018-09-14T06:25:52-05:00
46,60,Museo de Arte Moderno del INBA,1993-01-01,Secretaría de Cultura/INBA,Paseo de la Reforma esq. Gandhi s/n,Col. Bosque de Chapultepec,11560,(55) 8647 5530,https://mam.inba.gob.mx/,mam@correo.inba.gob.mx,19.42286,-99.17948,9,16,1,Ciudad de México,Miguel Hidalgo,Miguel Hidalgo,http://sic.gob.mx/ficha.php?table=fototeca&table_id=60,2021-11-10T08:40:17-06:00
47,68,Dirección de Antropología Física del INAH,1968-01-01,Secretaría de Cultura/INAH,Av. Paseo de la Reforma esq. Calz. Gandhi s/n,Col. Polanco Chapultepec,11560,(55) 4040 5300 ext. 412480,http://antropologia.inah.gob.mx/direcciones/2012-11-07-23-02-30,dafinahga@gmail.com,19.42594,-99.18605,9,16,1,Ciudad de México,Miguel Hidalgo,Miguel Hidalgo,http://sic.gob.mx/ficha.php?table=fototeca&table_id=68,2018-10-03T03:51:53-05:00
48,46,Sala de Arte Público Siqueiros,1000-01-01,Secretaría de Cultura/INBA,Tres Picos 29,Col. Polanco,11560,(55) 8647 5340,http://www.saps-latallera.org,saps.archivo@inba.gob.mx,19.42886,-99.18737,9,16,1,Ciudad de México,Miguel Hidalgo,Miguel Hidalgo,http://sic.gob.mx/ficha.php?table=fototeca&table_id=46,2018-07-18T06:20:29-05:00
49,111,Fototeca del Museo Nacional de Historia ,1980-01-01,Secretaría de Cultura/INAH,"Castillo de Chapultepec, 1ª sección del Bosque de Chapultepec",Col. San Miguel Chapultepec,11580,(55) 4040 5200 ext. 3109,http://www.mnh.inah.gob.mx/biblioteca,fototeca.mnh@inah.gob.mx,19.42036,-99.18204,9,16,1,Ciudad de México,Miguel Hidalgo,Miguel Hidalgo,http://sic.gob.mx/ficha.php?table=fototeca&table_id=111,2018-07-17T05:26:50-05:00
50,76,Biblioteca Nacional de Antropología e Historia,1970-01-01,Secretaría de Cultura/INAH,Av. Paseo de la Reforma esq. Calz. Gandhi,Col. Polanco Chapultepec,11560,(55) 5553 6342,http://cdmxtravel.com/es/lugares/biblioteca-nacional-de-antropologia-e-historia.html,baltazar_brito@inah.gob.mx,19.4261,-99.18608,9,16,1,Ciudad de México,Miguel Hidalgo,Miguel Hidalgo,http://sic.gob.mx/ficha.php?table=fototeca&table_id=76,2021-11-10T08:39:56-06:00
51,83,Fototeca del Archivo General de la Nación,1000-01-01,Secretaría de Gobernación,Eduardo Molina 113,Col. Penitenciaría ,15350,(55) 5795 7311,http://www.agn.gob.mx/,argena@agn.gob.mx,19.43673,-99.1129,9,17,1,Ciudad de México,Venustiano Carranza,Venustiano Carranza,http://sic.gob.mx/ficha.php?table=fototeca&table_id=83,2018-07-17T08:36:19-05:00
52,135,Fototeca del Museo Regional de Durango - UJED,1000-01-01,Universidad Juárez del Estado de Durango,Victoria 100 Sur,Centro,34000,(618) 812 56 05,http://www.ujed.mx,museoregional@hotmail.com,24.02675,-104.66971,10,5,1,Durango,Durango,Victoria de Durango,http://sic.gob.mx/ficha.php?table=fototeca&table_id=135,2018-07-17T04:40:52-05:00
53,48,Fototeca Centro INAH Durango,1994-01-01,Secretaría de Cultura/INAH,Av. 16 de Septiembre 130,Col. Silvestre Dorador,34070,(618) 128 44 13,http://www.inah.gob.mx,cesar_rodriguez@inah.gob.mx; cesarrg93@gmail.com,24.03395,-104.68209,10,5,1,Durango,Durango,Victoria de Durango,http://sic.gob.mx/ficha.php?table=fototeca&table_id=48,2018-07-17T09:27:37-05:00
54,148,Fototeca del Archivo Histórico del Estado de Durango,1998-01-01,Dirección General del Archivo Histórico del Estado de Durango,Cerro de la Cruz 122,Fracc. Lomas del Guadiana,34110,(618) 137 79 80,http://transparencia.durango.gob.mx/AHED,miguel.vallebueno@durango.gob.mx,24.02399,-104.67019,10,5,1,Durango,Durango,Victoria de Durango,http://sic.gob.mx/ficha.php?table=fototeca&table_id=148,2018-08-14T08:46:12-05:00
55,136,Fototeca del Archivo Histórico del Municipio de Durango,1000-01-01,"Ayuntamiento de Durango, Dgo.",Miguel de Cervantes Saavedra esq. 5 de febrero,Centro,34000,(618) 137 85 89,http://www.municipiodurango.gob.mx,,24.02495,-104.66074,10,5,1,Durango,Durango,Victoria de Durango,http://sic.gob.mx/ficha.php?table=fototeca&table_id=136,2018-08-10T08:14:57-05:00
56,31,Fototeca Romualdo García del Museo Regional de Guanajuato Alhóndiga de Granaditas,1000-01-01,Secretaría de Cultura/INAH,Mendizábal 6 ,Centro,36000,(473) 732 11 12,,alhondigaservicios@hotmail.com,21.01867,-101.25776,11,15,1,Guanajuato,Guanajuato,Guanajuato,http://sic.gob.mx/ficha.php?table=fototeca&table_id=31,2018-07-25T05:49:46-05:00
57,93,Archivo Histórico del Archivo General del Poder Ejecutivo de Guanajuato,1989-01-01,Gobierno del Estado de Guanajuato,Alhóndiga e Insurgencia 1,Centro,36000,(473) 732 1052,http://archivohistorico.guanajuato.gob.mx/,jegutierrezh@guanajuato.gob.mx,21.01969,-101.2586,11,15,1,Guanajuato,Guanajuato,Guanajuato,http://sic.gob.mx/ficha.php?table=fototeca&table_id=93,2018-08-22T08:56:14-05:00
58,29,Archivo Histórico Municipal de Irapuato,1974-01-01,Municipio de Irapuato,Allende 170,Centro Histórico,36500,(462) 627 45 54,,archivoirapuato@yahoo.com.mx,20.67536,-101.34963,11,17,1,Guanajuato,Irapuato,Irapuato,http://sic.gob.mx/ficha.php?table=fototeca&table_id=29,2018-08-14T05:58:32-05:00
59,79,Fototeca del Archivo Histórico Municipal de León,1948-01-01,Ayuntamiento de León,Justo Sierra 216,Centro,37000,(477) 714 18 49,https://es-la.facebook.com/ahmleongto/,ahmleon@prodigy.net.mx,21.12116,-101.68491,11,20,1,Guanajuato,León,León de los Aldama,http://sic.gob.mx/ficha.php?table=fototeca&table_id=79,2018-07-16T08:11:15-05:00
60,35,Archivo Histórico y Museo de Minería,1000-01-01,,Francisco Javier Mina 110,Centro,42000,(771) 715 09 76,,,20.12548,-98.73129,13,48,1,Hidalgo,Pachuca de Soto,Pachuca de Soto,http://sic.gob.mx/ficha.php?table=fototeca&table_id=35,2018-07-16T06:41:45-05:00
61,34,Fototeca Nacional del INAH,1976-11-20,"Secretaría de Cultura/INAH/Coordinación Nacional de Difusión, Sistema Nacional de Fototecas","Casasola s/n, Ex convento de San Francisco",Centro,42000,"(771) 713 19 77, 714 36 53",http://sinafo.inah.gob.mx,sinafo@inah.gob.mx,20.12086,-98.73182,13,48,1,Hidalgo,Pachuca de Soto,Pachuca de Soto,http://sic.gob.mx/ficha.php?table=fototeca&table_id=34,2018-07-12T05:26:04-05:00
62,147,Fototeca Centenario de la Revolución Mexicana,2010-01-19,Poder Judicial del Estado de Hidalgo/Archivo Histórico,Carr. México-Pachuca km. 84.5,Sector Primario,42080,(771) 717 90 00 ext. 9398,http://www.pjhidalgo.gob.mx/,archistpj@gmail.com,20.12236,-98.73694,13,48,1,Hidalgo,Pachuca de Soto,Pachuca de Soto,http://sic.gob.mx/ficha.php?table=fototeca&table_id=147,2018-08-07T07:20:05-05:00
63,66,Fototeca del Acervo Histórico del Archivo Municipal de Guadalajara,1000-01-01,"Ayuntamiento de Guadalajara, Jalisco",Esmeralda 2486 ,Fracc. Verde Valle,44560,(33) 1201 8638,,mramos@guadalajara.gob.mx; mistert63@outlook.com,0.0,0.0,14,39,1,Jalisco,Guadalajara,Guadalajara,http://sic.gob.mx/ficha.php?table=fototeca&table_id=66,2018-07-23T08:04:35-05:00
