,catedral_id,catedral_nombre,catedral_calle_numero,catedral_colonia,catedral_cp,catedral_telefono1,pagina_web,email,gmaps_latitud,gmaps_longitud,estado_id,municipio_id,localidad_id,nom_ent,nom_mun,nom_loc,link_sic,fecha_mod
33,39,Nuestra Señora de San Juan de los Lagos (Catedral-Basílica),Calle núm. 5 s/n,Centro,47000,(395) 785 1275,,,21.24531,-102.33396,14,73,1,Jalisco,San Juan de los Lagos,San Juan de los Lagos,http://sic.gob.mx/ficha.php?table=catedral&table_id=39,2018-12-10T10:34:28-06:00
34,22,San Francisco de Asis,Alfredo del Mazo Ote. s/n,Centro,50450,,,,19.8012,-99.8705,15,14,1,México,Atlacomulco,Atlacomulco de Fabela,http://sic.gob.mx/ficha.php?table=catedral&table_id=22,2018-06-13T10:20:38-05:00
35,24,San Buenaventura,Calle Carrillo Puerto 206,El Huerto,54807,(55)5872 0049,,,19.66907,-99.17939,15,24,1,México,Cuautitlán,Cuautitlán,http://sic.gob.mx/ficha.php?table=catedral&table_id=24,2018-06-13T10:25:13-05:00
36,26,Sagrado Corazón de Jesús,Plaza Principal s/n,San Cristóbal Centro,55000,(55) 5787 2112,http://www.diocesis-ecatepec.org.mx,,19.59951,-99.04665,15,33,1,México,Ecatepec de Morelos,Ecatepec de Morelos,http://sic.gob.mx/ficha.php?table=catedral&table_id=26,2018-12-13T06:23:02-06:00
37,28,Jesús Señor de la Misericordia,Av. Dr. Gustavo Baz 174,Col. Benito Juarez,57000,(55) 5734 2013,https://www.facebook.com/CatedralMisericordiaNeza/,,19.40929,-99.00063,15,58,1,México,Nezahualcóyotl,Ciudad Nezahualcóyotl,http://sic.gob.mx/ficha.php?table=catedral&table_id=28,2018-12-10T07:25:27-06:00
38,25,Corpus Cristi,Av Presidente Juárez s/n,Centro,54900,(55) 5565 5768,,,19.5379,-99.19483,15,104,1,México,Tlalnepantla de Baz,Tlalnepantla,http://sic.gob.mx/ficha.php?table=catedral&table_id=25,2018-12-13T06:21:15-06:00
39,23,San José,Independencia s/n <br>Centro,Centro,50000,(722) 215 27 77 ,http://www.diocesistoluca.org.mx/,catedral@diocesistoluca.org.mx ,19.29182,-99.65725,15,106,1,México,Toluca,Toluca de Lerdo,http://sic.gob.mx/ficha.php?table=catedral&table_id=23,2018-06-13T10:39:57-05:00
40,48,Nuestra Señora de la Asunción,Esteban Vaca Calderón 1 Ote. (Constitución de 1814 sur),Centro,60600,(453) 534 17 87,http://web.archive.org/web/20090520100553/http://apatzingan.com.mx/historia/iahistc.html,,19.08615,-102.354,16,6,1,Michoacán de Ocampo,Apatzingán,Apatzingán de la Constitución,http://sic.gob.mx/ficha.php?table=catedral&table_id=48,2018-12-10T10:50:39-06:00
41,49,Cristo Rey,Av. Autonomía Universitaria 15,Col. Fideicomiso Segundo Sector,60950,(753) 541 64  07 ,,,17.96314,-102.20803,16,52,1,Michoacán de Ocampo,Lázaro Cárdenas,Ciudad Lázaro Cárdenas,http://sic.gob.mx/ficha.php?table=catedral&table_id=49,2018-12-10T10:55:23-06:00
42,46,San Salvador,Av. Francisco I. Madero Poniente,Centro,58000,313-2639,,,19.70232,-101.19238,16,53,1,Michoacán de Ocampo,Morelia,Morelia,http://sic.gob.mx/ficha.php?table=catedral&table_id=46,2018-12-13T07:00:47-06:00
43,47,San Jerónimo,Artículo 123,Centro, 61650,(459) 596 01 66,,,19.23571,-101.45726,16,82,1,Michoacán de Ocampo,Tacámbaro,Tacámbaro de Codallos,http://sic.gob.mx/ficha.php?table=catedral&table_id=47,2018-12-13T06:53:32-06:00
44,43,San Martín de Tours,Hidalgo s/n ,Col. Zamora de Hidalgo, 59600,,,,19.98355,-102.28495,16,108,1,Michoacán de Ocampo,Zamora,Zamora de Hidalgo,http://sic.gob.mx/ficha.php?table=catedral&table_id=43,2018-12-13T06:28:59-06:00
45,51,La Sagrada Familia,,,,,,,,,18,9,0,Nayarit,Del Nayar,,http://sic.gob.mx/ficha.php?table=catedral&table_id=51,2006-04-17T18:46:00-05:00
46,52,Nuestra Señora de la Asunción ,México Nte. esq. Sebastían Lerdo de Tejada,,,,,,21.51186,-104.8913,18,17,1,Nayarit,Tepic,Tepic,http://sic.gob.mx/ficha.php?table=catedral&table_id=52,2018-12-13T07:02:31-06:00
47,54,Catedral San Felipe Apóstol,Hidalgo esq. con Morelos,Centro,67700,(821) 212 00 54,,,24.85926,-99.56821,19,33,1,Nuevo León,Linares,Linares,http://sic.gob.mx/ficha.php?table=catedral&table_id=54,2010-11-25T08:48:48-06:00
48,53,Catedral Metropolitana de Nuestra Señora de Monterrey,Zuazua 1100 Sur,Centro,64000,(81) 1158 2280,,catedral@arquidiocesismty.org,25.66554,-100.3096,19,39,1,Nuevo León,Monterrey,Monterrey,http://sic.gob.mx/ficha.php?table=catedral&table_id=53,2019-12-30T07:54:36-06:00
49,5,San Juan Bautista,Valerio Trujano s/n,Centro,69000,(953) 532 07 97   ,,,17.80713,-97.77535,20,39,1,Oaxaca,Heroica Ciudad de Huajuapan de León,Heroica Ciudad de Huajuapan de León,http://sic.gob.mx/ficha.php?table=catedral&table_id=5,2018-12-13T07:17:43-06:00
50,6,San Juan Evangelista,Jorge L. Tamayo s/n entre Av. Juárez y Cjón. Héroes de Chapultepec,Centro,68500 ,236 378 00 19 ,,,18.13022,-96.84593,20,41,1,Oaxaca,Huautla de Jiménez,Huautla de Jiménez,http://sic.gob.mx/ficha.php?table=catedral&table_id=6,2022-02-09T06:21:43-06:00
51,20,La Asunción (San Marcial) ,Av. Independencia 700,Centro,68000,(951) 516 44 01,,,17.06156,-96.72522,20,67,1,Oaxaca,Oaxaca de Juárez,Oaxaca de Juárez,http://sic.gob.mx/ficha.php?table=catedral&table_id=20,2018-12-13T07:11:48-06:00
52,17,San Juan Bautista (en construcción),Vicente Guerrero 164,Centro,68300,(287) 875 00 42,http://catedraltuxtepec.com/,,18.08152,-96.11761,20,184,1,Oaxaca,San Juan Bautista Tuxtepec,San Juan Bautista Tuxtepec,http://sic.gob.mx/ficha.php?table=catedral&table_id=17,2017-04-19T13:44:01-05:00
53,44,San Pedro y San Pablo,Domicilio conocido s/n,Centro,70283,,,,17.02807,-96.07598,20,337,1,Oaxaca,San Pedro y San Pablo Ayutla,San Pedro y San Pablo Ayutla,http://sic.gob.mx/ficha.php?table=catedral&table_id=44,2017-04-19T14:43:03-05:00
54,50,San Pedro,Mina s/­­­n entre Guerrero y Dr. Liceaga,Centro,70760,971 715 00 60,,obispadodetehuantepec@hotmail.com,16.33353,-95.23149,20,515,1,Oaxaca,Santo Domingo Tehuantepec,Santo Domingo Tehuantepec,http://sic.gob.mx/ficha.php?table=catedral&table_id=50,2022-02-09T10:17:14-06:00
55,99,Catedral de Santa María de la Asunción,Av. Miguel Hidalgo 700,Centro,73800,3-12-00-76,,catedralteziutlan@hotmail.com,19.81744,-97.36008,21,174,1,Puebla,Teziutlán,Teziutlán,http://sic.gob.mx/ficha.php?table=catedral&table_id=99,2020-05-17T17:53:12-05:00
56,57,San Felipe Neri,Av.Francisco I. Madero esq. Melchor Ocampo,Centro Histórico,76000,"(442) 224 07 38, 212 10 33",http://www.diocesisdequeretaro.org.mx/,,20.59122,-100.39657,22,14,0,Querétaro,Querétaro,,http://sic.gob.mx/ficha.php?table=catedral&table_id=57,2018-09-27T13:04:17-05:00
57,58,Santísima Trinidad,Av. Puertos (entre Av. Kabah y Av. La Costa),,58960,(998) 884 81 76,https://www.facebook.com/catedralSTcancun/?rf=329026383844014,catedral_santisimatrinidad@hotmail.com,21.15734,-86.84243,23,5,1,Quintana Roo,Benito Juárez,Cancún,http://sic.gob.mx/ficha.php?table=catedral&table_id=58,2021-09-01T09:26:11-05:00
58,61,Nuestra Señora de Guadalupe,16 de Septiembre 726,Centro,79000,(481) 382 16 53,http://catedraldevalles.com/,,21.98854,-99.01332,24,13,1,San Luis Potosí,Ciudad Valles,Ciudad Valles,http://sic.gob.mx/ficha.php?table=catedral&table_id=61,2018-10-03T09:36:02-05:00
59,59,Inmaculada Concepción,Benito Juárez 402,Centro,78700,(488) 882 38 06,http://www.iglesiapotosina.org/,,23.64637,-100.64413,24,20,1,San Luis Potosí,Matehuala,Matehuala,http://sic.gob.mx/ficha.php?table=catedral&table_id=59,2018-12-13T07:45:15-06:00
60,60,Nuestra Señora de la Expectación,Jardín Hidalgo 6,Centro Histórico,78000,(444) 812 24 39,,,22.15143,-100.9758,24,28,1,San Luis Potosí,San Luis Potosí,San Luis Potosí,http://sic.gob.mx/ficha.php?table=catedral&table_id=60,2019-04-09T05:24:56-05:00
