,galeria_id,galeria_nombre,galeria_fecha_fundacion,galeria_adscripcion,galeria_calle_numero,galeria_colonia,galeria_cp,galeria_telefono1,pagina_web,email,gmaps_latitud,gmaps_longitud,estado_id,municipio_id,localidad_id,nom_ent,nom_mun,nom_loc,link_sic,fecha_mod
13,1282,Galería Afrodita 112,2016-11-05,Particular,Afrodita 112,Col. Las Hadas,20140,449 153 09 51,,galeriaafrodita112@gmail.com,21.90638,-102.29162,1,1,1,Aguascalientes,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=galeria&table_id=1282,2022-04-19T04:41:02-05:00
14,657,Galería Ex -Escuela de Cristo,2004-09-07,Instituto Cultural de Aguascalientes (ICA)/Dirección de Promoción y Difusión,Andador Benito Juárez 107,Centro,20000,449 915 16 91,,museosygalerias@yahoo.com.mx,21.88179,-102.29537,1,1,1,Aguascalientes,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=galeria&table_id=657,2022-03-22T06:42:58-06:00
15,1798,Galería Aprendharte,2016-03-01,,Libertad 123,Centro,20000,449 963 56 04,http://www.aprendharte.com.mx/?fbclid=IwAR3N5K2Qr94NS9wbkpAEyBp6kLosu5NujGxt3Qy-4l96Ukhh7VvhE1gbtHA,aprenda@yahoo.com.mx,21.88164,-102.30081,1,1,1,Aguascalientes,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=galeria&table_id=1798,2022-04-19T05:02:17-05:00
16,338,Galería Universitaria,1973-06-19,Universidad Autónoma de Aguascalientes,"Av. Universidad 940, edif. 1-B, piso 1",Cd. Universitaria,20131,449 910 74 00 ext. 234,http://www.uaa.mx,jhgarcia@correo.uaa.mx,21.91365,-102.31376,1,1,1,Aguascalientes,Aguascalientes,Aguascalientes,http://sic.gob.mx/ficha.php?table=galeria&table_id=338,2021-08-05T08:28:39-05:00
17,339,Galería de Arte Fernando González Medina,2020-07-26,Universidad Tecnológica del Norte de Aguascalientes , Av. Universidad 1001,La Estación,20400,465 965 00 30,,,22.22246,-102.28052,1,7,1,Aguascalientes,Rincón de Romos,Rincón de Romos,http://sic.gob.mx/ficha.php?table=galeria&table_id=339,2021-05-27T04:29:05-05:00
18,1064,La Covacha/Foro Galería,2012-10-25,,"Ruiz y Tercera núm.  350, Pasaje Romero int. 5A",Centro,22800,646 156 53 14,,lacovachamusic@gmail.com,31.86644,-116.62778,2,1,1,Baja California,Ensenada,Ensenada,http://sic.gob.mx/ficha.php?table=galeria&table_id=1064,2021-05-04T08:48:11-05:00
19,1543,Galería La Oficina,2019-11-22,,Calle Guadalupe Victoria 242, Col.  Independencia,22710,646  210 92 11,,galerialaoficina@gmail.com,31.86331,-116.598,2,1,1,Baja California,Ensenada,Ensenada,http://sic.gob.mx/ficha.php?table=galeria&table_id=1543,2022-03-23T04:48:35-06:00
20,1844,Sala de Exposiciones  del Centro INAH-Ensenada,1992-01-01,Secretaría de Cultura/INAH,Av. Ryerson 99,Centro,22800,646 178 25 31,,cominabc@yahoo.com,31.86413,-116.63014,2,1,1,Baja California,Ensenada,Ensenada,http://sic.gob.mx/ficha.php?table=galeria&table_id=1844,2022-04-29T03:18:38-05:00
21,1065,Galería Ernesto Muñoz Acosta,2007-07-31,Centro Estatal de las Artes/Instituto de Cultura de Baja California,Av. Lázaro Cárdenas s/n,Bahía Ensenada,22280,646 173 43 07/08 ext. 101,https://www.cenart.gob.mx/2015/07/ensenada/,,31.85673,-116.61808,2,1,1,Baja California,Ensenada,Ensenada,http://sic.gob.mx/ficha.php?table=galeria&table_id=1065,2022-03-23T04:35:16-06:00
22,1024,Galería de  Pérez Meillón,1988-09-01,,Blvd. Costero Lázaro Cárdenas 1094,Centro ,22800,612157 54 70,http://www.mexonline.com/gpm.htm,,31.8597,-116.6218,2,1,1,Baja California,Ensenada,Ensenada,http://sic.gob.mx/ficha.php?table=galeria&table_id=1024,2022-04-06T06:14:17-05:00
23,1025,Galería Petanca,2010-12-02,Centro de Residencias e Investigación Artística ,Av. Gastelum 228,Centro,22800,,,hecherrod@yahoo.com,31.86587,-116.62606,2,1,1,Baja California,Ensenada,Ensenada,http://sic.gob.mx/ficha.php?table=galeria&table_id=1025,2022-03-23T04:20:59-06:00
24,704,Galería L86 ,2020-10-01,,Calle C s/n,Villa de Juárez,22755,646 151 18 91,,galerial86bc@gmail.com,31.968,-116.65555,2,1,2485,Baja California,Ensenada,San Antonio de las Minas,http://sic.gob.mx/ficha.php?table=galeria&table_id=704,2021-12-16T06:05:16-06:00
25,531,Galería Planta Libre,2021-01-14,,Zuazua 447 P.A.,Centro,21100, 686 553 68 40,,,32.65908,-115.49012,2,2,1,Baja California,Mexicali,Mexicali,http://sic.gob.mx/ficha.php?table=galeria&table_id=531,2022-03-23T06:45:00-06:00
26,230,Sala de Arte Rubén García Benavides,2011-12-01,Universidad Autónoma de Baja California/Facultad de Artes,Blvd. Benito Juárez 2500,Centro,21280,686 551 97 13 y 14,,,32.63297,-115.44309,2,2,1,Baja California,Mexicali,Mexicali,http://sic.gob.mx/ficha.php?table=galeria&table_id=230,2022-03-23T03:43:37-06:00
27,229,Galería José García Arroyo,2016-04-06,"Cooperativa de Artistas Plásticos, A.C.",Av. Madero 1504,Centro,21100,686 247 64 44,,,32.6648,-115.49107,2,2,1,Baja California,Mexicali,Mexicali,http://sic.gob.mx/ficha.php?table=galeria&table_id=229,2022-03-23T04:26:32-06:00
28,343,Galería de la Ciudad,1978-06-20,Secretaría de Cultura/Instituto de Cultura de Baja California,Av. Álvaro Obregón 1209,Col. Nueva,21100,686 553 50 44  ext. 144,,artesplasticasbc@gmail.com,32.66327,-115.47245,2,2,1,Baja California,Mexicali,Mexicali,http://sic.gob.mx/ficha.php?table=galeria&table_id=343,2022-03-23T04:59:16-06:00
29,352,Sala Rufino Tamayo,1974-03-15,Casa de la Cultura de Mexicali/Instituto Municipal de Arte y Cultura ,Av. Francisco I. Madero s/n,Centro,21100,686 552 96 30,,casadelaculturamexicali@hotmail.com,32.66487,-115.49075,2,2,1,Baja California,Mexicali,Mexicali,http://sic.gob.mx/ficha.php?table=galeria&table_id=352,2022-03-23T03:34:42-06:00
30,1452,Sala de Exposiciones del Centro Cultural Tecate,1998-10-04,Ayuntamiento de Tecate,Calle Tláloc 400,Col. Cuauhtémoc,21470,665 654 49 47,,,32.57034,-116.6195,2,3,1,Baja California,Tecate,Tecate,http://sic.gob.mx/ficha.php?table=galeria&table_id=1452,2022-03-23T03:37:03-06:00
31,344,Galería de la Ciudad,1989-01-01,Secretaría de Cultura/Instituto de Cultura de Baja California,Pte. Ortíz Rubio s/n esq. Callejón Libertad ,Centro,21400,665  654 14 83,http://www.icbc.gob.mx/Conocenos/NuestrosEspacios, tecateicbc@baja.gob.mx,32.57279,-116.62646,2,3,1,Baja California,Tecate,Tecate,http://sic.gob.mx/ficha.php?table=galeria&table_id=344,2022-03-23T04:52:05-06:00
32,347,Galería Espacio Norte 2,2003-07-01,Universidad Autónoma de Baja California/Centro de Extensión Universitaria,Av. Universidad 1,Fracc. San Fernando,21460,665 654 24 04,https://cultura.uabc.mx/galerias/,cultura@uabc.edu.mx,32.56868,-116.62704,2,3,1,Baja California,Tecate,Tecate,http://sic.gob.mx/ficha.php?table=galeria&table_id=347,2022-03-23T04:30:29-06:00
33,703,Carmen Saltiel Gallery,2021-06-13,, Calle 9 y Calle Ignacio Zaragoza 8960-Local 7,Centro,22000,664 207 8310,, info@carmensaltielgallery.com,32.52761,-117.02902,2,4,1,Baja California,Tijuana,Tijuana,http://sic.gob.mx/ficha.php?table=galeria&table_id=703,2022-03-23T03:13:45-06:00
34,742,Galería  Álvarez Malo,2007-03-01,Casa de la Cultura Playas/IMAC,"Av. del Agua 777, Secc. Jardines",Fracc. Playas de Tijuana,22200,664 630 97 14,http://www.imac.tijuana.gob.mx/galerias.aspx,casadelaculturaplayas@gmail.com,32.52273,-117.11357,2,4,1,Baja California,Tijuana,Tijuana,http://sic.gob.mx/ficha.php?table=galeria&table_id=742,2021-09-07T08:59:11-05:00
35,686,Object Mexico,2014-06-28,Plataforma Mexicana de Diseño S. de R.L. de C.V.,Amado Paniagua 3017,Col. Aviación,22014,664 685 15 95,http://objectmexico.com,info@objectmexico.com,32.51637,-117.01146,2,4,1,Baja California,Tijuana,Tijuana,http://sic.gob.mx/ficha.php?table=galeria&table_id=686,2021-09-03T09:26:20-05:00
36,1541,Galería de Arte Alfonso Bustamante L.,2018-11-29,Grand Hotel Tijuana,"Blvd. Agua Caliente 4558,  Plaza Agua ", Aviacion,22014,,,,32.51279,-117.00765,2,4,1,Baja California,Tijuana,Tijuana,http://sic.gob.mx/ficha.php?table=galeria&table_id=1541,2021-06-16T06:46:09-05:00
37,626,La Caja Galería,2005-06-10,"La Caja Galería, A.C.",Cjón. de las Moras 118-B,Col. 20 de Noviembre,22450,664 686 67 91,http://www.lacajagaleria.com,info@lacajagaleria.com,32.51307,-116.99657,2,4,1,Baja California,Tijuana,Tijuana,http://sic.gob.mx/ficha.php?table=galeria&table_id=626,2021-07-30T08:21:44-05:00
38,351,Galería Picasso,1974-01-01,,Blvd. Díaz Ordaz 1331-2,Col. La Mesa,22450,664 621 65 31,http://www.galeriapicasso.com/,galeriapicasso1@hotmail.com; info@galeriapicasso.com,32.50554,-116.97965,2,4,1,Baja California,Tijuana,Tijuana,http://sic.gob.mx/ficha.php?table=galeria&table_id=351,2022-03-23T04:15:41-06:00
39,666,Galería El Cubo,2008-09-27,Centro Cultural Tijuana,Av.  Paseo de los Héroes 9350,Zona Urbana Río Tijuana,22010,664 687 96 52,https://www.cecut.gob.mx/ecubo.php,opina@cecut.gob.mx,32.52948,-117.02328,2,4,1,Baja California,Tijuana,Tijuana,http://sic.gob.mx/ficha.php?table=galeria&table_id=666,2022-03-23T04:36:25-06:00
40,717,Galería de Distrito-10 ,2008-06-26,,Av. Hipódromo 15 E,Col. Hipódromo,22020,664 686 16 37,,distrito10ea@gmail.com,32.50602,-116.99937,2,4,1,Baja California,Tijuana,Tijuana,http://sic.gob.mx/ficha.php?table=galeria&table_id=717,2022-03-23T05:01:56-06:00
41,707,Sala de Arte Álvaro Blancarte,2007-12-13,UABC/Escuela de Artes,Calz. Universidad 14418,Parque Industrial Internacional,22390,664 979 75 00 ext. 55607,https://cultura.uabc.mx/galerias/,saabgalerias@hotmail.com,32.53188,-116.96302,2,4,1,Baja California,Tijuana,Tijuana,http://sic.gob.mx/ficha.php?table=galeria&table_id=707,2022-03-23T03:46:49-06:00
42,1450,Galería Espacio 5,2015-07-01,Antiguo Palacio Municipal de Tijuana/Instituto Municipal de Arte y Cultura,Calle 2a. y Constitución s/n,Centro,22000,664 688 17 21 ext. 118,http://www.imac.tijuana.gob.mx/,difusionimac@gmail.com; arteyculturapopular.imac@gmail.com,32.53541,-117.03897,2,4,1,Baja California,Tijuana,Tijuana,http://sic.gob.mx/ficha.php?table=galeria&table_id=1450,2020-04-17T12:20:43-05:00
43,354,Galería Principal ,2000-01-01,Instituto de Cultura de Baja California ,Av. Centenario 10151,Zona Urbana Río Tijuana,22320,664 684 86 09,,tijuanaicbc@bajacalifornia.gob.mx,32.53155,-117.01699,2,4,1,Baja California,Tijuana,Tijuana,http://sic.gob.mx/ficha.php?table=galeria&table_id=354,2021-08-06T06:37:23-05:00
44,350,Galería Benjamín Serrano,1988-07-22,Instituto Municipal de Arte y Cultura de Tijuana (IMAC)/Casa de la Cultura de Tijuana,Av. París 5 ,Col. Altamira,22120,664 687 26 04,,casaculturatijuana@yahoo.com,32.53175,-117.05203,2,4,1,Baja California,Tijuana,Tijuana,http://sic.gob.mx/ficha.php?table=galeria&table_id=350,2021-10-05T12:51:54-05:00
45,740,Galería de Arte de la Ciudad,2006-11-17,Palacio de la Cultura / IMAC,"Benito Juárez s/n, esq. Constitución",Centro,22000,664  688 17 21,https://imac.tijuana.gob.mx/museo.aspx,palaciocultura@imactijuana.org; palacio_cultura_tijuana@hotmail.com,32.53491,-117.0389,2,4,1,Baja California,Tijuana,Tijuana,http://sic.gob.mx/ficha.php?table=galeria&table_id=740,2022-04-06T06:12:50-05:00
46,1700,Galería de la Casa del Túnel,2018-02-17,"Culturalmente Responsable, A.C.",Calle Chapo Márquez 133,Col.Empleados Federales,22010,664 682 95 70,,culturebeatmexico@gmail.com,32.54179,-117.03315,2,4,1,Baja California,Tijuana,Tijuana,http://sic.gob.mx/ficha.php?table=galeria&table_id=1700,2021-05-27T05:50:38-05:00
47,44,Sala Central de Exposiciones,1982-10-20,Secretaría de Cultura/CECUT,Paseo de los Héroes 9350 ,Zona Urbana Río Tijuana,22010,664 687 9652,http://www.cecut.gob.mx,agarcia@cecut.gob.mx,32.5301,-117.02302,2,4,1,Baja California,Tijuana,Tijuana,http://sic.gob.mx/ficha.php?table=galeria&table_id=44,2021-04-21T13:05:14-05:00
48,1270,Sala  Marta Palau,2020-03-11,Centro Cultural Tijuana,Paseo de los Héroes 9350,Zona Urbana Río Tijuana,22010, 664 687 9600,,,32.53015,-117.02332,2,4,1,Baja California,Tijuana,Tijuana,http://sic.gob.mx/ficha.php?table=galeria&table_id=1270,2022-03-23T03:58:36-06:00
49,1273,Galería ReEvolución 208,2013-01-01,,"Revolución s/n, Pasaje Rodríguez",Centro,22000,(664) 680 26 40,,,32.53378,-117.03713,2,4,1,Baja California,Tijuana,Tijuana,http://sic.gob.mx/ficha.php?table=galeria&table_id=1273,2020-04-20T07:07:39-05:00
50,1186,Galería de Arte del CEART de Tijuana,2013-04-01,Instituto de Cultura de Baja California,Vía Rápida Oriente 15320,Zona Río 3a. Etapa,22226,664 104 02 73,,icbc.cearttijuana@gmail.com,32.49972,-116.94578,2,4,1,Baja California,Tijuana,Tijuana,http://sic.gob.mx/ficha.php?table=galeria&table_id=1186,2022-04-07T04:04:35-05:00
51,1669,Galería  Internacional,2015-04-16,CEART/instituto de Baja California,Paseo La Cascada s/n,Fracc. La Cascada,22710,686  553 69 51,,ceartrosarito@gmail.com,32.30491,-117.04084,2,5,1,Baja California,Playas de Rosarito,Playas de Rosarito,http://sic.gob.mx/ficha.php?table=galeria&table_id=1669,2022-04-06T06:15:55-05:00
52,1797,Puerto Nuevo Gallery,1000-01-01,,Paseo del Mar 30,Centro,22703,661 614 0419 ,, puertonuevogallery,32.24226,-116.93563,2,5,1,Baja California,Playas de Rosarito,Playas de Rosarito,http://sic.gob.mx/ficha.php?table=galeria&table_id=1797,2022-03-23T06:35:55-06:00
53,1549,Índigo Galería de Arte Escuela,2017-11-01,,Calle 5 de Mayo núm. 310,Centro,23305,612 128 72 80,,indigogaleriadearte@gmail.com,24.1614,-110.31425,3,3,1,Baja California Sur,La Paz,La Paz,http://sic.gob.mx/ficha.php?table=galeria&table_id=1549,2022-03-31T05:07:18-06:00
54,1548,Salón de la Plástica Sudcaliforniana,2010-09-13,Centro Cultural La Paz,Calle 16 de Septiembre núm.  120,Centro,23000,612 122 00 65,,centroculturaldifusion@hotmail.com,24.16191,-110.31538,3,3,1,Baja California Sur,La Paz,La Paz,http://sic.gob.mx/ficha.php?table=galeria&table_id=1548,2022-03-31T05:20:22-06:00
55,436,Díaz Castro  Galería,1970-10-01,,Calle 5 de Mayo 306 bis,Centro,23000,612 117 00 12,,diazcastroartista@gmail.com,24.16247,-110.31335,3,3,1,Baja California Sur,La Paz,La Paz,http://sic.gob.mx/ficha.php?table=galeria&table_id=436,2022-03-31T04:43:51-06:00
56,437,Galería de Arte Carlos Olachea Boucsiéguez,1987-01-27,Instituto Sudcaliforniano de Cultura,Navarro s/n ,Centro,23000,612 122 91 96,,galeriaolachea@gmail.com,24.14666,-110.31706,3,3,1,Baja California Sur,La Paz,La Paz,http://sic.gob.mx/ficha.php?table=galeria&table_id=437,2022-03-31T04:50:41-06:00
57,434,Galería  La Pintada ,1990-01-16,Casa de Cultura del Estado de Baja California Sur,Francisco I. Madero  825,Col. Esterito,23020,612 122 90 40,https://www.culturabcs.gob.mx/recinto/79,casaculturaedobcs@yahoo.com.mx ,24.16719,-110.30981,3,3,1,Baja California Sur,La Paz,La Paz,http://sic.gob.mx/ficha.php?table=galeria&table_id=434,2022-03-31T04:47:38-06:00
58,1546,Galería Casa Parra,2003-01-01,,Independencia 413,Centro,23000,612 124 25 28,,info@casaparra.com.mx,24.16159,-110.31411,3,3,1,Baja California Sur,La Paz,La Paz,http://sic.gob.mx/ficha.php?table=galeria&table_id=1546,2022-03-31T04:48:10-06:00
59,1509,Galería de Todos Santos,1994-01-01,,Calle Topete s/n,Centro,23300,612 145 05 00,http://www.galeriatodossantos.com/,mplcope@yahoo.com,23.45611,-110.22015,3,3,3,Baja California Sur,La Paz,Todos Santos,http://sic.gob.mx/ficha.php?table=galeria&table_id=1509,2022-03-31T05:00:40-06:00
60,533,Galería Logan,1998-01-15,,Benito Juárez y Morelos,Centro,23300,612 145 01 51,http://www.jilllogan.com,jilllogan2001@yahoo.com,23.44864,-110.22602,3,3,3,Baja California Sur,La Paz,Todos Santos,http://sic.gob.mx/ficha.php?table=galeria&table_id=533,2022-03-31T05:01:18-06:00
61,1904,NN Galería,2020-01-01,,Ignacio Zaragoza esq. Vicente Guerrero, Centro Histórico,23400,,https://www.nngaleria.com/,contactonngaleria@gmail.com,23.06159,-109.69735,3,8,1,Baja California Sur,Los Cabos,San José del Cabo,http://sic.gob.mx/ficha.php?table=galeria&table_id=1904,2021-08-18T05:15:13-05:00
62,1355,Jardín del Arte Los Cabos,2009-01-01,,"Blvd. Antonio Mijares s/n, Plaza Mijares",Centro,23410,,https://jardindelarteloscabos.org/,,23.06193,-109.69487,3,8,1,Baja California Sur,Los Cabos,San José del Cabo,http://sic.gob.mx/ficha.php?table=galeria&table_id=1355,2022-03-31T05:13:59-06:00
63,1909,AV Tequila Experience & Art Gallery,2000-01-01,,Carret.  Transpeninsular Km. 24.5 Local 11-12,,23400,624 243 24 72,,,23.00189,-109.73385,3,8,1,Baja California Sur,Los Cabos,San José del Cabo,http://sic.gob.mx/ficha.php?table=galeria&table_id=1909,2022-03-31T05:32:58-06:00
64,1067,Casa Dahlia Gallery,1999-01-01,,Morelos y Obregón,Centro,23400,624 142 21 20,https://casadahlia.com/contact/,art@casadahlia.com ,23.06247,-109.6965,3,8,1,Baja California Sur,Los Cabos,San José del Cabo,http://sic.gob.mx/ficha.php?table=galeria&table_id=1067,2022-03-31T04:43:06-06:00
65,435,Galería Alfredo Ginocchio,2019-01-01,,"Carr. Transpeninsular km. 24.5, Koral Center",Cerro Colorado,23400,624 122 36 40,https://ginocchio.gallery/,info@ginocchiogaleria.com,23.03769,-109.70948,3,8,1,Baja California Sur,Los Cabos,San José del Cabo,http://sic.gob.mx/ficha.php?table=galeria&table_id=435,2022-03-31T04:18:45-06:00
66,1910,Galería Sergio Bustamante Los Cabos,1000-01-01,,Lázaro Cardenas y Paseo Cabo Bello s/n,El Medano,23410,624 191 67 40,,puertoparaiso@sergiobustamante.com.mx,22.88716,-109.90925,3,8,1,Baja California Sur,Los Cabos,San José del Cabo,http://sic.gob.mx/ficha.php?table=galeria&table_id=1910,2022-03-31T05:45:22-06:00
67,1817,Muvezi Galeria de Esculturas,2016-03-01,,Alvaro Obregon 20 ,Centro,23400,624 177 96 54,,,23.06246,-109.69685,3,8,1,Baja California Sur,Los Cabos,San José del Cabo,http://sic.gob.mx/ficha.php?table=galeria&table_id=1817,2022-03-31T04:15:37-06:00
68,838,Yandi Monardo Art Gallery,2011-08-01,,Luxury Avenue Local 3,Centro,23000,624 117 56 12,,yandimonardo@yahoo.com.mx,22.88616,-109.90863,3,8,1,Baja California Sur,Los Cabos,San José del Cabo,http://sic.gob.mx/ficha.php?table=galeria&table_id=838,2022-03-31T05:21:32-06:00
69,1660,Paquimé Gallery,2008-10-01,,Ignacio Comonfort  s/n esq. Idelfonso,Pueblo La Playa,23400,624 157 48 73,,mora@paquimegallery.com,23.06148,-109.67169,3,8,1,Baja California Sur,Los Cabos,San José del Cabo,http://sic.gob.mx/ficha.php?table=galeria&table_id=1660,2022-03-31T05:17:12-06:00
70,1345,Laura Urrea Art Gallery,2013-01-01,,Calle Fco. I. Madero s/n entre Hidalgo y Guerrero ,Centro,23450,624 150 65 73,,,22.8826,-109.91343,3,8,1,Baja California Sur,Los Cabos,San José del Cabo,http://sic.gob.mx/ficha.php?table=galeria&table_id=1345,2022-03-31T05:16:17-06:00
71,1552,Old Town Gallery,2015-03-01,,Alvaro Obregón núm. 1505,Centro,23400,624  688 98 56,http://theoldtowngallery.com/,info@theoldtowngallery.com,23.06233,-109.69708,3,8,1,Baja California Sur,Los Cabos,San José del Cabo,http://sic.gob.mx/ficha.php?table=galeria&table_id=1552,2022-03-31T05:12:14-06:00
72,1544,Ivan Guadarrama Art Gallery,2010-01-01,,Alvaro Obregón 20,Centro,23400,624 189 11 44,http://www.ivanguaderrama.com/,info@ivanguaderrama.com ,23.06233,-109.69703,3,8,1,Baja California Sur,Los Cabos,San José del Cabo,http://sic.gob.mx/ficha.php?table=galeria&table_id=1544,2022-03-31T05:10:53-06:00
73,1353,Galería Tanya Talamantes,2009-01-01,,Carret.Transpeninsular Km 31.5,Corredor Turístico,23400,,http://www.tanyatalamante.com/,info@tanyatalamante.com,23.04514,-109.69741,3,8,1,Baja California Sur,Los Cabos,San José del Cabo,http://sic.gob.mx/ficha.php?table=galeria&table_id=1353,2022-03-31T05:03:54-06:00
74,1232,Galería Patricia Mendoza,2000-01-01,,Álvaro Obregón e Hidalgo,Centro,23400,624 158 64 97,http://www.patriciamendozagallery.com/,info@patriciamendozagallery.com,23.06289,-109.69558,3,8,1,Baja California Sur,Los Cabos,San José del Cabo,http://sic.gob.mx/ficha.php?table=galeria&table_id=1232,2022-03-31T05:02:14-06:00
75,842,Benavente Gallery,2000-01-01,,Camino de los Charros 6,Centro,23450, 624 246 1119,,  benaventefifi@gmail.com,22.88265,-109.91592,3,8,1,Baja California Sur,Los Cabos,San José del Cabo,http://sic.gob.mx/ficha.php?table=galeria&table_id=842,2021-06-17T04:34:05-05:00
76,460,Galería de Ida Victoria,2000-12-01,,Vicente Guerrero 1128,Centro,23400,624 142 57 72,http://idavictoriagallery.com/,ida@idavictoriaarts.com,23.06224,-109.69716,3,8,1,Baja California Sur,Los Cabos,San José del Cabo,http://sic.gob.mx/ficha.php?table=galeria&table_id=460,2022-03-31T04:59:29-06:00
