,fonoteca_id,fonoteca_nombre,fonoteca_fecha_fundacion,fonoteca_adscripcion,fonoteca_calle_numero,fonoteca_colonia,fonoteca_cp,fonoteca_telefono1,pagina_web,email,gmaps_latitud,gmaps_longitud,estado_id,municipio_id,localidad_id,nom_ent,nom_mun,nom_loc,link_sic,fecha_mod
10,23,Fonoteca de Radio Educación,1000-01-01,SEP/Secretaría de Cultura,Ángel Urraza 622,Col. del Valle,03100,(55) 4155 1050 ext. 5088,,hacuna@radioeducacion.edu.mx,19.38367,-99.16935,9,14,1,Ciudad de México,Benito Juárez,Benito Juárez,http://sic.gob.mx/ficha.php?table=fonoteca&table_id=23,2018-07-24T04:42:52-05:00
11,20,Fonoteca Central del Instituto Mexicano de la Radio,1000-01-01,IMER,Mayorazgo 83,Col. Xoco,03330,(55) 5628 1700 ext. 1605,https://www.imer.mx/fonoteca/,jorge.santander@imer.com.mx,19.36025,-99.1661,9,14,1,Ciudad de México,Benito Juárez,Benito Juárez,http://sic.gob.mx/ficha.php?table=fonoteca&table_id=20,2018-07-19T10:14:51-05:00
12,21,Fonoteca del Instituto Nacional de Antropología e Historia,1964-01-01,Secretaría de Cultura/INAH,Córdoba 47,Col. Roma Norte,06700,55 6542 3643,http://www.fonoteca.inah.gob.mx/,fonoteca.inah.gob.mx,19.42211,-99.1596,9,15,1,Ciudad de México,Cuauhtémoc,Cuauhtémoc,http://sic.gob.mx/ficha.php?table=fonoteca&table_id=21,2020-04-03T12:36:03-06:00
13,24,Fonoteca Alejandro Gómez Arias,1960-01-01,Dirección General de Radio UNAM,Lic. Verdad 2,Centro Histórico,06060,(55) 5542 3022,http://www.Radiounam.unam.mx,,19.44274,-99.14402,9,15,1,Ciudad de México,Cuauhtémoc,Cuauhtémoc,http://sic.gob.mx/ficha.php?table=fonoteca&table_id=24,2018-08-13T09:12:19-05:00
14,9,Fonoteca Melesio Morales,1983-01-01,Conservatorio Nacional de Música,Av. Presidente Masarik 582,Polanco,11500,"(55) 8647 5390 exts. 3480, 3479",https://conservatorio.inba.gob.mx/proof.html,cnm.archivohistorico@inba.gob.mx; nami.rilo@gmail.com,19.43216,-99.20682,9,16,1,Ciudad de México,Miguel Hidalgo,Miguel Hidalgo,http://sic.gob.mx/ficha.php?table=fonoteca&table_id=9,2018-08-07T06:36:14-05:00
15,28,Fonoteca del Sistema de Radio y Televisión Mexiquense,1983-01-01,Sistema de Radio y Televisión Mexiquense,Av. Estado de México Ote. 1601,Col. Llano Grande,52148,(722) 275 47 92 ext. 1302,http://radioytvmexiquense.mx/,fonoradiomex2@gmail.com; jisolmtz@gmail.com,0.0,0.0,15,54,1,México,Metepec,Metepec,http://sic.gob.mx/ficha.php?table=fonoteca&table_id=28,2018-07-26T09:34:46-05:00
16,33,Fonoteca Juan León Mariscal,2013-03-13,Fundación Alfredo Harp Helú Oaxaca ,Av. Independencia 904/Av. Hidalgo 907 ,Centro,68000,(951) 501 88 00 ext. 190,https://www.facebook.com/search/top/?q=fonoteca%20juan%20le%C3%B3n%20mariscal,fonoteca@fahho.mx,17.06145,-96.72286,20,67,1,Oaxaca,Oaxaca de Juárez,Oaxaca de Juárez,http://sic.gob.mx/ficha.php?table=fonoteca&table_id=33,2018-07-24T13:38:21-05:00
17,16,Fonoteca Eduardo Mata,1997-09-05,Instituto de Artes Gráficas de Oaxaca IAGO,Av. Juárez 203 esq. Morelos y Mujica,Centro,68000,(951) 514 19 33,https://www.facebook.com/Audioteca.EduardoMata/,fonoteca.eduardomata@gmail.com,17.06284,-96.72364,20,67,1,Oaxaca,Oaxaca de Juárez,Oaxaca de Juárez,http://sic.gob.mx/ficha.php?table=fonoteca&table_id=16,2019-06-25T09:14:15-05:00
18,11,Fonoteca Isaías Noriega de la Vega,1976-06-06,Benemérita Universidad Autónoma de Puebla,8 Ote. 409,Centro Histórico,72000,(222) 242 16 88,https://es-la.facebook.com/pages/category/Artist/Fonoteca-Isaias-Noriega-de-la-Vega-139160463298185/,fonoteca.buap@hotmail.com,19.04565,-98.19313,21,114,1,Puebla,Puebla,Heroica Puebla de Zaragoza,http://sic.gob.mx/ficha.php?table=fonoteca&table_id=11,2019-04-23T11:20:01-05:00
19,25,Vicente Teódulo  Mendoza,1974-11-18,Secretaría de Cultura y Turismo del Gobierno del Estado de Puebla,"Av. Obreros Independientes s/n, esq. 15 Sur Ex-Fábrica La Constancia Mexicana",Col. Luz Obrera,72110,(222) 224 6587,http://puebla.travel/es/museos/item/fonoteca-vicente-teodulo-mendoza,fototecafonotecapuebla@outlook.com,19.09264,-98.2349,21,114,1,Puebla,Puebla,Heroica Puebla de Zaragoza,http://sic.gob.mx/ficha.php?table=fonoteca&table_id=25,2019-04-23T12:03:32-05:00
20,35,Ernesto de la Torre Villar,1000-01-01,Casa de la Cultura,,,73900,,https://biblioteca.mora.edu.mx/F/GADRSACFHEJF385UBB3TSBSBBVUM4Q4Y1LJ1TARUM1L1N45DSQ-00170?func=file&file_name=help-1,,19.84635,-97.49724,21,186,1,Puebla,Tlatlauquitepec,Ciudad de Tlatlauquitepec,http://sic.gob.mx/ficha.php?table=fonoteca&table_id=35,2019-04-23T11:22:18-05:00
21,37,Archivo Sonoro de Radio y Televisión Universitaria,1938-07-28,UASLP,Mariano Arista 245,Centro Histórico,78000,(444) 826 13 00 Ext. 1257,http://radioytelevision.uaslp.mx/Programacion/Programa/Play%20a%20la%20Historia,ubaldocr@uaslp.mx,22.15313,-100.97794,24,28,1,San Luis Potosí,San Luis Potosí,San Luis Potosí,http://sic.gob.mx/ficha.php?table=fonoteca&table_id=37,2022-02-02T09:08:40-06:00
22,34,Fonoteca de Radio UV,1944-09-15,Universidad Veracruzana,Francisco J. Clavijero 24,Centro histórico,91000,"(228) 8175115, 8175117, 8180923",http://www.uv.mx/radio/fonoteca/,"radio@uv.mx, fguevara@uv.mx",19.5296,-96.92444,30,87,1,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,http://sic.gob.mx/ficha.php?table=fonoteca&table_id=34,2018-07-23T07:33:41-05:00
