,zona_arqueologica_id,zona_arqueologica_nombre,zona_arqueologica_fecha_fundacion,zona_arqueologica_calle_numero,zona_arqueologica_colonia,zona_arqueologica_cp,zona_arqueologica_telefono1,pagina_web,email,gmaps_latitud,gmaps_longitud,estado_id,municipio_id,localidad_id,nom_ent,nom_mun,nom_loc,link_sic,fecha_mod
10,148,Tabasqueño,1000-01-01,,,,"981 816 91 11, 981 816 81 79 ext. 138017",http://www.inah.gob.mx/zonas/76-zona-arqueologica-de-tabasqueno,candelaria_duarte@inah.gob.mx; direccion.camp@inah.gob.mx,19.50051,-89.78386,4,6,0,Campeche,Hopelchén,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=148,2021-12-06T15:09:22-06:00
11,147,Tohcok,1000-01-01,,,,981 816 81 79,http://www.inah.gob.mx/zonas/69-zona-arqueologica-de-tohcok,zarqueologicas.camp@inah.gob.mx,19.77022,-89.8752,4,6,0,Campeche,Hopelchén,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=147,2021-12-06T13:21:41-06:00
12,11,Hochob,1000-01-01,,,,981 816 91 11,http://www.inah.gob.mx/zonas/77-zona-arqueologica-hochob,direccion.camp@inah.gob.mx,19.40883,-89.77053,4,6,0,Campeche,Hopelchén,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=11,2021-12-06T12:42:53-06:00
13,7,Chunhuhub,1000-01-01,Entronque hacia Xculoc de la Carr. Federal Mérida-Chenes núm. 261.,,,"981 816 9111, 981 816 8179 exts.138016, 138017.",http://www.inah.gob.mx/zonas/64-zona-arqueologica-de-chunhuhub,abenavidez.camp@inah.gob.mx,20.15765,-89.7963,4,6,0,Campeche,Hopelchén,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=7,2021-12-06T12:19:40-06:00
14,10,Santa Rosa Xtampak,1000-01-01,Camino a Santa Rosa Xtampak km. 32,,,981 816 81 79,http://www.inah.gob.mx/zonas/68-zona-arqueologica-de-santa-rosa-xtampak,direccion.camp@inah.gob.mx,19.77249,-89.59744,4,6,0,Campeche,Hopelchén,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=10,2021-12-06T15:03:31-06:00
15,8,Dzibilnocac,1000-01-01,,,,981 816 81 79,http://www.inah.gob.mx/zonas/75-zona-arqueologica-dzibilnocac,direccion.camp@inah.gob.mx,19.57815,-89.59496,4,6,0,Campeche,Hopelchén,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=8,2021-12-06T12:25:42-06:00
16,146,Kankí,1000-01-01,"Entronque Tenabo-Kankí, km 38 de la Carr. Campeche-Mérida 180",,,981 816 81 79,http://www.inah.gob.mx/zonas/67-zona-arqueologica-de-kanki,direccion.camp@inah.gob.mx,19.991,-90.1168,4,8,0,Campeche,Tenabo,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=146,2021-12-06T13:11:35-06:00
17,5,Calakmul,1000-01-01,Camino a la reserva de la biósfera de Calakmul km 60,,,981 816 81 79,http://www.inah.gob.mx/zonas/62-zona-arqueologica-de-calakmul,direccion.camp@inah.gob.mx,18.1051,-89.81106,4,10,0,Campeche,Calakmul,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=5,2021-12-06T12:06:16-06:00
18,3,Balamkú,1000-01-01,Entronque con el Km 93 de la Carr. Federal Escárcega-Chetumal 186,,,981 816 91 11,http://www.inah.gob.mx/zonas/60-zona-arqueologica-de-balamku,direccion.camp@inah.gob.mx,18.55963,-89.94525,4,10,0,Campeche,Calakmul,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=3,2021-12-06T08:21:54-06:00
19,12,Hormiguero ,1000-01-01,Eugenio Echeverría Castellot  2 ,,,981 816 81 79,http://www.inah.gob.mx/zonas/113-zona-arqueologica-hormiguero,direccion.camp@inah.gob.mx,18.40992,-89.49282,4,10,0,Campeche,Calakmul,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=12,2021-12-06T12:46:59-06:00
20,6,Chicanná,1000-01-01,Entronque con el km 140 de la Carr. Federal 186,,,981 816 81 79,http://www.inah.gob.mx/zonas/63-zona-arqueologica-chicanna,direccion.camp@inah.gob.mx,18.50698,-89.48623,4,10,0,Campeche,Calakmul,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=6,2021-12-06T12:11:28-06:00
21,145,Nadzca'an,1000-01-01,,,,981 816 91 36,http://www.inah.gob.mx/es/zonas/189-zona-arqueologica-nadzca-an,direccion.camp@inah.gob.mx,18.6066,-89.85013,4,10,0,Campeche,Calakmul,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=145,2022-05-25T11:54:19-05:00
22,14,Xpuhil,1000-01-01,Carr. Federal 186 Escárcega -Chetumal  km 156,Col. Aviación,24640,981 816 81 79,http://www.inah.gob.mx/zonas/71-zona-arqueologica-xpuhil,zarqueologicas.camp@inah.gob.mx,18.51024,-89.4039,4,10,0,Campeche,Calakmul,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=14,2022-05-25T11:49:09-05:00
23,4,Becán,1000-01-01,,,,981 816 91 11,http://www.inah.gob.mx/zonas/61-zona-arqueologica-de-becan,direccion.camp@inah.gob.mx,18.51721,-89.46697,4,10,0,Campeche,Calakmul,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=4,2021-12-06T11:59:05-06:00
24,144,El Tigre (itzamkanac),1000-01-01,"Carr. Federal 261, km 76",,,981 816 91 36 ext. 138016,http://www.inah.gob.mx/zonas/66-zona-arqueologica-el-tigre,direccion.camp@inah.gob.mx,18.12157,-90.83695,4,11,0,Campeche,Candelaria,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=144,2021-12-06T13:15:13-06:00
25,220,Zona paleontológica Rincón Colorado,2018-11-21,"Carr. Saltillo-Torreón, km 43.5",,,,https://inah.gob.mx/boletines/7782-rincon-colorado-primera-zona-paleontologica-abierta-al-publico-en-el-pais,,25.50697,-101.34694,5,11,0,Coahuila de Zaragoza,General Cepeda,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=220,2022-01-24T08:25:20-06:00
26,25,El Chanal,1000-01-01,Calle Bonampak Acceso desde la Av. Tercer Anillo Periférico y su entronque con la Av. Venustiano Carranza,,,312 313 49 45,http://www.inah.gob.mx/es/zonas/151-zona-arqueologica-el-chanal,direccion.col@inah.gob.mx,19.29295,-103.70543,6,2,0,Colima,Colima,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=25,2022-01-17T09:47:48-06:00
27,24,La Campana,1000-01-01,"Av. Periférico Nte. entre el Tecnológico de Colima y el Arroyo Pereira, al noroeste de la ciudad de Colima",,28037,312 313 49 46,http://www.inah.gob.mx/es/zonas/53-zona-arqueologica-cerro-de-la-campana,direccion.col@inah.gob.mx,19.2683,-103.72539,6,10,0,Colima,Villa de Álvarez,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=24,2022-01-17T09:39:48-06:00
28,19,Tenam Puente,1000-01-01,"Camino a a Baños de Santa Rita Uninajab, Km. 4 + 950 (aprox.)",,,,http://www.inah.gob.mx/zonas/175-zona-arqueologica-de-tenam-puente,,16.14127,-92.10831,7,19,0,Chiapas,Comitán de Domínguez,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=19,2022-01-21T08:38:17-06:00
29,193,Chiapa de Corzo,2009-01-01,Miguel Hidalgo s/n,Barrio Benito Juárez,29160,961 612 83 60,http://www.inah.gob.mx/zonas/116-zona-arqueologica-chiapa-de-corzo,miguel_riva@inah.gob.mx,16.70321,-93.00367,7,27,0,Chiapas,Chiapa de Corzo,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=193,2022-01-18T10:16:56-06:00
30,21,Yaxchilán,1000-01-01,"Acceso por la Carretera No. 307, crucero a Frontera Corozal, a través del Río Usumacinta",,,961 612 83 60 ,https://inah.gob.mx/zonas/30-zona-arqueologica-de-yaxchilan,,16.8996,-90.96451,7,59,0,Chiapas,Ocosingo,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=21,2022-01-21T08:54:51-06:00
31,20,Toniná,1000-01-01,Camino a Rancho Toniná km 1 + 100,,,,https://inah.gob.mx/zonas/29-zona-arqueologica-de-tonina,,16.90127,-92.00943,7,59,0,Chiapas,Ocosingo,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=20,2022-01-21T08:43:23-06:00
32,15,Bonampak,1000-01-01,"Camino (de terracería) a Bonampak Km. 8 (aprox.), Lacanjá–Chansayab",,,916 345 27 05,https://inah.gob.mx/zonas/31-zona-arqueologica-de-bonampak,direccioninahchiapas@hotmail.com,16.70398,-91.06525,7,59,0,Chiapas,Ocosingo,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=15,2022-01-17T10:35:43-06:00
33,17,Palenque,1000-01-01,Carr. Palenque-las ruinas,,29960,916 345 27 05,http://www.inah.gob.mx/zonas/163-zona-arqueologica-palenque,keiko_teranishi@inah.gob.mx,17.48508,-92.04806,7,65,0,Chiapas,Palenque,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=17,2022-01-20T07:17:05-06:00
34,202,Iglesia Vieja,2012-12-01,Camino a Iglesia Vieja Km. 9,,,961 612 83 60,http://www.inah.gob.mx/zonas/39-zona-arqueologica-de-iglesia-vieja,franciscoroger_lopez@inah.gob.mx,16.13144,-93.74732,7,97,0,Chiapas,Tonalá,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=202,2022-01-18T10:21:18-06:00
35,16,Chinkultic ,1000-01-01,Se localiza a 47 kilómetros de la ciudad de Comitán y a 34 de La Trinitaria,,,961 612 83 60,http://www.inah.gob.mx/zonas/147-zona-arqueologica-de-chinkultic,gabriel_lalo@inah.gob.mx,16.12387,-91.7813,7,99,0,Chiapas,La Trinitaria,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=16,2022-01-18T10:10:27-06:00
36,201,Lagartero,2012-11-29,"Camino a Ejido Cristóbal Colón Km. 11 + 400 (aprox. al ejido), Municipio de La Trinitaria, Chiapas. Acceso al camino desde el Km. 56.7 (aprox.) de la Carretera Panamericana de Comitán-Cd. Cuáuhtemoc.",,,961 612 83 60,http://www.inah.gob.mx/zonas/18-zona-arqueologica-de-lagartero, rosa_guillen@inah.gob.mx,15.82763,-91.88415,7,99,0,Chiapas,La Trinitaria,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=201,2022-01-18T10:41:03-06:00
37,18,Izapa,1000-01-01,"11 km de Tapachula, Chiapas y a 7 km de la frontera con Guatemala",,,961 612 83 60,http://www.inah.gob.mx/zonas/156-zona-arqueologica-de-izapa,,14.91352,-92.18442,7,102,0,Chiapas,Tuxtla Chico,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=18,2022-01-18T10:33:26-06:00
38,22,Paquimé,1000-01-01,Independencia Zona de Monumentos Arqueológicos de Paquimé 100,Col. Casas Grandes,31850,636 692  41 40 ,http://www.inah.gob.mx/es/zonas/72-zona-arqueologica-paquime,mauricio_salgado@inah.gob.mx,30.36608,-107.94777,8,13,0,Chihuahua,Casas Grandes,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=22,2022-01-24T08:15:52-06:00
39,178,Cueva de la Olla,1000-01-01,Camino a rancho Casa Blanca-Cueva de la Olla,,,614 410 87 33,http://www.inah.gob.mx/es/zonas/117-zona-arqueologica-cueva-de-la-olla,direccion.chih@inah.gob.mx,30.17257,-108.31483,8,13,0,Chihuahua,Casas Grandes,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=178,2022-01-24T07:56:22-06:00
40,179,Cueva Grande,1000-01-01,"Camino a Huapoca-Cueva Grande, en el paraje conocido como Arroyo de la Cueva que desemboca al Río Papigochi",,,614 410 39 48 Centro Inah,http://www.inah.gob.mx/es/zonas/170-zona-arqueologica-cueva-grande,jorge_carrera@inah.gob.mx,29.18876,-108.3427,8,40,0,Chihuahua,Madera,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=179,2022-01-21T09:02:33-06:00
41,23,Cuarenta Casas,1000-01-01,"Carr. Ciudad Madera-Mesa del Huracán Km. 42.5, El Vallecito",,31940,614 410 39 48 ext. 178040,https://www.inah.gob.mx/zonas/168-zona-arqueologica-cuarenta-casas,jorge_carrera@inah.gob.mx,29.55138,-108.16341,8,40,0,Chihuahua,Madera,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=23,2022-01-21T08:58:15-06:00
42,180,Huapoca,1000-01-01,"Acceso al camino que dirige a Huapoca con en el entronque de la Av. Independencia en Madera, Chihuahua",,,614  410 39 48,http://www.inah.gob.mx/es/zonas/169-zona-arqueologica-huapoca,jorge_carrera@inah.gob.mx,29.211,-108.32937,8,40,0,Chihuahua,Madera,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=180,2022-01-21T09:12:02-06:00
43,26,Cerro de la Estrella,1000-01-01,"Calz. Ermita-Iztapalapa esq. Av. Rojo Gómez<br>Carr. Escénica al Cerro de la Estrella s/n, km 2",Col. Ampliación Veracruzana,09856,55 5522 4446,http://www.inah.gob.mx/es/zonas/27-zona-arqueologica-cerro-de-la-estrella,,19.34387,-99.08979,9,7,0,Distrito Federal,Iztapalapa,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=26,2022-05-31T10:10:45-05:00
44,27,Cuicuilco,1000-01-01,Av. Insurgentes Sur 146 esq. Periférico Sur,Col. La Joya,14030,55 5606 9758,http://www.inah.gob.mx/es/zonas/119-zona-arqueologica-cuicuilco,cuicuilco1985@gmail.com; zacuicuilco_inah@inah.gob.mx,19.30169,-99.18165,9,12,0,Distrito Federal,Tlalpan,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=27,2022-01-24T10:01:04-06:00
45,223,Mixcoac,2019-08-24,Pirámide 7 esq. Av. San Antonio y Periférico,Col. San Pedro de los Pinos,03800,,https://www.inah.gob.mx/zonas/9393-zona-arqueologica-de-mixcoac,,19.38628,-99.18989,9,14,0,Distrito Federal,Benito Juárez,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=223,2022-02-25T09:28:37-06:00
46,28,Templo Mayor,1000-01-01,Guatemala 60,Centro Histórico,06060,55 5542 0256,http://www.templomayor.inah.gob.mx,n.mntm@inah.gob.mx; edutemplomayor@inah.gob.mx ,19.43495,-99.13144,9,15,0,Distrito Federal,Cuauhtémoc,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=28,2022-01-25T07:12:19-06:00
47,29,Tlatelolco,1000-01-01,Eje Central Lázaro Cárdenas esq. Flores Magón,Col. Nonoalco-Tlatelolco,06900,55 5782 2240,http://www.inah.gob.mx/es/zonas/118-zona-arqueologica-tlatelolco,za.tlatelolco@inah.gob.mx,19.45112,-99.13742,9,15,0,Distrito Federal,Cuauhtémoc,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=29,2022-01-25T07:17:00-06:00
48,30,La Ferrería,1000-01-01,Carr. a Lerdo de Tejada Km 2,Ejido La Ferrería,,618 128 4413,http://www.inah.gob.mx/es/zonas/73-zona-arqueologica-la-ferreria,direccion.dgo@inah.gob.mx,23.96088,-104.64911,10,5,0,Durango,Durango,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=30,2022-01-25T07:30:16-06:00
49,192,Peralta,2008-12-04,Ramal de Carretera estatal Abasolo-Huanímaro,Col. San Jose de Peralta,,473 733 10 69,http://www.inah.gob.mx/es/zonas/8-zona-arqueologica-peralta,delegacion_gto@inah.gob.mx,20.47196,-101.40952,11,1,0,Guanajuato,Abasolo,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=192,2022-01-25T07:45:56-06:00
50,190,Cañada de la Virgen,2011-02-11,"Carr. San Miguel de Allende Km. 10, San Miguel de Allende, Gto.",,,"473 10 22 700 exts. 105, 133",http://www.inah.gob.mx/es/zonas/79-zona-arqueologica-canada-de-la-virgen,jlvazquezg@guanajuato.gob.mx,20.8582,-100.9283,11,3,0,Guanajuato,San Miguel de Allende,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=190,2022-01-25T07:37:32-06:00
51,196,El Cóporo,2012-07-20,Camino al Cóporo km 4 (aprox.),,,473 733 08 57,http://www.inah.gob.mx/es/zonas/26-zona-arqueologica-el-coporo,delegacion_gto@inah.gob.mx,21.47759,-101.4588,11,22,0,Guanajuato,Ocampo,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=196,2022-01-25T07:33:07-06:00
52,175,Plazuelas,2006-03-10,Carr. federal 90 tramo Irapuato-La Piedad,San Juan el Alto Plazuelas,,"473 10 22 700 exts. 105, 133",http://www.inah.gob.mx/es/zonas/74-zona-arqueologica-plazuelas,delegacion_gto@inah.gob.mx,20.40172,-101.82781,11,23,0,Guanajuato,Pénjamo,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=175,2022-02-25T09:54:00-06:00
53,219,Arroyo seco,2018-03-24,"Carr. estatal 110 (Tierra Blanca-Victoria-San Luis de La Paz), a 2.5 km al sureste de la localidad Victoria",,,,http://cultura.guanajuato.gob.mx/index.php/arroyo-seco/,jlvazquezg@guanajuato.gob.mx,21.19319,-100.20604,11,43,0,Guanajuato,Victoria,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=219,2022-01-25T12:54:25-06:00
54,51,La Sabana,1000-01-01,Ejido La Sabana,Col. 5 de mayo,,747 471 71 21,http://www.inah.gob.mx/es/zonas/38-zona-arqueologica-de-la-sabana,direccion.gro@inah.gob.mx,16.8628,-99.82308,12,1,0,Guerrero,Acapulco de Juárez,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=51,2022-01-25T12:50:41-06:00
55,50,Palma Sola,1000-01-01,Av. Palma Sola s/n,Col. Palma Sola,,744 486 15 14,http://www.inah.gob.mx/es/zonas/36-zona-arqueologica-de-palma-sola,direccion.gro@inah.gob.mx,16.89007,-99.90038,12,1,0,Guerrero,Acapulco de Juárez,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=50,2022-04-01T07:27:21-06:00
56,45,Teopantecuanitlán,1000-01-01,Principal s/n,Las Tinajas,,747 471 71 21,http://www.inah.gob.mx/es/zonas/42-zona-arqueologica-de-teopantecuanitlan,direccion.gro@inah.gob.mx,17.90537,-99.10874,12,19,0,Guerrero,Copalillo,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=45,2022-01-25T13:25:03-06:00
57,191,Tehuacalco,2008-12-16,,,,747 472 26 04,http://www.inah.gob.mx/es/zonas/174-zona-arqueologica-tehuacalco,direccion.gro@inah.gob.mx,16.8628,-99.82308,12,29,0,Guerrero,Chilpancingo de los Bravo,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=191,2022-01-25T13:20:40-06:00
58,49,Huamuxtitlán,1000-01-01,Galeana s/n,Centro,41200,747 471 71 21,http://www.inah.gob.mx/es/zonas/40-zona-arqueologica-de-huamuxtitlan,direccion.gro@inah.gob.mx,17.79885,-98.56503,12,33,0,Guerrero,Huamuxtitlán,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=49,2022-01-25T12:27:57-06:00
59,47,Cuetlajuchitlán (Los Querende),1000-01-01,Km 181 Carr. Num. 95 (tramo Cuernavaca-Acapulco),,,747 471 71 21,http://www.inah.gob.mx/es/zonas/188-zona-arqueologica-cuetlajuchitlan-o-los-querende,direccion.gro@inah.gob.mx,18.20448,-99.21089,12,34,0,Guerrero,Huitzuco de los Figueroa,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=47,2022-04-01T06:45:53-06:00
60,44,Ixcateopan,1000-01-01,5 de mayo (Gral. Vicente Guerrero Saldaña) s/n,,40430,747 471 71 21,http://www.inah.gob.mx/es/zonas/37-zona-arqueologica-de-ixcateopan,direccion.gro@inah.gob.mx,17.62024,-98.52001,12,37,0,Guerrero,Ixcateopan de Cuauhtémoc,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=44,2022-02-04T10:13:52-06:00
61,210,Soledad de Maciel,2012-01-01,Camino vecinal a Soledad de Maciel Km 3 + 700 (aprox.),,,747 4 71 71 21,http://www.inah.gob.mx/es/zonas/48-zona-arqueologica-soledad-de-maciel,direccion.gro@inah.gob.mx,17.52639,-101.33333,12,48,0,Guerrero,Petatlán,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=210,2022-02-25T09:59:56-06:00
62,48,Los Tepoltzis,1000-01-01,,,,747 471 71 21,http://www.inah.gob.mx/es/zonas/41-zona-arqueologica-los-tepoltzis,direccion.gro@inah.gob.mx,17.60057,-99.39735,12,61,0,Guerrero,Tixtla de Guerrero,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=48,2022-05-30T12:00:05-05:00
63,46,La Organera  Xochipala,2002-01-01,Av. Principal s/n,Comunidad de Xochipala,,747 471 71 21,http://www.inah.gob.mx/es/zonas/43-zona-arqueologica-de-organera-xochipala,direccion.gro@inah.gob.mx,17.78441,-99.63307,12,75,0,Guerrero,Eduardo Neri,TOTAL DEL MUNICIPIO,http://sic.gob.mx/ficha.php?table=zona_arqueologica&table_id=46,2022-01-25T12:37:53-06:00
