,Comentario,Texto limpio
10,"Excelente forma de enseñar a propios y extranjeros sobre las culturas que se desarrollaron al rededor del lago de texcoco y y tribus vecinas , vestigios , ofrendas , estatuas y monolitos muestran la vida y costumbre de los que habitaron esta tierra. Los domingos es gratis pero hay más gente, entre semana solo 60 pesos y los lunes cierran . Vale la pena visitarlos por qué es muy elegante e ilustrativo.",excelente forma enseñar extranjeros culturas desarrollaron rededor lago texcoco tribus vecinas vestigios ofrendas estatuas monolitos muestran vida costumbre habitaron tierra domingos gratis gente semana pesos lunes cierran vale pena visitarlos elegante ilustrativo
11,Un excelente lugar para conocer parte de la historia de nuestro país. Si duda!,excelente historia país duda
12,"Muy buen organizado y explicados de  los acontecimientos históricos, además de muy buena preservación de las piezas exhibidas.",organizado explicados acontecimientos históricos preservación piezas exhibidas
13,"Muy bonito lugar, es un poco cansado pues hay que caminar. Pero está bien para un día de visita
Aprendes muchas cosas",bonito cansado caminar visita aprendes
14,"Excelente lugar para pasar una mañana. Me gusto mucho. Lugar histórico, visita imperdible en CDMX",excelente pasar mañana gusto histórico visita imperdible cdmx
15,"Definitivamente es un lugar obligado para visitar en el centro de la CDMX. La organización de la exposición es simplemente espectacular, bien documentada y centrada en el desarrollo histórico de la civilización Mexica.",definitivamente obligado visitar centro cdmx organización exposición simplemente espectacular documentada centrada desarrollo histórico civilización mexica
16,"Hacia mucho que no lo visitaba, y me encantó la modificación en la visita: es mas fácil recorrerlo y disfrutar todo el museo",visitaba encantó modificación visita fácil recorrerlo disfrutar museo
17,"Muy bonito, lo único es que no tiene guía,pero hermoso, limpio, ordenado",bonito único guíapero hermoso limpio ordenado
18,Buen lugar para conocer nuestra historia y de donde venimos los mexicanos.,historia venimos mexicanos
19,Muy recomendable pero hay que terner tiempo y paciencia para esperar entrar al museo,recomendable terner paciencia esperar entrar museo
20,"Lugar impresionante, 3 pisos más,  mucho que recorrer, lleven tenis cómodos",impresionante pisos recorrer lleven tenis cómodos
21,"Muy buen lugar para visitar, el museo está estupendo",visitar museo estupendo
22,No sé arrepentirán de visitarlo el costo es de 85 pesos pero si eres estudiante entras gratis y si tienes tarjeta de inapam también entran gratis,arrepentirán visitarlo costo pesos estudiante entras gratis tarjeta inapam entran gratis
23,"Sin duda la Ciudad de México es maravillosa, la historia es y será parte fundamental de la visita obligada a los museos de la CDMX.",duda ciudad méxico maravillosa historia fundamental visita obligada museos cdmx
24,"Mucho que ver y conocer dentro del centro de la ciudad. El museo es gratis si eres estudiante, profesor o persona de la tercera edad.",centro ciudad museo gratis estudiante profesor persona edad
25,Excelente museo/sitio arqueológico para poder conocer un poco mas del pasado de México Tenochtitlan,excelente museositio arqueológico méxico tenochtitlan
26,"Visualmente muy agradable, tiene varias salas, muestra la historia de Tenochtitlan, su edificacion, el estilo de vida de los habitantes y sobre todo los dioses en los que se creía en ese entonces. Hay salas dedicadas exclusivamente a Tláloc y Huitzilopochtil.",visualmente agradable salas muestra historia tenochtitlan edificacion estilo vida habitantes dioses creía salas dedicadas exclusivamente tláloc huitzilopochtil
27,Lugar que se debe conocer si te gusta la cultura Mexica y la historia.,gusta cultura mexica historia
28,"Hermoso museo, los objetos que se encuentra en exposición son increíbles al igual que las explicaciones de cada unos de ellos espero con ansias poder volver",hermoso museo objetos exposición increíbles explicaciones espero ansias volver
29,"Un sitio para ver la historia prehispánica, la colonial y si miras un poco más arriba, se ven los edificios modernos.",sitio historia prehispánica colonial miras ven edificios modernos
30,"Un área está en remodelación.
Los domingos el acceso es gratuito.
Buena opción para el fin de semana!!!",área remodelación domingos acceso gratuito opción semana
31,Interesante la cultura Mexica así como los hallazgos encontrados el el Zócalo,interesante cultura mexica hallazgos encontrados zócalo
32,Es maravilloso en todo su esplendor se vale repetir en cada visita te sorprenderá,maravilloso esplendor vale repetir visita sorprenderá
33,Todo bien organizado seguridad e higiene para los visitantes y el personal muy atento,organizado seguridad higiene visitantes personal atento
34,"Excelente museo, bastantes láminas que explican cada uno de los elementos que se van observando. Sólo faltan más señalamientos para recorrer el museo en orden adecuado y no perderse.  Actualmente están restaurando una parte de la zona arqueológica, pero se puede observar desde una distancia. Para llegar en transporte es muy fácil.  Sólo llegas a la estación del metro Zócalo y a un lado de palacio está la entrada. Los domingos la entrada es gratis presentando tu INE.",excelente museo bastantes láminas explican elementos observando faltan señalamientos recorrer museo orden adecuado perderse restaurando zona arqueológica observar distancia llegar transporte fácil llegas estación metro zócalo palacio entrada domingos entrada gratis presentando ine
35,"Haber pasado por esa zona antes y ahora ver todo lo que había bajo tus pies lo hace aún más increíble, el lugar de fácil acceso y con muy buena infraestructura",zona pies increíble fácil acceso infraestructura
36,"La exposición temporal es interesante.
La nueva entrada al museo es bonita pero no estaba todo el paseo abierto cuando visitamos.
Hay algunas salas del museo cerradas y algunas secciones se ven descuidadas.
El personal del museo es amable en su mayoría, están atentos a los cuidados durante la pandemia, sana distancia, uso de cubrebocas en los visitanted y aforo.",exposición temporal interesante entrada museo bonita paseo abierto visitamos salas museo cerradas secciones ven descuidadas personal museo amable mayoría atentos cuidados pandemia sana distancia cubrebocas visitanted aforo
37,"Es impresionante ver este tipo de lugares, si están en el centro de CDMX no duden en visitarlo!",impresionante tipo lugares centro cdmx duden visitarlo
38,El museo cuenta con una colección tremenda de piezas antiguas encontradas hace muy poco. Aún la zona se está explorando. Preferiblemente ir con un guía te ayudará mucho a entender por completo lo que estás viendo. Las ruinas son grandes pero es mejor que te explique con detalle los vestigios del Templo Mayor.,museo colección tremenda piezas antiguas encontradas zona explorando preferiblemente guía ayudará entender completo viendo ruinas explique detalle vestigios templo
39,"Exelente exelente muy impresionante visita nuestra raíz está muy recomendable
Mexica Power....🇲🇽👊",exelente exelente impresionante visita raíz recomendable mexica power
40,"Es entrada libre presentando tu INE, el recorrido si es largo así que ve preparado.",entrada libre presentando ine recorrido ve preparado
41,"Bonito restaurante, muy buena cocina, Buenos tequilas, hermosa vista al Zócalo, nos tocó desfile militar celebrando el 27 SEP 1891, entrada del ejército trigarante a la cd de México",bonito restaurante cocina tequilas hermosa vista zócalo tocó desfile militar celebrando sep entrada ejército trigarante cd méxico
42,Excelente presentación de ídolos y objetos arqueologicos,excelente presentación ídolos objetos arqueologicos
43,Es uno de los Museos que vale la pena visitar para conocer de nuestro pasado.,museos vale pena visitar
44,"Ya han vuelto a reabrirlo al público. La verdad vale la pena visitarlo, tiene 8 salas y cada una cuenta una parte de la historia de los mexicas. Es complementario del Museo de Antropología Prehispánica.",vuelto reabrirlo público vale pena visitarlo salas historia mexicas complementario museo antropología prehispánica
45,"Uno de los museos más importantes y emblemáticos de la Ciudad de México, simplemente por albergar las ruinas principales de lo que fue la gran Tenochtitlan, es una pena que haya sufrido diversos daños, pero es grato ver qué se han encontrado más vestigios al rededor que son visibles al público en general; tiene que ser visita obligada al visitar la zona centro de ésta gran urbe.",museos importantes emblemáticos ciudad méxico simplemente albergar ruinas principales tenochtitlan pena sufrido diversos daños grato encontrado vestigios rededor visibles público visita obligada visitar zona centro urbe
46,Excelente museo!!! La atención y la seguridad super bien 👌👏👏👏,excelente museo atención seguridad super 
47,"No dejen de visitar , El Museos Plaza Mayor en México , donde se encontraron vestigios de los Azteca.",dejen visitar museos plaza méxico encontraron vestigios azteca
48,En algunos pisos no funcionaba el elevador. Pero la museografía excelente.,pisos funcionaba elevador museografía excelente
49,"Sí, tu pasión es la historia mexicana.¡ Sin duda será una visita obligada¡ Donde experimentarán el paso de los años con grandes exposiciones e información sumamente interesante. Te sentirás un gran Tlatoani al final del recorrido. ¡Viva México, viva su historia!",pasión historia mexicana duda visita obligada experimentarán paso años exposiciones información sumamente interesante sentirás tlatoani recorrido viva méxico viva historia
50,"Bellísimo lugar, es un viaje a la historia prehispánica que a la vez tiene un contraste de la época colonial en sus alrededores, dos culturas distintas en un mismo lugar. Desgraciadamente la atención por parte de los encargados, pésima todos te tratan de mala gana y son groseros deberían de cambiar eso, es una lástima visitar un lugar tan bonito y llevarte malas experiencias por personas que no aprecian el tener un trabajo.",bellísimo viaje historia prehispánica contraste época colonial alrededores culturas distintas desgraciadamente atención encargados pésima tratan mala gana groseros deberían cambiar lástima visitar bonito llevarte malas experiencias personas aprecian
51,Ubicado junto al palacio nacional y a la catedral metropolitana de la ciudad de México sitio mágico para visitar y ver cómo era la ciudad de Tenochtitlan antes de la llegada de los españoles,ubicado palacio nacional catedral metropolitana ciudad méxico sitio mágico visitar ciudad tenochtitlan llegada españoles
52,"Es un lugar histórico imperdible si se visita CDMX. Recomiendo que antes de ir,  se lea un poco de la historia del templo. Es una lástima que no haya un recorrido guiado. Las salas tienen piezas arqueológicas de gran valor histórico.",histórico imperdible visita cdmx recomiendo lea historia templo lástima recorrido guiado salas piezas arqueológicas histórico
53,Impresionante mi cultura y el que nos la muestren así es fascinante!!,impresionante cultura muestren fascinante
54,Las ruinas son increíbles y las exposiciones dentro muy lindas y bien explicadas. Varias escaleras pero tiene lugares para descansar. Baño gratuito en el interior. No se permite entrar con ninguna bebida,ruinas increíbles exposiciones lindas explicadas escaleras lugares descansar baño gratuito interior permite entrar bebida
55,Un lugar que no debes dejar pasar para conocer,debes dejar pasar
56,Es un increíble lugar para contemplar los restos de la gran tenochtilan y nuestra cultura,increíble contemplar restos tenochtilan cultura
57,"Un lugar mágico, y el museo de primer mundo",mágico museo mundo
58,me gusta el recorrido inicial antes de entrar al museo,gusta recorrido inicial entrar museo
59,"Es uno de los mejores museos de la Ciudad de México.
Es como ir descubriendo a través de cada una de sus salas un poco de la complejidad de la gran Tenochtitlán.

Conviene llegar antes de las 12 del día, porque es muy visitado y para verlo con calma conviene invertir al menos unas 3 horas.",mejores museos ciudad méxico descubriendo salas complejidad tenochtitlán conviene llegar visitado verlo calma conviene invertir
60,"¡Una experiencia increíble!

Desde la entrada, la sensación de sumergirte en el contexto prehispánico hasta recorrer los basamentos acompañados por las citas textuales en los muros.

El personal es amable, atento y muy al pendiente del recorrido. Al entrar al museo, las indicaciones son específicas y la exposición temporal es muy interactiva.

El video explicando los enfrentamientos de resistencia Mexica y avances del ejército comandado por Hernan Cortés es muy atrayente. El zompantli al iniciar el recorrido por las ocho salas es impactante.

Las bancas de descanso al finalizar cada sala hacen tomarte descansos y disfrutar del museo.

Al finalizar, fuera del museo hay un recorrido extra, el cual, deberían de anunciar mejor a la salida de la zona arqueológica y con enseñar el boleto de entrada a Tempoo Mayor es gratuita ""Las ventanas arqueológica"".",experiencia increíble entrada sensación sumergirte contexto prehispánico recorrer basamentos acompañados citas textuales muros personal amable atento pendiente recorrido entrar museo indicaciones específicas exposición temporal interactiva video explicando enfrentamientos resistencia mexica avances ejército comandado hernan cortés atrayente zompantli iniciar recorrido salas impactante bancas descanso finalizar sala tomarte descansos disfrutar museo finalizar museo recorrido extra deberían anunciar salida zona arqueológica enseñar boleto entrada tempoo gratuita ventanas arqueológica
61,"Solo puedo decir que es genial visitarlo por todo su contenido y sus instalaciones son excelentes, así es que lo recomiendo totalmente para que acudan a este gran museo. 👌😃",genial visitarlo contenido instalaciones excelentes recomiendo totalmente acudan museo 
62,"Increíble hayazgo. Necesario visitar, al igual que los museos para entender más la historia de nuestro país.",increíble hayazgo necesario visitar museos entender historia país
63,"Este museo tiene garantía de calidad y aprendizaje, el acervo es enorme y las visitas guiadas son muy interesantes. Sin embargo, tanto las vitrinas como las ventanas estaban sucias y empolvadas el día que fui. De cualquier manera, es una visita obligada para quien quiera conocer más de la cultura Azteca",museo garantía calidad aprendizaje acervo enorme visitas guiadas interesantes vitrinas ventanas sucias empolvadas visita obligada quiera cultura azteca
64,"Visita obligada si estás en el centro de la CDMX, está muy chingon, una forma muy didáctica de conectar con la cultura mexica y conocer nuestros orígenes y como se dió la conquista de México, vale mucho la pena, hay que invertirle al rededor de 2 hrs. Estudiantes, niños y adultos mayores con credencial entran grátis, a mí me tocó pagar $85, los domingos es gratis para todos los nacionales con identificación, y no te dejan entrar con líquidos ni comida.",visita obligada centro cdmx chingon forma didáctica conectar cultura mexica orígenes dió conquista méxico vale pena invertirle rededor hrs estudiantes niños adultos mayores credencial entran grátis tocó pagar domingos gratis nacionales identificación dejan entrar líquidos comida
65,Lugar perfecto para conocer más sobre la historia del imperio azteca,perfecto historia imperio azteca
66,Como tal las reliquias que ahí muestran están preciosas; pero desde el personal de seguridad y en si el personal del museo pues mal... no se quizás les falta un poco de ética... Ó no lo se... hace falta que el director del museo visite el museo y vea con los ojos del visitante común su museo para que se percate de las fallas de su museo en fin.,reliquias muestran preciosas personal seguridad personal museo falta ética ó falta director museo visite museo vea ojos visitante común museo percate fallas museo
67,"Muy buen lugar para recorrer , se pueden apreciar las ruinas y si deseas puedes entrar a visitar el museo en dónde hay muy buenas piezas. El día domingo la entrada es gratis para mexicanos.No olvides ponerte bloqueador solar o usar algún gorro ya que el recorrido del templo mayor se hace al exterior.",recorrer apreciar ruinas deseas puedes entrar visitar museo piezas domingo entrada gratis mexicanosno olvides ponerte bloqueador solar gorro recorrido templo exterior
68,Ruinas y vestigios de nuestros antepasados a un costado de la catedral y el zócalo de México,ruinas vestigios antepasados costado catedral zócalo méxico
69,"Excelente lugar, muy interesante. Muchas piezas y mucha historia. El único detalle es que, le hace falta un poco más de museografía y más iluminacion.",excelente interesante piezas historia único detalle falta museografía iluminacion
70,Un museo majestuoso y siempre recomendable para todo público.,museo majestuoso recomendable público
71,"Todos los mexicanos debemos visistar este lugar sagrado, aquí esta parte de la historia de cada uno de nosotros. Un lugar que me deja muchas incognitas despues de ver una pequeña porción de como trabajaron nuestros antepasados, de su concepción de la vida, de su extraordinario conocimiento de la construcción relacionada con el cosmos.
Ojalá y todos valoráramos todo aquello relativo a nuestros antepasados y dejáramos de lado culturas de las que no debemos estar orgullosos, sobre valorarlas y mucho menos imitarlas.
Aquí hay grandeza, orgullo, dignidad, conocimiento y en muchos momentos sacrificios de toda índole. Admiración y gratitud por el legado de todos aquellos que me antecedieron.",mexicanos debemos visistar sagrado historia deja incognitas pequeña porción trabajaron antepasados concepción vida extraordinario conocimiento construcción relacionada cosmos ojalá valoráramos relativo antepasados dejáramos culturas debemos orgullosos valorarlas imitarlas grandeza orgullo dignidad conocimiento momentos sacrificios índole admiración gratitud legado antecedieron
72,"Sin duda se ha convertido en mi museo (público) favorito de la CDMX, piezas extraordinarias, pisos y pisos de las exposiciones y sobretodo Coyolxauhqui es impresionante, es una visita obligada si eres turista o residente de la CDMX, te darán cuenta de la riqueza de nuestra cultura, nada que envidiar del extranjero.",duda convertido museo público favorito cdmx piezas extraordinarias pisos pisos exposiciones sobretodo coyolxauhqui impresionante visita obligada turista residente cdmx darán riqueza cultura envidiar extranjero
73,Muy interesante la exposicion y fascinante el recorrido por el templo. La recomendación es no llevar ningún tipo de alimentos ni bebidas  ni siquiera cerrados xk no los dejan entrar y tampoco hay donde guardarlos,interesante exposicion fascinante recorrido templo recomendación tipo alimentos bebidas siquiera cerrados xk dejan entrar guardarlos
74,"Muy interesante lugar que muestra de manera artística y muy didáctica el esplendor del pueblo azteca, así como los elementos de su entorno social y ambiental. Es una excelente muestra de nuestro origen. Gracias  a la amable atención del personal y los de vigilancia.",interesante muestra artística didáctica esplendor pueblo azteca elementos entorno social ambiental excelente muestra origen gracias amable atención personal vigilancia
75,"Excelente lugar para conocer la cultura mexica y un museo con bastantes reliquias, solo que está limitada el área ya que aún continúan obras de construcción, lo demás sigue muy bien.",excelente cultura mexica museo bastantes reliquias limitada área continúan obras construcción
76,"Limpio, bonito, bien vigilado, condiciones higiénico sanitarias mínimas necesarias, recorrido de buena información mucho por aprender y recordar de la historia de nuestro país para visitar en pequeños grupos, entrada controlada.",limpio bonito vigilado condiciones higiénico sanitarias mínimas necesarias recorrido información aprender recordar historia país visitar pequeños grupos entrada controlada
77,"El museo está muy bien, la entrada es de 75 pesos pero niños menores de 12, adultos mayores, maestros y estudiantes no pagan. Los domingos la entrada es gratuita.
Me parece muy importante conocer nuestra cultura y todo lo que hay detrás de ella, sin duda el museo es una experiencia enriquecedora y bastante asombrosa, todo lo que hicieron nuestros antepasados simplemente sorprende. Recomiendo mucho ir en familia.",museo entrada pesos niños menores adultos mayores maestros estudiantes pagan domingos entrada gratuita importante cultura duda museo experiencia enriquecedora asombrosa antepasados simplemente sorprende recomiendo familia
78,"Un lugar muy enigmático, rico en cultura y piezas que transportan a nuestro maravilloso pasado, en un recorrido único. Si hay que dedicarle un buen rato para alcanzar a disfrutar el interior y exterior. Muy limpio y a gusto el lugar aunque muy concurrido, por ser entrada libre en domingo. No recomiendo llevar muchas cosas de agua y comida porque hay que dejarlas en anaqueles en otro edificio.",enigmático rico cultura piezas transportan maravilloso recorrido único dedicarle rato alcanzar disfrutar interior exterior limpio gusto concurrido entrada libre domingo recomiendo agua comida dejarlas anaqueles edificio
79,"Si te gustan los museos y viajes al pasado, sin duda es muy buena opción, costo accesible, me encantó que menores de 13 años no pagan, RECOMENDABLE.",gustan museos viajes duda opción costo accesible encantó menores años pagan recomendable
80,"Es precioso y da información muy valiosa y sorprendente sobre los pueblos prehispánicos. Les recomiendo llevar calzado cómodo pues el recorrido es muy largo, pero muy entretenido. Mi sección favorita fue la de animales y los significados místicos que tenían para las antiguas culturas.",precioso información valiosa sorprendente pueblos prehispánicos recomiendo calzado cómodo recorrido entretenido sección favorita animales significados místicos antiguas culturas
81,"Encantado con el museo, el recorrido muy bien diseñado.",encantado museo recorrido diseñado
82,"Quieres ver de cerca lo que hacían nuestros antepasados? Ve ahí y admira su trabajo, si eres mexicano se te pondrá la piel de gallina solo de pensar en lo que hicieron las culturas prehispánicas. Su arte y su forma de vida, su cosmovisión, sus dioses.",quieres hacían antepasados ve admira mexicano pondrá piel gallina pensar culturas prehispánicas arte forma vida cosmovisión dioses
83,"Algunas partes del recorrido se encontraban cerradas, tampoco se pudo apreciar el ""cuerpo"" de coyolxauhqui.
Para el acceso si cuentas con credencial de estudiante, docente o Inapam, este es gratuito. El recorrido puede hacerse en una hora.",partes recorrido encontraban cerradas apreciar cuerpo coyolxauhqui acceso cuentas credencial estudiante docente inapam gratuito recorrido hacerse hora
84,"Este Museo es de los más representativos y admirados de nuestro país.
Un hermoso recinto que merece ser admirado por cada uno de los Mexicanos
🇲🇽♥️",museo representativos admirados país hermoso recinto merece admirado mexicanos 
85,"Definitivamente un lugar a visitar en el corazón de la Ciudad de México, los lunes la entrada es libre para nacionales. Además de ver las ruinas la entrada al museo es sumamente recomendable. En la imagen se puede apreciar la entrada al museo del que hablo.",definitivamente visitar corazón ciudad méxico lunes entrada libre nacionales ruinas entrada museo sumamente recomendable imagen apreciar entrada museo hablo
86,"Templo Mayor... simplemente  Enigmático, místico e increíble.

Recomendado visitar esté sitio, les recomiendo Llevar calzado cómodo, ya que es extenso el museo. No lleven alimentos, las bebidas te las retienen y al salir te las entregan.

El costo es de $70.00 Marzo 2018.
El recorrido lo haces en 2 a 3 hrs.",templo simplemente enigmático místico increíble recomendado visitar sitio recomiendo calzado cómodo extenso museo lleven alimentos bebidas retienen salir entregan costo marzo recorrido hrs
87,"Muy buen museo, tiene muchas salas, bien distribuidas. Varios pisos
Cuenta una historia.
Creo que en sus alrededores deben existir más elementos sin desenterrar
Tiene lugares para comer cercanos",museo salas distribuidas pisos historia alrededores existir elementos desenterrar lugares comer cercanos
88,"Tenía años que no lo visitaba, pero me pareció más extenso, con 8 salas por visitar, es una vista obligada a la CDMX. Muy interesante y recomendable. entrada $80 pesos, los domingos es gratis para los Mexicanos estancia mínima tres horas",años visitaba pareció extenso salas visitar vista obligada cdmx interesante recomendable entrada pesos domingos gratis mexicanos estancia mínima
89,"Excelente información, nunca me imagine que estuviera tan grande este museo. Mucho que aprender y muy económico. Lo recomendaré. Saludos.",excelente información imagine grande museo aprender económico recomendaré saludos
90,"Maravilloso!!! Cada pieza cuenta nuestro origen..cuanta historia y cultura por la cual sentirse orgullosos y fuertes. Viva Mexico-Tenochtitlan, viva la grandeza de nuestro origen!!! Viva Teotihuacán!! Vivan los cuatro Tezcatlipocas, Viva Ometeotl y los señores del Mictlán
Tlazocamati Ometeotl",maravilloso pieza origencuanta historia cultura sentirse orgullosos fuertes viva mexicotenochtitlan viva grandeza origen viva teotihuacán vivan tezcatlipocas viva ometeotl señores mictlán tlazocamati ometeotl
91,"Excelente sitio, en donde encontrarás cultura , diversión y entretenimiento.
De muy fácil acceso.
La seguridad está perfecta, los boletos no son nada caros y con credencial de estudiante es gratis.
La limpieza es la adecuada y el personal amable.
Vale la pena visitarlo, pero lleva gorra por qué la necesitarás.
No dejan entrar ningún tipo de alimento o bebida, así que evita tener que tirarlos y consume hasta el final del recorrido.",excelente sitio encontrarás cultura diversión entretenimiento fácil acceso seguridad perfecta boletos caros credencial estudiante gratis limpieza adecuada personal amable vale pena visitarlo gorra necesitarás dejan entrar tipo alimento bebida evita tirarlos consume recorrido
92,"Quede muy satisfecho con la exposición de piezas arqueológicas, aparte hay una muestra de cerámica y utensilios posterior a la conquista. Lleva zapatos cómodos y si llegas temprano, no tendrás que hacer fila para ingresar",quede satisfecho exposición piezas arqueológicas aparte muestra cerámica utensilios posterior conquista zapatos cómodos llegas fila ingresar
93,Es grande y bonito solo que tienes que esperar para entrar y algunas partes de las instalaciones no están cubiertas así que les suguieto llevar una gorra o sombrero,grande bonito esperar entrar partes instalaciones cubiertas suguieto gorra sombrero
94,"Uno de los museos importantes de la CDMX, cómo museo tiene diverso contenido, enriquecedor lo que ofrece para conocer sobre las antiguas culturas.
Cómo usuaria lo que no me gustó, es que impiden ingresar con agua, entiendo lo de los alimentos, pero el agua si es necesaria para la hidratación, ya que en la zona arqueológica cae el sol a todo lo que da, no hay manera de cubrirte en una sombra, además, si realmente te tomas enserio el recorrido, mínimo son más de dos horas de estar caminando, obviamente te da sed!!!. Si no permiten el acceso con una botella de agua, entonces que tengan bebederos.
El costo de la entrada es de $80 pesos, recibe muchísimas visitas al día, mínimo eso debería ofrecer.",museos importantes cdmx museo diverso contenido enriquecedor ofrece antiguas culturas usuaria gustó impiden ingresar agua entiendo alimentos agua necesaria hidratación zona arqueológica cae sol cubrirte sombra realmente tomas enserio recorrido mínimo caminando obviamente sed permiten acceso botella agua bebederos costo entrada pesos recibe muchísimas visitas mínimo debería ofrecer
