,Comentario,Texto limpio
10,Es un Museo lleno de historias.,museo lleno historias
11,"El museo es muy grande, tiene dos pisos y viene con mucha historia de México. Muy interesante para turistas y para los nacionales",museo grande pisos viene historia méxico interesante turistas nacionales
12,Visitamos este museo el 1 de enero y fue un placer recorrerlo.,visitamos museo enero placer recorrerlo
13,"Es un gran museo que te regala un magnífico e interesante recorrido por todos los capítulos de nuestra historia nacional y de la humanidad a través de contenido organizado en diferentes temporadas, culturas, secciones, etc. Sin dejar de lado el excepcional legado academico brindado con la información en todas y cada una de sus notas.",museo regala magnífico interesante recorrido capítulos historia nacional humanidad contenido organizado temporadas culturas secciones etc dejar excepcional legado academico brindado información notas
14,"Actualmente la entrada se encuentra en un valor de $85, que súper valen la pena, deben ir con zapatos cómodos y mucho tiempo para poder leer, aprender y maravillarse por tanta maravilla, en él área del restaurante puedes comer e hidratarte, el agua cuesta $41 pesos (ciel pequeña normal) para que lo tomen en cuenta, es un lugar muy increíble me encanto",entrada súper valen pena zapatos cómodos leer aprender maravillarse tanta maravilla área restaurante puedes comer hidratarte agua cuesta pesos ciel pequeña normal tomen increíble encanto
15,"Impresionante colección de piedras esculpidas con mucho detalle. Recomiendo ir desde temprano para que puedas ver al menos casi todo el museo, ya que, es inmenso.",impresionante colección piedras esculpidas detalle recomiendo puedas museo inmenso
16,"Reconstrucciones arqueológica pre históricas del mundo y de la arqueología y la etnografía mexicanas.  Lugar diversos, amplio, lleno de conocimiento que lo inspira a uno a pensar esa América no contada y ese México inmenso y lleno de elegancia y complejidad cultural.  Es el espíritu del pasado y mucho del presente.",reconstrucciones arqueológica pre históricas mundo arqueología etnografía mexicanas diversos amplio lleno conocimiento inspira pensar américa contada méxico inmenso lleno elegancia complejidad cultural espíritu presente
17,"Que decir de este museo, uno de los mejores del mundo, sin lugar a dudas. Visita imprescindible si vienes a DF. Todas las salas están muy bien explicadas, visita  muy amena, ven con tiempo. No te dejes las salas superior, donde vas a conocer las culturas actuales de los mexicanos, heredadas de siglos de historia.",museo mejores mundo dudas visita imprescindible vienes df salas explicadas visita amena ven dejes salas superior vas culturas actuales mexicanos heredadas siglos historia
18,"Un lugar super grande, tiene dos niveles cada uno como con 10 salas donde lo mejor es espezar con la sala 1, para entender todo desde el principio de lo mas antiguo a lo mas moderno. Permiten pagar con tarjeta de credito las entradas, el unico museo que encontramos con esa opción el resto solo era en efectivo.",super grande niveles salas espezar sala entender principio antiguo moderno permiten pagar tarjeta credito entradas unico museo encontramos opción resto efectivo
19,Reabrieron sus puertas desde el 01/02/22,reabrieron puertas
20,"El Museo de Antropología, mi lugar favorito de la ciudad de México. Hay tanto que ver que se necesitas un día para recorder cada rincon.",museo antropología favorito ciudad méxico necesitas recorder rincon
21,"El Museo que todos los mexicanos debemos visitar alguna vez, es uno de los recintos más importante del país, dónde veraz el legado arqueológico de los pueblos de Mesoamérica y conocer las etnias del País. Se encuentra en el área del Bosque de Chapultepec sobre Av. Paseo de la Reforma s/n, Polanco, Miguel Hidalgo, 11560, CDMX. Abre de 10:00 a 17:00 de martes a domingo, tiene costo ($80.00), Lunes cerrado, los domingos la entrada es libre. Puedes llegar por diversos medios de transporte, por ejemplo Estación Auditorio de la línea 7 del Metro. El día de hoy 20 de enero del presente año, estuvo cerrado y hasta nuevo aviso por la situación de altos contagios por COVID-19. VISITA SU PÁGINA DE INTERNET PARA UNA VISITA VIRTUAL. 🙂",museo mexicanos debemos visitar recintos importante país veraz legado arqueológico pueblos mesoamérica etnias país área bosque chapultepec av paseo reforma sn polanco miguel hidalgo cdmx abre martes domingo costo lunes cerrado domingos entrada libre puedes llegar diversos medios transporte estación auditorio línea metro enero presente año cerrado aviso situación altos contagios covid visita página internet visita virtual 
22,Grandiosa experiencia en este maravilloso museo. Espectaculares exhibiciones de la evolución de la especie humana y en especial acá en México.,grandiosa experiencia maravilloso museo espectaculares exhibiciones evolución especie humana especial acá méxico
23,Bellísimo lugar.,bellísimo
24,"Altamente recomendable 👌 uno de los mejores museos de la CDMX, el costo de la entrada es de 85 pesos mexicanos, nota lo atiende los lunes y los domingos es gratis el ingreso.",altamente recomendable  mejores museos cdmx costo entrada pesos mexicanos nota atiende lunes domingos gratis ingreso
25,"Es uno de los museos más importantes del mundo, la arquitectura es impresionante, cuenta con una colección muy completa de arte y objetos históricos.",museos importantes mundo arquitectura impresionante colección completa arte objetos históricos
26,Es un lugar muy hermoso y tranquilo.,hermoso tranquilo
27,Fue inaugurado en 1967. Es uno de los museos en México más importantes. Cada sala es una gran experiencia. En ellas encontrarás usos y costumbres de la supervivencia mexicana. Piezas valiosas: 1) Calendario Azteca; 2) El penacho de Moctezuma 3) Cabeza Olmeca. ¡Toda una experiencia histórica!,inaugurado museos méxico importantes sala experiencia encontrarás usos costumbres supervivencia mexicana piezas valiosas calendario azteca penacho moctezuma cabeza olmeca experiencia histórica
28,Maravilloso Museo con una inmensa colección de esculturas de los antepasados indígenas de las distintas etnias Mexicanas y Mayas así como. pequeñas esculturas que replican la vida del ser humano desde sus origenes,maravilloso museo inmensa colección esculturas antepasados indígenas distintas etnias mexicanas mayas pequeñas esculturas replican vida humano origenes
29,"Impresionante museo. Recorre toda la historia mexicana, desde la prehistoria hasta la época azteca mexica. Imprescindible recorrerlo tranquilamente y reservar al menos un dia para verlo al completo.",impresionante museo recorre historia mexicana prehistoria época azteca mexica imprescindible recorrerlo tranquilamente reservar verlo completo
30,"Mucho que ver, ojalá ampliaran sus horarios, siento que cerrar a las 5 pm es muy temprano. Les recomiendo seleccionar de antemano las culturas que más les interesan ver e ir primero a ellas si no tienen mucho tiempo. Pero no deben irse de Ciudad de México sin visitar esta joya. Te ayuda a entender mucho de la historia de este maravilloso país.",ojalá ampliaran horarios siento cerrar pm recomiendo seleccionar antemano culturas interesan irse ciudad méxico visitar joya ayuda entender historia maravilloso país
31,"Maravilloso museo en Ciudad de México. Si vienes a pasar unos días es algo que no te puedes perder, de los imprescindibles. Te puedes perder en el y bucear por toda la historia de México y sus diferentes culturas. Todas las esculturas wsta muy bien conservadas. Nosotros estuvimos 5h y se nos hizo corto. Es una fantasía de sitio. Si llegamos a estar un par de días más, volveríamos fijo.",maravilloso museo ciudad méxico vienes pasar puedes perder imprescindibles puedes perder bucear historia méxico culturas esculturas wsta conservadas h corto fantasía sitio llegamos par volveríamos fijo
32,"Gran lugar, exposiciones increíbles y muy bien explicadas; el recorrido es muy fluido y largo, así que si planean ver bien todo el museo deben está preparados para estar ahí todo el día o visitarlo en varios días. Es un lugar al que puedes volver muchas veces sin aburrirte",exposiciones increíbles explicadas recorrido fluido planean museo preparados visitarlo puedes volver aburrirte
33,"Hermoso!!! Cobran 80 pp, tienen las medidas de higiene requeridas y si nec sitas información te la dan",hermoso cobran pp medidas higiene requeridas nec sitas información
34,Hermoso museo de la rica cultura prehispánica mexicana. Muy buena organización de las salas y galerías. Para admirar la capacidad artística transmitida en el tiempo en obras de arte únicas. Recomendado en el recorrido por el paseo a Reforma.,hermoso museo rica cultura prehispánica mexicana organización salas galerías admirar capacidad artística transmitida obras arte únicas recomendado recorrido paseo reforma
35,"Para dar el recorrido total a todas las salas se requiere de por lo menos un día. Si cuentas con credencial de estudiante (de institución mexicana), docente o de Inapam la entrada es gratuita. En el podrás encontrar piezas originales y réplicas como el copilli de Moctezuma (sala mexica) y la tumba de Pakal (sala maya).",recorrido salas requiere cuentas credencial estudiante institución mexicana docente inapam entrada gratuita podrás encontrar piezas originales réplicas copilli moctezuma sala mexica tumba pakal sala maya
36,Es uno de los museos más impresionantes que he visitado. El lugar es inmenso y contiene muchísima informacion sobre México y la antropología en general.,museos impresionantes visitado inmenso contiene muchísima informacion méxico antropología
37,IMprexionante!!!...posiblemente el mejor museo de todo America!!!..ir con tiempo para asi poder apreciar todo lo que tiene dentro😍🔝🇲🇽,imprexionanteposiblemente museo americair apreciar dentro
38,"Visita obligada en el DF. Me llevé un muy buen sabor de boca después de esta visita. Lo recomiendo, y yo mismo volveré para apreciar con calma cada una de las piezas que contiene.",visita obligada df llevé sabor boca visita recomiendo volveré apreciar calma piezas contiene
39,"Excelente museo, muy recomendable en cualquier visita a CDMX. Es muy grande y detallado por lo que me llevó cerca de 4 horas y podría haber demandado mas",excelente museo recomendable visita cdmx grande detallado llevó demandado
40,"Museo Nacional de Antropología e Historia, es un lugar que cualquier mexicano debe visitar al menos una vez en la vida.",museo nacional antropología historia mexicano visitar vida
41,Un completo recorrido por la evolución de la especie humana. Muy bien presentado y en locaciones espectaculares. Hay que visitarlo.,completo recorrido evolución especie humana presentado locaciones espectaculares visitarlo
42,"Que bueno que fuí, está muy bien organizada la distribución de las salas. El recorrido es ameno. Y también hay para ver en cada patio, no se pierdan la arquitectura. Muy bello y respetan a full el protocolo de estos tiempos.",fuí organizada distribución salas recorrido ameno patio pierdan arquitectura bello respetan full protocolo tiempos
43,"Lugar increíble, entrada gratuita para niños hasta 13 años, maestros, estudiantes y adultos mayores,  cada sala te llena de datos muy interesantes y las exposiciones etnográficas muy enriquecedoras.",increíble entrada gratuita niños años maestros estudiantes adultos mayores sala llena datos interesantes exposiciones etnográficas enriquecedoras
44,"Uno de los museos más importantes de la capital mexicana y con uno de las colecciones más grandes a nivel mundial de reliquias arqueológicas, con una museografía diseñada de manera muy amigable para los visitantes, nos permite aprender sobre las culturas que vivieron en el pasado ancestral de los muchos territorios que hoy ocupa México",museos importantes capital mexicana colecciones nivel mundial reliquias arqueológicas museografía diseñada amigable visitantes permite aprender culturas vivieron ancestral territorios ocupa méxico
45,Un espectáculo obligatorio de conocer.,espectáculo obligatorio
46,"El Museo Nacional de Antropología es uno de los recintos museográficos más importantes de México y de América. Está concebido para albergar y exhibir el legado arqueológico de los pueblos de Mesoamérica, así como para dar cuenta de la diversidad étnica actual del país.",museo nacional antropología recintos museográficos importantes méxico américa concebido albergar exhibir legado arqueológico pueblos mesoamérica diversidad étnica actual país
47,"Es muy genial, tiene muchísimas cosas que no alcanzas a ver en un día, lo mejor es que el domingo es GRATIS, lo más gracioso fue que en uno pasamanos estaba escrito ""No sé Enamoren""",genial muchísimas alcanzas domingo gratis gracioso pasamanos escrito enamoren
48,Un grandioso lugar para aprender sobre historia y cultura de México. Hay que ir con tiempo para entrar a todas las salas.,grandioso aprender historia cultura méxico entrar salas
49,"Un museo impresionante para aprender sobre historia, antropología, biología e incluso hay exposiciones de culturas prehispánicas. Definitivamente no está hecho para ser recorrido en un solo día sino en dos o hasta tres si te gusta irte despacio y quieres meterte a fondo en el tema.",museo impresionante aprender historia antropología biología exposiciones culturas prehispánicas definitivamente recorrido gusta irte quieres meterte fondo tema
50,"Nunca terminare de admirar la magnificencia de nuestros antepasados, culturas ancestrales que se fueron perdiendo pero nos dejaron un legado que aun persiste en nuestros dias, es lo que nos muestra este extraordinario lugar, hay que visitarlo seguido para  no olvidar nuestros origenes.",terminare admirar magnificencia antepasados culturas ancestrales perdiendo dejaron legado persiste muestra extraordinario visitarlo seguido olvidar origenes
51,Es inmenso y abrumador...,inmenso abrumador
52,"Museo de obligada visita si estás en CDMX. Exposiciones permanentes sobre las principales culturas que han pisado el país, todas las piezas de artesanía, miniaturas y maquetas son exquisitas. No pueden irse de la ciudad si haberlo visitado...",museo obligada visita cdmx exposiciones permanentes principales culturas pisado país piezas artesanía miniaturas maquetas exquisitas irse ciudad haberlo visitado
53,"Me gusta mucho este museo, la forma en la que está distribuido. Ahora después de la pandemia están algunas salas en remodelacion pero aun así sigue siendo un museo muy hermoso, debe ser visita obligada cuando estás estás CDMX",gusta museo forma distribuido pandemia salas remodelacion museo hermoso visita obligada cdmx
54,Parada obligada si es que vienes de turista a CDMX.,parada obligada vienes turista cdmx
55,"Genial la experiencia, muy bien organizado, toma tiempo recorrerlo a cabalidad, tal vez de tres a cuatro días.",genial experiencia organizado toma recorrerlo cabalidad
56,Es necesario destinar al menos 5 horas para ver todas sus salas y leer con atención.,necesario destinar salas leer atención
57,"Lugar muy bonito, lleno de nuestra historia y cultura. Es obligatorio visitarlo de menos una vez.",bonito lleno historia cultura obligatorio visitarlo
58,"Quedé fascinada con lo grande e interesante que es, me faltó tiempo para recorrerlo por completo, entrada libre después de las 4 pero definitivamente tengo que volver para poder visitar todas las salas",quedé fascinada grande interesante faltó recorrerlo completo entrada libre definitivamente volver visitar salas
59,"Es un museo enorme, muy completo, tiene representaciones gráficas muy reales. Buenas medidas por covid, entrada accesible (80 pesos). Hay visitas guiadas y/o cada quien por su cuenta.",museo enorme completo representaciones gráficas reales medidas covid entrada accesible pesos visitas guiadas
60,Siempre es muy grato e interesante conocer la historia de nuestro país a través de diferentes culturas y sus costumbres,grato interesante historia país culturas costumbres
61,"Espectacular, visita obligada en CDMX, un recorrido visual educativo y muy completo por la historia de México y su rica cultura",espectacular visita obligada cdmx recorrido visual educativo completo historia méxico rica cultura
62,"Hermoso Museo, con mucha historia. Recomiendo ir temprano para recorrer todo tranquilo.",hermoso museo historia recomiendo recorrer tranquilo
63,PIEZAS UNICAS..,piezas unicas
64,"Este museo es una maravillosa obra de arte en si mismo y es muy completo, es inmenso, se necesita paciencia para recorrer sus salones repletos de historias y personajes. Este es uno de los 10 mejores museo de el mundo y el más barato de visitar.",museo maravillosa obra arte completo inmenso necesita paciencia recorrer salones repletos historias personajes mejores museo mundo barato visitar
65,"Hermoso e interesante, cada escenario es tan real en sus primeras salas.",hermoso interesante escenario real primeras salas
66,"Excelente lugar para conocer más acerca de la historia de México, hay muchas cosas que ver. Me gustaría que más descripciones de las exposiciones estuvieran traducidas al Inglés.",excelente acerca historia méxico gustaría descripciones exposiciones traducidas inglés
67,De mis museos favoritos! La entrada es gratis para estudiantes mexicanos. Hay muchísimo qué ver entonces hay que ir dispuesto a pasar un buen tiempo ahí. Los textos están en español y traducidos al inglés para el entendimiento de extranjeros.,museos favoritos entrada gratis estudiantes mexicanos muchísimo dispuesto pasar textos español traducidos inglés entendimiento extranjeros
68,"Gran lugar, varias salas. Ve con tiempo, cierran a las 5 pm. Costo $85. Domingos libre. La tienda de regalos muy pequeña y con algunas cosas interesantes.",salas ve cierran pm costo domingos libre tienda regalos pequeña interesantes
69,Un museo único. Espectacular. Donde la mexicaneidad nace y renace.,museo único espectacular mexicaneidad nace renace
70,Gran cantidad de piezas hermosas. Una experiencia espectacular me tome 3 horas en realizar el recorrido.,cantidad piezas hermosas experiencia espectacular tome recorrido
71,"La exposición actual de ""La grandeza de México"" está fabulosa. Se pueden apreciar piezas únicas que se tienen que regresar algunas al extranjero",exposición actual grandeza méxico fabulosa apreciar piezas únicas regresar extranjero
72,"El mejor lugar para conocer la historia y diferentes culturas Mexicanas en toda su extensión. Gran calidad de la muestra, lugar obligado para visitar en CDMX, bella arquitectura y amplias salas con rica colección. De mis lugares favoritos!",historia culturas mexicanas extensión calidad muestra obligado visitar cdmx bella arquitectura amplias salas rica colección lugares favoritos
73,Increíble!!! Costos accesibles con credencial de estudiante no pagas. Muy agradable te la  pasas.,increíble costos accesibles credencial estudiante pagas agradable pasas
74,"El museo de antropología para mí es uno de los mejores museos del mundo, si te gusta la historia azteca maya es algo que no puedes dejar pasar, cuesta 80 pesos, pero merece mucho la pena, recomiendo hacerla con guis, pues sino vas un poco a lo locoooo, a no se que seas muy friki y te lo sepas todo de memoria que eso también está bien.",museo antropología mejores museos mundo gusta historia azteca maya puedes dejar pasar cuesta pesos merece pena recomiendo hacerla guis vas locoooo friki sepas memoria
75,"En diciembre de 2021 se inauguró la exposición la Grandeza De México, que resume en pocas piezas el deslumbrante nacionalismo.",diciembre inauguró exposición grandeza méxico resume piezas deslumbrante nacionalismo
76,Espectacular tanto en lo edilicio como en la colección de piezas que allí exhiben. Alberga una de las recopilaciones más completas de arte preincaico que he visto.,espectacular edilicio colección piezas exhiben alberga recopilaciones completas arte preincaico visto
77,Un museo maravilloso que permite dar un vistazo a la riqueza de este gran país!,museo maravilloso permite vistazo riqueza país
78,"Uno de los puntos obligados para conocer y visitar mil veces en la Ciudad de México. Puedes pasar todo el día aquí adentro y aún así no llegarás a verlo todo. Es muchísima información, miles de años de historia y cultura de la humanidad.",puntos obligados visitar mil ciudad méxico puedes pasar adentro llegarás verlo muchísima información miles años historia cultura humanidad
79,"Es uno de los museos más hermosos de la CDMX, puedes disfrutarlo desde la entrada admirando el diseño del edificio y la hermosa fuente del ""paraguas"" ;las diferentes salas tratan desde el poblamiento de América y las diferentes culturas del Sur , centro y Norte de México en los periodos del preclàsico, clasico y postclàsico. Vale la pena destacar las salas de Teotihuacàn y Los Mayas.",museos hermosos cdmx puedes disfrutarlo entrada admirando diseño edificio hermosa fuente paraguas salas tratan poblamiento américa culturas sur centro norte méxico periodos preclàsico clasico postclàsico vale pena destacar salas teotihuacàn mayas
80,"Lindo museo. Tiene mucho de la historia de México claramente. La entrada NO ES GRATUITA. Queda en el barrio de Polanco, barrio muy lindo dentro de Ciudad de México. Y el museo es muy muy grande.",lindo museo historia méxico claramente entrada gratuita queda barrio polanco barrio lindo ciudad méxico museo grande
81,"Me pareció un recinto bastante agradable, aunque desconozco muchos otros museos por lo que no se si muchos sean así.",pareció recinto agradable desconozco museos
82,"Excelente lugar, instalaciónes increíbles, excelente atención del personal, tiene áreas al aire libre, Ya había asistido de joven durante la secundaria y ahora con mi familia y volví a disfrutar de nuevo como si fuera la 1a vez.",excelente instalaciónes increíbles excelente atención personal áreas aire libre asistido joven secundaria familia volví disfrutar
83,"Excelente museo para locales y extranjeros, muestra un poco de los vestigios importantes de las culturas pasadas de este país, arquitectura impresionante y las recreaciones de los centros ceremoniales valen la penas para transportarse como si se estuviese en otro lugar",excelente museo locales extranjeros muestra vestigios importantes culturas pasadas país arquitectura impresionante recreaciones centros ceremoniales valen penas transportarse
84,"Este lugar es increíble,  si van a visitar este lugar lleven calzado cómodo.",increíble visitar lleven calzado cómodo
85,"Uno de los mejores museos del mundo. Sin duda. Es muy grande, así que es recomendable ir al menos 3 días. De lo contrario, si no se dispone de tanto tiempo, es recomendable visitar las zonas Maya, Azteca, Oaxaqueña y Zapoteca.",mejores museos mundo duda grande recomendable contrario dispone recomendable visitar zonas maya azteca oaxaqueña zapoteca
86,"El mejor museo de la Ciudad de México, si te interesa la historia de los pueblos mesoamericanos, si eres extranjero te convendría ir con un guía ya que hay muy poca información en inglés",museo ciudad méxico interesa historia pueblos mesoamericanos extranjero convendría guía información inglés
87,Uno de los mejores y más icónicos museos de todo México. Si eres turista es una visita obligada que te ayudará a entender mejor la historia del hombre y también la historia de nuestro país. Es súper interesante y las exposiciones permanente como las temporales son extraordinarias. Es recomendable contratar a un guía para que te explique todas las dudas. En mi opinión este museo sería comparable con el museo del Cairo dónde expone la historia del país y de las civilizaciones antiguas aún detalle increíble. Me encanta visitar el museo y lo seguiré haciendo muchas veces. Es muy enriquecedor.,mejores icónicos museos méxico turista visita obligada ayudará entender historia hombre historia país súper interesante exposiciones permanente temporales extraordinarias recomendable contratar guía explique dudas opinión museo comparable museo cairo expone historia país civilizaciones antiguas detalle increíble encanta visitar museo seguiré enriquecedor
88,"Para Mi lo mejor de Mexico 🇲🇽 este museo, impresionante las colecciones que atesora. Lo recomiendo.",mexico  museo impresionante colecciones atesora recomiendo
89,Lugar que no se puede omitir en una visita a CDMX. Hay que sacar algunas horas para sacarle el mayor provecho.,omitir visita cdmx sacar sacarle provecho
90,"muy lindo el lugar preciosa la arquitectura y las piezas que exhiben impresionantes ,muy buena experiencia la verdad la gente es muy amable y aprendes demasiado",lindo preciosa arquitectura piezas exhiben impresionantes experiencia gente amable aprendes
91,"Cobran 80 pesos, los cajeros son groseros. Los domingos ya no abren, que por pandemia y pues como no se cobra no les conviene. De hecho los días domingo que era gratis no funcionaba la cascada, solo los días que si se cobraba.",cobran pesos cajeros groseros domingos abren pandemia cobra conviene domingo gratis funcionaba cascada cobraba
92,"Impresionante lugar! 🏛con una larga historia, es uno de los lugares que no puede faltar en tu visita a México! No te preocupes si ya estás cansado hay sillas de ruedas porque si piensas en recorrerlo y verlo todo si no tienes algún problema para caminar excelente, de lo contrario es mejor obtener una 💺  solo vimos la mitad ya estábamos cansados y con mucha hambre. Quedó pendiente para el próximo viaje!✈️👍",impresionante con larga historia lugares faltar visita méxico preocupes cansado sillas ruedas piensas recorrerlo verlo problema caminar excelente contrario obtener  vimos mitad cansados hambre pendiente viaje
93,Definitivamente uno de los mejores museos que he visitado!!,definitivamente mejores museos visitado
94,"Éste museo vale mucho la pena y más si eres un fanático de la historia y nuestra evolución, quedé encantada y un día no es suficiente para recorrer todo el museo.",museo vale pena fanático historia evolución quedé encantada suficiente recorrer museo
95,"Estuvo muy divertido e interesante. Tengan cuidado con unos tipos en la entrada, te ofrecen ofertas y te engañan. El restaurante estuvo muy bueno, pero es un poco caro. Una comida para 4 personas puede costar fácilmente más de 1,000 pesos MXN. Es una experiencia bonita y acogedora.",divertido interesante cuidado tipos entrada ofrecen ofertas engañan restaurante caro comida personas costar fácilmente pesos mxn experiencia bonita acogedora
96,"Buen lugar para visitar en familia y entender mejor nuestras raíces, vale la pena llegar temprano para recorrerlo con calma...",visitar familia entender raíces vale pena llegar recorrerlo calma
97,"Impresionante, es gigantesco y se podría apreciar mejor si se visita en dos días.",impresionante gigantesco apreciar visita
98,"Definitivamente UN Lugar para recorrer, vale la pena no tener afán.",definitivamente recorrer vale pena afán
99,Excelente sitio para revivir el pasado. Muy recomendado!,excelente sitio revivir recomendado
100,Exelente museo muy impresionante justo como lo recordaba un enorme placer pasar tiempo en un museo cómo está,exelente museo impresionante justo recordaba enorme placer pasar museo
101,"Uno de mis museos favoritos, si o si te llevas una experiencia bastante agradable y sobre todo muy interesante, muy estrictos con los lineamientos de sanidad de covid19 pero es totalmente recomendable ir a visitarlo.",museos favoritos llevas experiencia agradable interesante estrictos lineamientos sanidad covid totalmente recomendable visitarlo
102,"Está hermoso, lleno de cultura, las raíces de nuestro México,  es muy grande, terminas agotado pero vale la pena visitarlo",hermoso lleno cultura raíces méxico grande terminas agotado vale pena visitarlo
103,Para conocer las diferentes culturas. Si el recorrido está cansado. Necesitan irse temprano si su plan es ver todo.,culturas recorrido cansado necesitan irse plan
104,"Muy agradable y limpio, toda una experiencia para compartir con la familia,  mucha información buena.",agradable limpio experiencia compartir familia información
105,Hermoso lugar fuimos un domingo pero tuvimos que abonar en el zoo. Los domingos es gratis para turistas 😎👍,hermoso domingo abonar zoo domingos gratis turistas 
106,"Increíble ....un lugar muy especial , toda la historia recopilada en sus salas , todo es original y la Piedra del Sol ....que pieza tan increíble ...una maravilla...",increíble especial historia recopilada salas original piedra sol pieza increíble maravilla
107,"Muy recomendable ir con tiempo, a mí me tomo 3 horas la visita. Si llegas a las 10 puedes entrar más rápido ya después se llena.",recomendable tomo visita llegas puedes entrar rápido llena
108,"Si les gusta conocer sobre las culturas en nuestro país, y pasar una tarde agradable se los super recomiendo",gusta culturas país pasar agradable super recomiendo
109,"Interesantísimo, un museo de lo mejor, se cobra creo 80 pesos, pero si eres estudiante o profe no pagas! Y la verdad es un excelente lugar para visitar a quienes disfrutamos de cultura y civilizaciónes antiguas 👍",interesantísimo museo cobra pesos estudiante profe pagas excelente visitar disfrutamos cultura civilizaciónes antiguas 
110,"No soy fan de los museos pero estoy muy feliz de haber ido. La entrada fue solo 80 pesos mexicanos y pasé alrededor de 4 horas de las cuales no me aburrí jamás, toda la exhibición es muy interesante y yo muy bien preservado.",fan museos feliz ido entrada pesos mexicanos pasé aburrí jamás exhibición interesante preservado
111,Es uno de los lugares que no puedes dejar de visitar si vienes a Ciudad de México,lugares puedes dejar visitar vienes ciudad méxico
