,Nombre,Temática,Adscripción,Página web,Entidad,Municipio,Puntaje,Cantidad de comentarios
12,Museo de Sitio del Teatro Morelos,,Instituto Cultural de Aguascalientes (ICA),,Aguascalientes,Aguascalientes,4.7,886
13,Museo Nacional de los Pueblos Mágicos,,Ayuntamiento de Calvillo/Secretaría de Turismo,,Aguascalientes,Calvillo,NaN,0
14,Museo Comunitario del Deporte e Historia,Especializado," Asociación Civil de Pabellonences, A.C.",,Aguascalientes,Pabellón de Arteaga,NaN,0
15,Museo de la Insurgencia,Historia,Instituto Cultural de Aguascalientes (ICA)/Dirección de Promoción y Difusión,,Aguascalientes,Rincón de Romos,4.6,520
16,Museo de la Vid y el Vino,Especializado,"Patronato del Museo de la Vid y el Vino de Baja California, A.C.",,Baja California,Ensenada,4.5,2598
17,Caracol Museo de Ciencias ,Ciencia y tecnología,"Caracol Centro Científico y Cultural, A.C.",http://www.caracol.org.mx/,Baja California,Ensenada,4.2,1080
18,Museo de Historia de Ensenada,Arqueología,"Centro Social Cívico y Cultural Riviera, A.C.",http://museoens.com/,Baja California,Ensenada,NaN,0
19,"Museo Histórico Regional de Ensenada, Ex Cuartel de la Compañía Fija",Historia,Secretaría de Cultura/INAH,http://www.inah.gob.mx/red-de-museos/194-museo-historico-regional-ex-cuartel-de-la-compania-fija,Baja California,Ensenada,4.5,165
20,Museo Comunitario Ruso,Antropología,,,Baja California,Ensenada,4.5,144
21,Museo del Estero,Antropología,"Fundación Estero Beach, A.C.",,Baja California,Ensenada,NaN,0
22,Museo Katsuo,Ciencia y tecnología,Facultad de Ciencias Marinas de la Universidad Autónoma de Baja California,,Baja California,Ensenada,NaN,0
23,Museo de la Misión de Nuestra Señora de Guadalupe,Historia,Secretaría de Cultura/INAH,https://lugares.inah.gob.mx/es/museos-inah/museo/17794-museo-de-nuestra-se%C3%B1ora-de-guadalupe-del-norte.html,Baja California,Ensenada,NaN,0
24,"Museo Comunitario Altagracia A. de Arauz, San Vicente Ferrer",Antropología,Ayuntamiento de San Vicente,,Baja California,Ensenada,4.7,3
25,Museo Ku'ahl,,,https://piedepagina.mx/el-color-de-la-pobreza/yumanos/una-historia-inesperada-el-museo-ku-ahl.php,Baja California,Ensenada,NaN,0
26,Museo Comunitario El Rosario,Historia,,http://elrosariobc.blogspot.mx/2007/12/museo-comunitario-el-rosario.html,Baja California,Ensenada,NaN,0
27,Museo Sol del Niño,Ciencia y tecnología,"Patronato Museo Sol del Niño, A.C.",https://sol.org.mx/visitaMuseo,Baja California,Mexicali,4.5,1856
28,Centro  de Investigaciones Culturales Museo,Antropología,Universidad Autónoma de Baja California,http://iic-museo.uabc.mx/,Baja California,Mexicali,NaN,0
29,Museo Regional Los Pioneros de Mexicali,Historia,Particular,,Baja California,Mexicali,4.9,13
30,Museo Comunitario El Asalto a las Tierras,Historia,Ayuntamiento de Mexicali,,Baja California,Mexicali,4.7,44
31,Museo Comunitario  Cucaphá Juan García Aldama ,Antropología,,,Baja California,Mexicali,NaN,0
32,Museo Comunitario Tecate,Historia,Ayuntamiento de Tecate/Centro Cultural Tecate (CECUTEC),https://www.carem.org/,Baja California,Tecate,4.4,437
33,Museo de Sitio Campo Alaska,Historia,Centro INAH de Baja California,,Baja California,Tecate,4.5,228
34,Museo de Sitio de la Zona Arqueológica El Vallecito,,Secretaría de Cultura/INAH,https://www.inah.gob.mx/zonas/58-zona-arqueologica-el-vallecito,Baja California,Tecate,NaN,0
35,Museo de las Californias,Historia,Secretaría de Cultura/Centro Cultural Tijuana (CECUT),http://www.cecut.gob.mx/micrositio/museo/museo.html,Baja California,Tijuana,4.6,410
36,Museo de la Lucha Libre Mexicana,Especializado,Museo de la Siete A.C.,https://www.mullme.com/,Baja California,Tijuana,5.0,144
37,Museo de Historia de Tijuana,Historia,Instituto Municipal de Arte y Cultura de Tijuana (IMAC),http://www.imac.tijuanagob.mx/museo.aspx,Baja California,Tijuana,4.5,251
38,Museo de Cera de Tijuana,Especializado,"Museo de Cera de Tijuana, S.A. de C.V.",https://museodeceratijuana.com/,Baja California,Tijuana,4.2,1712
39,Museo Interactivo Tijuana El Trompo,Ciencia y tecnología,"Museo Interactivo Tijuana, A.C.",http://www.eltrompo.org,Baja California,Tijuana,4.5,4170
40,Museo de sitio Wa-Kuatay,Historia,Secretaría de Cultura/INAH,,Baja California,Playas de Rosarito,NaN,0
41,Museo Comunitario de Mulegé,Arqueología,Delegación Municipal de Pueblo Mulegé/Comité Pro Museo Comunitario de Mulegé,,Baja California Sur,Mulegé,4.4,98
42,Museo de Historia de la Minería ,Ciencia y tecnología,Ayuntamiento de Mulegé,,Baja California Sur,Mulegé,NaN,0
43,Museo de las Pinturas Rupestres de San Ignacio,Arqueología,Secretaría de Cultura/INAH,http://www.inah.gob.mx/es/red-de-museos/196-museo-de-las-pinturas-rupestres-de-san-ignacio,Baja California Sur,Mulegé,4.6,8
44,Museo de Arte de Baja California Sur,,Gobierno del Estado,https://www.muabcs.com/,Baja California Sur,La Paz,4.8,372
45,Museo Regional de Antropología e Historia de Baja California Sur,Arqueología,Secretaría de Cultura/INAH,http://www.inah.gob.mx/es/red-de-museos/197-museo-regional-de-baja-california-sur,Baja California Sur,La Paz,4.6,806
46,Museo de Historia Regional de Todos Santos,Historia,Centro Cultural Profr. Néstor Agúndez Martínez/Ayuntamiento de La Paz,,Baja California Sur,La Paz,NaN,0
47,Centro Regional Interpretativo Ruta de Plata,,Secretaría de Turismo del Estado de Baja Califonria Sur,https://www.museorutadeplata.com/bienvenidos,Baja California Sur,La Paz,4.7,70
48,Museo de sitio de la Zona Arqueológica de Sierra San Francisco,,Secretaría de Cultura/INAH,https://www.inah.gob.mx/zonas/59-zona-arqueologica-de-la-sierra-de-san-francisco,Baja California Sur,La Paz,NaN,0
49,Museo de Historia Natural de Cabo San Lucas,Ciencia y tecnología,Ayuntamiento de Los Cabos,,Baja California Sur,Los Cabos,4.2,339
50,Museo de las Misiones Jesuitas en Baja California,Historia,Secretaría de Cultura/INAH,http://www.inah.gob.mx/red-de-museos/198-museo-de-las-misiones-de-baja-california,Baja California Sur,Loreto,4.5,82
51,Museo API a Pedro Infante,Historia,Gobierno del Estado de Campeche/Administración Portuaria Integral,http://educacionculturaydeporte.calkini.gob.mx/coordinaciones/turismo/isla-arena/,Campeche,Calkiní,4.5,162
52,Museo comunitario de Bécal,,,http://www.museodebecal.com,Campeche,Calkiní,4.7,320
53,Museo  El Palacio,Historia,Centro Cultural El Palacio/Secretaría de Cultura de Campeche,,Campeche,Campeche,4.6,159
54,Museo de Arqueología Subacuática Fuerte de San José El Alto,,Secretaría de Cultura/INAH,http://www.inah.gob.mx/es/red-de-museos/6885-museo-de-arqueologia-subacuatica-fuerte-de-san-jose-el-alto,Campeche,Campeche,4.7,2045
55,"Museo de la Ciudad, Baluarte de San Carlos",Historia,Ayuntamiento de Campeche,,Campeche,Campeche,4.6,633
56,Museo Baluarte de Santa Rosa,Arte,Ayuntamiento de Campeche/Dirección de Cultura/Coordinación de Patrimonio,,Campeche,Campeche,4.6,193
57,Casa de la Tecnología de Campeche DGETI SECUD,Ciencia y tecnología,"Secretaría de Educación, Cultura y Deporte de Campeche",,Campeche,Campeche,1.0,0
58,Museo Universitario de la Vida ,Ciencia y tecnología,Universidad Autónoma de Campeche,https://muvi.uacam.mx/,Campeche,Campeche,4.7,26
59,Museo de Arquitectura Maya Baluarte de Nuestra Señora de la Soledad,Arqueología,Secretaría de Cultura/INAH,https://www.inah.gob.mx/red-de-museos/199-museo-de-arquitectura-maya-baluarte-de-la-soledad,Campeche,Campeche,4.6,485
60,Museo de Arte Sacro (Capilla de Jesús de Nazareno),Arte,Catedral de Nuestra Señora de la Purísima Concepción,,Campeche,Campeche,NaN,0
61,Museo de Arqueología Maya. Fuerte de San Miguel,Arqueología,Secretaría de Cultura/INAH,http://www.inah.gob.mx/es/red-de-museos/202-museo-arqueologico-de-campeche-fuerte-de-san-miguel,Campeche,Campeche,4.6,3513
62,Museo de sitio de la Zona Arqueológica de Edzná,,Secretaría de Cultura/INAH,http://www.inah.gob.mx/zonas/65-zona-arqueologica-edzna,Campeche,Campeche,4.8,1826
63,Museo del Archivo General del Estado de Campeche,,Secretaría de Gobierno de Campeche,http://agec.campeche.gob.mx/index.php/segob-campeche,Campeche,Campeche,4.8,5
64,Museo Victoriano Nieves Céspedes ,Arqueología,Ayuntamiento de Cd. del Carmen,https://inba.gob.mx/recinto/639,Campeche,Carmen,4.3,429
65,Guanal Museo Universitario de Ciencias y Artes,,Universidad Autónoma del Carmen/Secretaría de Cultura de Campeche,,Campeche,Carmen,4.5,77
66,Museo de Arqueología Maya del Camino Real de Hecelchakán MAH,Arqueología,Secretaría de Cultura/INAH,,Campeche,Hecelchakán,4.5,58
67,Museo de la Ciudad,,Ayuntamiento de Palizada,,Campeche,Palizada,NaN,0
68,Museo José Ángel Villarreal,Historia,Ayuntamiento de Acuña,,Coahuila de Zaragoza,Acuña,NaN,0
69,Museo Cultural de Arteaga,Historia,Ayuntamiento de Arteaga/Centro Cultural Coronel Lucio Dávila Rumayor,,Coahuila de Zaragoza,Arteaga,NaN,0
70,Museo de las Momias de San Antonio de las Alazanas,Antropología,Secretaría de Cultura de Coahuila,,Coahuila de Zaragoza,Arteaga,4.6,733
71,Museo Ejido San Juan de Boquillas,Temática no determinada,,,Coahuila de Zaragoza,Cuatro Ciénegas,NaN,0
72,Museo Casa Venustiano Carranza,Historia,Secretaría de Cultura de Coahuila,,Coahuila de Zaragoza,Cuatro Ciénegas,4.7,696
73,Museo de la Casa de la Cultura de Cuatro Ciénegas,,"Casa de la Cultura Cuatro Ciénegas, A.C.",https://www.facebook.com/casadelacultura.cuatrocienegas,Coahuila de Zaragoza,Cuatro Ciénegas,NaN,0
74,Museo Comunitario Casa de la Cultura,Arqueología,Municipio de Francisco I. Madero,,Coahuila de Zaragoza,Francisco I. Madero,NaN,0
75,Museo Comunitario de la Casa de la Cultura de Francisco I. Madero,Arqueología,Ayuntamiento de Francisco I. Madero,,Coahuila de Zaragoza,Francisco I. Madero,4.3,72
76,Museo de Historia Atlahuaco,Historia,Particular,,Coahuila de Zaragoza,General Cepeda,NaN,0
77,Museo Paleontológico ,Ciencia y tecnología,Ayuntamiento de Rincón Colorado,,Coahuila de Zaragoza,General Cepeda,NaN,0
78,Museo Emilio Indio Fernández,Historia,Ayuntamiento de Juárez,,Coahuila de Zaragoza,Juárez,NaN,0
79,Museo Juarista,Historia,Secretaría de Educación Pública del Estado de Coahuila,,Coahuila de Zaragoza,Matamoros,NaN,0
80,Museo  Municipal  Gral. Jesús González Herrera,Arqueología,Ayuntamiento de Matamoros,,Coahuila de Zaragoza,Matamoros,4.0,0
81,Museo Biblioteca Harold R. Pape,Arte,"Campo San Antonio Fundación Pape, A.C.",http://www.bibliotecapape.org/,Coahuila de Zaragoza,Monclova,4.8,25
82,Museo Coahuila y Texas,Historia,Secretaría de Cultura de Coahuila/Ayuntamiento de Monclova,,Coahuila de Zaragoza,Monclova,4.4,666
83,Museo El Polvorín,Historia,Ayuntamiento de Monclova,,Coahuila de Zaragoza,Monclova,4.6,150
84,Museo Quinta Julio Galán Romo ,Arte,"Amigos de la Cultura de Múzquiz, A.C.",,Coahuila de Zaragoza,Múzquiz,4.5,198
85,Museo Histórico de Múzquiz,Historia,Ayuntamiento de Múzquiz,,Coahuila de Zaragoza,Múzquiz,4.4,113
86,Museo de Paleontología de Múzquiz,Ciencia y tecnología,,,Coahuila de Zaragoza,Múzquiz,4.5,277
87,Museo Cultural de Nadadores Dr. Américo de la Cruz,,Sistema Estatal de Museos de Coahuila                                                                      ,https://www.facebook.com/museoculturaldenadadores/,Coahuila de Zaragoza,Nadadores,4.5,19
88,Museo de Ocampo,Historia,Municipio de Ocampo,,Coahuila de Zaragoza,Ocampo,NaN,0
89,Museo del Centro Cultural Nancy Cárdenas,,Secretaría de Cultura del Estado de Coahuila,https://coahuila.gob.mx/#,Coahuila de Zaragoza,Parras,4.4,17
90,Museo del Vino. Casa Madero,Especializado,"Casa Madero, S.A. de C.V.",,Coahuila de Zaragoza,Parras,NaN,0
91,Museo de la Frontera Norte,Historia,Ayuntamiento de Piedras Negras,,Coahuila de Zaragoza,Piedras Negras,4.6,100
92,Museo del Niño El Chapulín,Temática no determinada,Gobierno Municipal,,Coahuila de Zaragoza,Piedras Negras,3.2,6
93,Museo de Francisco Villa,Historia,Secretaría de Cultura de Coahuila,,Coahuila de Zaragoza,Sabinas,4.6,32
94,Museo de los Presidentes Coahuilenses ,Historia,Gobierno del Estado de Coahuila,http://www.museopresidentes.mx,Coahuila de Zaragoza,Saltillo,4.6,129
95,Museo de Catón,Historia,Particular,,Coahuila de Zaragoza,Saltillo,NaN,0
96,Museo de la Katrina,Arte,"Complejo Museográfico Cultura y Tradiciones en Movimiento/Amigos del Museo de las Catrinas, A.C.",,Coahuila de Zaragoza,Saltillo,4.5,923
97,Museo del Desierto,Ciencia y tecnología,"Amigos del Desierto de Coahuila, A.C.",http://www.museodeldesierto.org,Coahuila de Zaragoza,Saltillo,4.8,14594
98,Museo del Sarape y Trajes Mexicanos,Arte,Secretaría de Cultura de Coahuila,,Coahuila de Zaragoza,Saltillo,4.6,421
99,Museo de las Aves de México,Ciencia y tecnología,,https://musave.org/,Coahuila de Zaragoza,Saltillo,4.7,3473
100,Museo de la  Batalla de la Angostura,Historia,"Patronato del Museo Batalla de la Angostura, A.C.",,Coahuila de Zaragoza,Saltillo,4.4,33
101,Salas Carranza,,Secretaría de Cultura de Coahuila,,Coahuila de Zaragoza,Saltillo,4.4,20
102,Recinto del Patrimonio Cultural Universitario,Arte,Universidad Autónoma de Coahuila,http://www.recintodelpatrimonioculturaluniversitario.uadec.mx/,Coahuila de Zaragoza,Saltillo,4.6,83
103,Museo de la Muñeca ,Especializado,"Complejo Museográfico Cultura y Tradiciones en Movimiento, A.C.",,Coahuila de Zaragoza,Saltillo,4.3,63
104,Museo del Normalismo,Historia,Secretaría de Cultura de Coahuila,,Coahuila de Zaragoza,Saltillo,4.3,75
105,Museo de Artes Gráficas (MAG),Arte,Secretaría de Cultura de Coahuila,,Coahuila de Zaragoza,Saltillo,4.6,182
106,Museo de la Revolución Mexicana,Historia,Secretaría de Cultura de Coahuila,,Coahuila de Zaragoza,Saltillo,4.6,609
107,Museo de la Cultura Taurina,Especializado,Secretaría de Cultura de Coahuila,,Coahuila de Zaragoza,Saltillo,4.4,424
108,Museo del Palacio,Historia,Secretaría de Cultura de Coahuila,,Coahuila de Zaragoza,Saltillo,NaN,0
109,Sala Museográfica de las Leyendas ,Arte,"Complejo Museográfico Cultura y Tradiciones en Movimiento, A.C.",,Coahuila de Zaragoza,Saltillo,NaN,0
110,Museo Madero Espiritista,Temática no determinada,"Complejo Museográfico Cultura y Tradiciones en Movimiento, A.C.",,Coahuila de Zaragoza,Saltillo,NaN,0
111,Sala Museográfica del Recinto de Juárez,Historia,Secretaría de Educación del Estado de Coahuila,,Coahuila de Zaragoza,Saltillo,4.6,29
112,Sala de Arqueología Profr. Carlos Cárdenas Villarreal,Arqueología,Benemérita Escuela Normal de Coahuila,http://www.benc.sepc.edu.mx/museos/index_museos_benc.html,Coahuila de Zaragoza,Saltillo,NaN,0
113,Museo de Historia Natural Profr. Rafael Bernardo Narro Rodriguez ,Ciencia y tecnología,Universidad Autónoma de Coahuila/Ateneo Fuente,,Coahuila de Zaragoza,Saltillo,NaN,0
114,Museo Rubén Herrera,Arte,Gobierno Municipal de Saltillo,,Coahuila de Zaragoza,Saltillo,4.6,53
115,Pinacoteca  Artemio de Valle Arizpe,Arte,Universidad Autónoma de Coahuila/Ateneo Fuente,,Coahuila de Zaragoza,Saltillo,NaN,0
116,Sala de Arte Colonial Artemio del Valle Arizpe ,Arte,Universidad Autónoma de Coahuila/Escuela de Bachilleres Ateneo Fuente,,Coahuila de Zaragoza,Saltillo,NaN,0
117,Museo de Paleontología de la Benemérita Escuela Normal de Coahuila,Ciencia y tecnología,Gobierno del Estado de Coahuila/Sistema Estatal de Información Educativa,http://www.benc.sepc.edu.mx/museos/index_museos_benc.html,Coahuila de Zaragoza,Saltillo,NaN,0
118,Museo Madero. Centenario de la Revolución,Historia,Secretaría de Cultura de Coahuila,https://www.coahuilacultura.gob.mx/,Coahuila de Zaragoza,San Pedro,4.6,609
119,Planetarium Torreón,Ciencia y tecnología,"Planetario Torreón, A.C.",http://www.planetariumtorreon.com,Coahuila de Zaragoza,Torreón,4.7,70
120,Museo de la Revolución de Torreón,Historia,Secretaría de Cultura de Coahuila,,Coahuila de Zaragoza,Torreón,NaN,0
121,Museo de los Metales,Ciencia y tecnología,Grupo Industrial Peñoles,,Coahuila de Zaragoza,Torreón,4.7,751
122,Museo de los Metales,,,https://museodelosmetales.wordpress.com/,Coahuila de Zaragoza,Torreón,4.7,751
123,Museo de la Moneda,Historia,Ayuntamiento de Torreón,,Coahuila de Zaragoza,Torreón,4.5,178
124,Museo del Ferrocarril,Historia,Ayuntamiento de Torreón,,Coahuila de Zaragoza,Torreón,4.5,792
125,Museo del Algodón,Ciencia y tecnología,Ayuntamiento de Torreón,,Coahuila de Zaragoza,Torreón,4.5,316
126,Museo Regional de la Laguna,Arqueología,Secretaría de Cultura/INAH,http://www.inah.gob.mx/es/red-de-museos/244-museo-regional-de-la-laguna,Coahuila de Zaragoza,Torreón,4.5,413
127,Museo Arocena,Arte,"Centro Cultural Arocena Laguna, A.C.",http://www.museoarocena.com/,Coahuila de Zaragoza,Torreón,4.7,2052
128,Museo Histórico de la Ciudad. Casa del Cerro,Historia,Ayuntamiento de Torreón,,Coahuila de Zaragoza,Torreón,4.6,851
129,Museo Paleontológico de la Laguna,Ciencia y tecnología,"Península de Coahuila, A.C.",https://www.museopal.org.mx/,Coahuila de Zaragoza,Torreón,4.6,133
130,Museo Comunitario Los Laguneros,Antropología,"Unión Nacional de Museos Comunitarios y Ecomuseos, A.C.",,Coahuila de Zaragoza,Torreón,4.0,11
131,Museo de Arte Sacro de la parroquia de Santiago Apostol,Arte,,,Coahuila de Zaragoza,Viesca,NaN,0
132,Fuerte de San Pedro de Gigedo,Historia,Particular,,Coahuila de Zaragoza,Villa Unión,4.6,41
133,Museo del Centro Cultural Ernesto Julio Teissier Flores,Historia,Ayuntamiento de Zaragoza,,Coahuila de Zaragoza,Zaragoza,4.5,21
134,Museo Comunitario de la Sal,Ciencia y tecnología,Secretaría de Cultura del Gobierno del Estado de Colima/ Ayuntamiento de Armería/ Sociedad Cooperativa de Salineros de Colima,http://culturacolima.gob.mx/v2/museo-de-la-sal/,Colima,Armería,4.3,940
135,Museo Universitario de Artes Populares María Teresa Pomar,Arte,Universidad de Colima,http://www.ucol.mx/alumnos/museos.htm,Colima,Colima,4.5,121
136,Museo Regional de Historia de Colima,Historia,Secretaría de Cultura/INAH,,Colima,Colima,4.5,227
137,Museo Griselda Álvarez,Historia,Secretaría de Cultura del Gobierno del Estado de Colima/Parque Regiona,http://culturacolima.gob.mx/v2/griselda-alvarez/,Colima,Colima,4.2,44
138,Pinacoteca Universitaria,Arte,Universidad de Colima,https://portal.ucol.mx/dgpc/Pinacoteca-Universitaria.htm,Colima,Colima,4.5,264
139,Museo de Ciencia y Tecnología Xoloitzcuintle,Ciencia y tecnología,Secretaría de Cultura del Gobierno del Estado de Colima,http://culturacolima.gob.mx/v2/xoloitzcuintle-ciencia-y-tecnologia/,Colima,Colima,4.1,82
140,Museo de las Culturas de Occidente María Ahumada de Gómez,Arqueología,Secretaría de Cultura del Gobierno del Estado de Colima,https://www.facebook.com/profile.php?id=100011077938940&fref=ts,Colima,Colima,4.2,106
141,Museo Fernando del Paso,Arte,Universidad de Colima,https://www.facebook.com/FernandoDelPasoMUSEO?fref=ts,Colima,Colima,4.3,128
142,Museo Nacional de la Escultura Sebastián,Arte,Secretaría de Cultura del Gobierno del Estado de Colima/Centro Estatal de las Artes,,Colima,Comala,4.3,8
143,Museo de la Gráfica de Occidente José Luis Cuevas ,Arte,Secretaría de Cultura del Gobierno del Estado de Colima/Taller de Formación y Producción de Artes La Parota,,Colima,Comala,NaN,0
144,Museo Universitario Alejandro Rangel (MUARH),Arqueología,Universidad de Colima,,Colima,Comala,4.7,755
145,Museo Comunitario de Coquimatlán Ramón Navarro Osorio,Arte,Secretaría de Cultura del Gobierno del Estado de Colima,,Colima,Coquimatlán,NaN,0
146,Sala Museográfica del Petroglifo Profr. Antonio Magaña Tejeda,,Ayuntamiento de Cuauhtémoc/Dirección de Cultura y Deporte de Cuauhtémoc,,Colima,Cuauhtémoc,NaN,0
147,Museo de la Caña y del Azúcar ,Historia,Secretaría de Cultura del Gobierno del Estado de Colima,,Colima,Cuauhtémoc,NaN,0
148,Museo Comunitario de Ixtlahuacán,Arqueología,Ayuntamiento de Ixtlahucán,,Colima,Ixtlahuacán,NaN,0
149,Museo Comunitario de Minatitlán Porfirio Gaitán Núñez,Historia,Dirección de Cultura del Ayuntamiento de Minatitlán,,Colima,Minatitlán,NaN,0
150,Museo Arqueológico Caxitlán,Arqueología,Secretaría de Cultura del Gobierno del Estado de Colima,,Colima,Tecomán,3.2,5
151,Museo Charro Taurino,Especializado,"Secretaría de Cultura de Colima, Casa de la Cultura de Villa de Álvarez",,Colima,Villa de Álvarez,NaN,0
152,Museo del Ferrocarril,Historia,Ayuntamiento de Arriaga,,Chiapas,Arriaga,4.5,2
153,Museo Rosario Castellanos,,,,Chiapas,Comitán de Domínguez,4.4,7
154,Casa Museo Dr. Belisario Domínguez Palencia,Historia,Consejo Estatal para las Culturas y las Artes de Chiapas,http://conecultachiapas.gob.mx/museos/belisariodominguez/,Chiapas,Comitán de Domínguez,4.7,216
155,Museo Arqueológico de Comitán,Arqueología,Secretaría de Cultura/INAH,http://www.inah.gob.mx/es/red-de-museos/237-museo-arqueologico-de-comitan,Chiapas,Comitán de Domínguez,4.5,156
156,Museo de Arte Hermila Domínguez de Castellanos,Arte,Consejo Estatal para la Cultura y las Artes de Chiapas,https://www.conecultachiapas.gob.mx/Museos?option=5,Chiapas,Comitán de Domínguez,4.8,28
157,Zona Arqueológica de Tenam Puente (temporalmente cerrado),Arqueología,Secretaría de Cultura/INAH,http://www.inah.gob.mx/red-de-museos/291-sala-introductoria-al-sitio-de-tenam-puente,Chiapas,Comitán de Domínguez,4.6,286
158,Museo Comunitario Raíces de mi Pueblo,Antropología,"Raíces de mi Pueblo Chyks Kungny, A.C.",,Chiapas,Copainalá,NaN,0
159,Museo Franco Lázaro Gómez,Arte,Consejo Estatal para la Cultura y las Artes de Chiapas/Centro Cultural Ex Convento de Santo Domingo,,Chiapas,Chiapa de Corzo,NaN,0
160,Casa Museo Ángel Albino Corzo,Historia,Patronato de la Casa Museo Ángel Albino Corzo,https://casamuseo-angel-albino-corzo-org.es.tl/,Chiapas,Chiapa de Corzo,4.2,78
161,Museo Comunitario El Parachico,Arte,Comité Pro-Museo,,Chiapas,Chiapa de Corzo,NaN,0
162,Casa Museo de la Marimba Nandayapa,Arte,Particular,,Chiapas,Chiapa de Corzo,4.7,31
163,Museo de la Laca ,Arte,Consejo Estatal para la Cultura y las Artes de Chiapas ,,Chiapas,Chiapa de Corzo,4.4,338
164,Museo de Sitio de Toniná,Arqueología,Secretaría de Cultura/INAH,http://www.inah.gob.mx/es/red-de-museos/239-museo-de-sitio-de-tonina,Chiapas,Ocosingo,4.7,830
165,Museo Comunitario Frontera Corozal,Temática no determinada,Consejo Estatal para las Culturas y las Artes de Chiapas,,Chiapas,Ocosingo,NaN,0
166,Museo Zoque Regional Javepacuay,Historia,Gobierno de Chiapas/Ayuntamiento de Ocozocoautla de Espinosa,,Chiapas,Ocozocoautla de Espinosa,4.2,38
167,"Museo de Sitio de Palenque, Alberto Ruz L´Huillier",Arqueología,Secretaría de Cultura/INAH,"https://lugares.inah.gob.mx/es/museos-inah/museo/440-museo-de-sitio-de-palenque,-alberto-ruz-lhuillier.html?lugar_id=440&lugar_tipo=museos",Chiapas,Palenque,4.6,2380
168,Museo Comunitario de Pijijiapan ,Temática no determinada,Ayuntamiento de Pijijiapan,,Chiapas,Pijijiapan,NaN,0
169,Museo Na-Bolom (Casa del Jaguar),Antropología,Asociación Cultural Na Bolom A.C.,http://www.nabolom.org/,Chiapas,San Cristóbal de las Casas,4.5,1455
170,Museo del Ámbar de Chiapas,Arte,"Patronato Pro-Reconstrucción del Ex-Convento de La Merced, A.C.",http://www.museodelambardechiapas.org.mx/es/home/,Chiapas,San Cristóbal de las Casas,4.5,2298
171,Centro de Textiles del Mundo Maya,Arte,"Centro de Textiles del Mundo Maya, A.C.",http://www.fomentoculturalbanamex.org/ctmm/,Chiapas,San Cristóbal de las Casas,4.7,685
172,Kakaw Museo del Cacao y Chocolatería Cultural,Especializado,,http://www.kakaw.org/,Chiapas,San Cristóbal de las Casas,4.2,1289
173,Museo San Cristóbal de las Casas,,Gobierno del Estado/Consejo Estatal para las Culturas y las Artes de Chiapas,,Chiapas,San Cristóbal de las Casas,NaN,0
174,Museo de la Medicina Maya,Antropología,Organización de Médicos Indígenas del Estado de Chiapas (OMIECH),,Chiapas,San Cristóbal de las Casas,3.5,57
175,Museo del Café,Especializado,Coordinadora de Pequeños Productores de Café (COOPCAFE),,Chiapas,San Cristóbal de las Casas,4.5,747
176,Museo de los Altos de Chiapas Ex Convento de Santo Domingo de Guzmán,Arqueología,Secretaría de Cultura/INAH,http://www.inah.gob.mx/es/red-de-museos/270-museo-de-los-altos-de-chiapas-exconvento-santo-domingo-de-guzman,Chiapas,San Cristóbal de las Casas,4.5,87
